cap,seed,startDefense,endDefense,delta,grazingPressure,finalPop,plantGen,biomassDispersion
0,42,0.33109,0.12078,-0.21031,0.000000,0,16,0.1009
0,43,0.27142,0.32385,0.05242,0.000000,0,20,0.0963
0,44,0.28353,0.48013,0.19660,0.000000,0,15,0.1297
0,45,0.28521,0.58440,0.29919,0.000000,0,19,0.1176
0,46,0.29681,0.18314,-0.11367,0.000000,0,17,0.1071
0,47,0.23641,0.08839,-0.14802,0.000000,0,16,0.1066
0,48,0.33565,0.12560,-0.21004,0.000000,0,13,0.1057
0,49,0.25668,0.18994,-0.06673,0.000000,0,19,0.1231
0,50,0.37041,0.40861,0.03819,0.000000,0,17,0.1113
0,51,0.24081,0.14920,-0.09160,0.000000,0,20,0.1514
0,52,0.34306,0.33087,-0.01220,0.000000,0,14,0.1056
0,53,0.29888,0.41143,0.11254,0.000000,0,17,0.1162
0,54,0.25130,0.10530,-0.14599,0.000000,0,19,0.1217
0,55,0.28689,0.14946,-0.13743,0.000000,0,16,0.1256
0,56,0.35252,0.40294,0.05042,0.000000,0,17,0.1427
0,57,0.31420,0.44191,0.12771,0.000000,0,14,0.1015
0,58,0.23897,0.51337,0.27440,0.000000,0,14,0.1488
0,59,0.28345,0.22216,-0.06128,0.000000,0,18,0.1375
0,60,0.27625,0.35804,0.08179,0.000000,0,15,0.1295
0,61,0.35180,0.27513,-0.07667,0.000000,0,13,0.1040
0,62,0.30712,0.11022,-0.19690,0.000000,0,17,0.1395
0,63,0.30905,0.54771,0.23866,0.000000,0,16,0.1221
0,64,0.27925,0.03562,-0.24363,0.000000,0,18,0.1404
0,65,0.31400,0.47437,0.16038,0.000000,0,16,0.0882
0,66,0.28170,0.19025,-0.09144,0.000000,0,16,0.1364
0,67,0.33913,0.65968,0.32055,0.000000,0,15,0.1302
0,68,0.28868,0.29420,0.00552,0.000000,0,15,0.1164
0,69,0.22331,0.11205,-0.11126,0.000000,0,18,0.0966
0,70,0.28036,0.15356,-0.12680,0.000000,0,15,0.1263
0,71,0.33118,0.37179,0.04061,0.000000,0,20,0.1214
3,42,0.33109,0.12078,-0.21031,0.000621,1,16,0.1011
3,43,0.27142,0.32385,0.05242,0.000576,0,20,0.0965
3,44,0.28353,0.48013,0.19660,0.000778,0,15,0.1298
3,45,0.28521,0.42660,0.14139,0.000328,0,14,0.1186
3,46,0.29681,0.16986,-0.12696,0.000620,3,15,0.1238
3,47,0.23641,0.08839,-0.14802,0.000482,0,16,0.1069
3,48,0.33565,0.12560,-0.21004,0.000496,0,13,0.1062
3,49,0.25668,0.18994,-0.06673,0.000853,2,19,0.1231
3,50,0.37041,0.40861,0.03819,0.000460,0,17,0.1116
3,51,0.24081,0.52812,0.28732,0.001092,2,18,0.1271
3,52,0.34306,0.33087,-0.01220,0.000476,0,14,0.1057
3,53,0.29888,0.41143,0.11254,0.000283,0,17,0.1163
3,54,0.25130,0.10530,-0.14599,0.000298,0,19,0.1217
3,55,0.28689,0.64871,0.36182,0.000711,2,19,0.1225
3,56,0.35252,0.40294,0.05042,0.000217,0,17,0.1427
3,57,0.31420,0.44191,0.12771,0.000182,0,14,0.1015
3,58,0.23897,0.51337,0.27440,0.000255,0,14,0.1488
3,59,0.28345,0.22216,-0.06128,0.000660,0,18,0.1375
3,60,0.27625,0.08178,-0.19447,0.000610,3,14,0.1163
3,61,0.35180,0.34073,-0.01107,0.000341,0,14,0.0911
3,62,0.30712,0.07827,-0.22884,0.000371,0,14,0.1313
3,63,0.30905,0.72898,0.41993,0.001060,0,17,0.1089
3,64,0.27925,0.08009,-0.19916,0.000254,0,16,0.1179
3,65,0.31400,0.42149,0.10749,0.000656,3,15,0.0863
3,66,0.28170,0.19025,-0.09144,0.000463,0,16,0.1364
3,67,0.33913,0.65968,0.32055,0.000607,3,15,0.1303
3,68,0.28868,0.29420,0.00552,0.000826,3,15,0.1182
3,69,0.22331,0.31117,0.08787,0.000268,0,16,0.1065
3,70,0.28036,0.15356,-0.12680,0.000329,0,15,0.1265
3,71,0.33118,0.37179,0.04061,0.000382,0,20,0.1232
6,42,0.28423,0.42155,0.13732,0.000741,0,14,0.1283
6,43,0.25242,0.12410,-0.12832,0.000898,6,14,0.1320
6,44,0.26109,0.57794,0.31685,0.000724,0,16,0.1481
6,45,0.30124,0.13617,-0.16507,0.000772,6,15,0.1464
6,46,0.29681,0.12366,-0.17316,0.000871,6,15,0.1538
6,47,0.32084,0.41684,0.09600,0.001607,6,18,0.1396
6,48,0.33565,0.58426,0.24861,0.001695,6,18,0.1127
6,49,0.25916,0.57939,0.32023,0.001565,6,17,0.1289
6,50,0.33076,0.30376,-0.02700,0.000962,6,19,0.1443
6,51,0.25314,0.35690,0.10376,0.001056,6,14,0.1310
6,52,0.32382,0.12832,-0.19549,0.000920,6,16,0.1273
6,53,0.27589,0.20161,-0.07428,0.000757,6,14,0.1170
6,54,0.28547,0.05335,-0.23211,0.000764,6,17,0.1743
6,55,0.34911,0.32856,-0.02055,0.000913,6,16,0.1603
6,56,0.35252,0.08897,-0.26355,0.001052,6,14,0.1167
6,57,0.29569,0.40536,0.10967,0.000947,6,17,0.1571
6,58,0.23897,0.57109,0.33212,0.001115,6,16,0.1569
6,59,0.30402,0.16101,-0.14301,0.000764,0,20,0.1626
6,60,0.27023,0.43017,0.15993,0.001227,6,16,0.1423
6,61,0.35835,0.37064,0.01229,0.000955,6,15,0.1535
