build,arm,seed,hash,final_population,births,deaths,plant_count,plant_births,highest_plant_generation,mean_growth,mean_seed_investment,mean_dispersal,mean_resilience,mean_seed_production,mean_nutrition,mean_defense
pre-fix-15c7a5a,stable,42,10380714861655913604,40,69,33,2,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
pre-fix-15c7a5a,stable-homerange,42,14429269760899139531,40,71,35,2,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
pre-fix-15c7a5a,ring,42,14782115650560627487,0,0,4,4,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
pre-fix-15c7a5a,ring-homerange,42,5542583537500788813,0,0,4,4,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
pre-fix-15c7a5a,shifting,42,13368862183588017293,0,1,5,12,36,5,0.484993,0.503190,0.535008,0.482176,0.536043,0.484365,0.507989
pre-fix-15c7a5a,stable,43,1043068452047798448,40,67,31,2,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
pre-fix-15c7a5a,stable-homerange,43,14702387048293550927,40,67,31,2,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
pre-fix-15c7a5a,ring,43,7192130097011239283,40,46,10,4,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
pre-fix-15c7a5a,ring-homerange,43,5620627540893727008,39,43,7,4,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
pre-fix-15c7a5a,shifting,43,9253024022537775065,40,62,26,6,29,5,0.498369,0.494949,0.521551,0.539000,0.486945,0.466388,0.525307
pre-fix-15c7a5a,stable,44,11527038114098670639,40,70,34,2,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
pre-fix-15c7a5a,stable-homerange,44,11376112000286741228,40,70,34,2,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
pre-fix-15c7a5a,ring,44,9346353588288477685,0,0,4,4,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
pre-fix-15c7a5a,ring-homerange,44,3319376875424846933,40,43,7,4,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
pre-fix-15c7a5a,shifting,44,1685393095965221029,40,66,30,8,31,6,0.447273,0.514135,0.514504,0.525318,0.430888,0.550640,0.475641
pre-fix-15c7a5a,stable,45,16183664376660414600,40,78,42,2,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
pre-fix-15c7a5a,stable-homerange,45,10559979368192922410,40,78,42,2,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
pre-fix-15c7a5a,ring,45,13096516267311938424,0,0,4,4,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
pre-fix-15c7a5a,ring-homerange,45,13096516267311938424,0,0,4,4,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
pre-fix-15c7a5a,shifting,45,4963484941996006476,40,57,21,12,36,5,0.522314,0.491241,0.513592,0.450667,0.537269,0.477551,0.500338
pre-fix-15c7a5a,stable,46,9730124049806361150,40,69,33,2,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
pre-fix-15c7a5a,stable-homerange,46,16112329738751842515,40,68,32,2,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
pre-fix-15c7a5a,ring,46,16816142172801536496,40,53,17,4,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
pre-fix-15c7a5a,ring-homerange,46,17431876370420217200,40,56,20,4,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
pre-fix-15c7a5a,shifting,46,9069145082139090238,0,0,4,12,37,6,0.566047,0.465130,0.522461,0.475493,0.546903,0.542467,0.528157
pre-fix-15c7a5a,calibration-competition,42,17310937432700105178,48,153,117,22,212,16,0.435934,0.574636,0.611767,0.623455,0.500466,0.618164,0.272428
pre-fix-15c7a5a,calibration-contest,42,10639295572370939311,48,146,110,22,171,13,0.541659,0.542487,0.560630,0.561475,0.543976,0.582494,0.332759
pre-fix-15c7a5a,calibration-competition,43,6262430131630510408,48,147,111,23,207,14,0.485809,0.591944,0.578117,0.530573,0.474421,0.641652,0.309840
pre-fix-15c7a5a,calibration-contest,43,7397238235838650226,48,149,113,22,181,14,0.648454,0.529627,0.609557,0.468810,0.551116,0.616038,0.316395
pre-fix-15c7a5a,calibration-competition,44,5347601523848546623,48,166,130,23,243,15,0.562338,0.542336,0.601640,0.415120,0.486772,0.647085,0.345679
pre-fix-15c7a5a,calibration-contest,44,12281197459994090534,48,153,117,24,165,15,0.498306,0.580409,0.537383,0.472363,0.435117,0.628159,0.246085
pre-fix-15c7a5a,calibration-competition,45,17392959746262000329,48,140,104,24,226,18,0.646129,0.512677,0.604562,0.449045,0.547067,0.634121,0.201030
pre-fix-15c7a5a,calibration-contest,45,16254168709145071512,48,145,109,24,189,17,0.544678,0.492840,0.660176,0.490129,0.557835,0.693134,0.205655
pre-fix-15c7a5a,calibration-competition,46,7426937178219966000,48,134,98,21,209,15,0.463709,0.500637,0.490007,0.534671,0.569542,0.628392,0.393066
pre-fix-15c7a5a,calibration-contest,46,2227494451001801409,46,133,97,22,179,15,0.546774,0.561649,0.652749,0.508758,0.479386,0.602770,0.343771
pre-fix-15c7a5a,calibration-competition,47,2340968312016641010,48,142,106,22,223,15,0.615329,0.562422,0.614400,0.512887,0.498435,0.596813,0.363004
pre-fix-15c7a5a,calibration-contest,47,2402769321647839430,48,138,102,23,181,14,0.577838,0.547282,0.526961,0.459014,0.506562,0.682683,0.321773
pre-fix-15c7a5a,calibration-competition,48,17585405826719868512,48,136,100,23,224,16,0.526660,0.517333,0.646178,0.599834,0.440582,0.580963,0.317869
pre-fix-15c7a5a,calibration-contest,48,13393663329641257660,48,138,102,23,174,12,0.512448,0.466432,0.531723,0.496373,0.428243,0.755082,0.327665
pre-fix-15c7a5a,calibration-competition,49,15549381594019452463,48,150,114,24,216,17,0.599932,0.508335,0.597977,0.496608,0.437476,0.761465,0.301043
pre-fix-15c7a5a,calibration-contest,49,12497920357692458268,48,147,111,22,187,14,0.500512,0.507938,0.615954,0.506132,0.595593,0.626525,0.287059
pre-fix-15c7a5a,calibration-competition,50,12931131256304001449,48,143,107,23,218,19,0.533122,0.468735,0.597010,0.428359,0.499749,0.681279,0.306693
pre-fix-15c7a5a,calibration-contest,50,1769011513520348552,47,147,111,24,175,15,0.512644,0.572719,0.530721,0.617953,0.517592,0.555777,0.429015
pre-fix-15c7a5a,calibration-competition,51,12929619533073577354,48,147,111,23,219,12,0.525603,0.528990,0.639957,0.411943,0.544128,0.520536,0.202027
pre-fix-15c7a5a,calibration-contest,51,12482481837010931268,48,142,106,22,192,17,0.549229,0.421385,0.731584,0.448007,0.433706,0.611572,0.306934
pre-fix-15c7a5a,calibration-competition,52,17558044491812245798,48,131,95,22,211,14,0.494433,0.525141,0.561550,0.646406,0.462714,0.707643,0.400454
pre-fix-15c7a5a,calibration-contest,52,9477049054390123117,48,130,94,22,181,13,0.538531,0.579709,0.521436,0.539125,0.544282,0.670835,0.358973
pre-fix-15c7a5a,calibration-competition,53,5643989882752960996,48,151,115,23,208,13,0.451750,0.468929,0.622834,0.501923,0.463056,0.731587,0.282765
