cap,seed,startDefense,endDefense,delta,grazingPressure,finalPop,plantGen
0,42,0.33109,0.12078,-0.21031,0.000000,0,16
0,43,0.27142,0.32385,0.05242,0.000000,0,20
0,44,0.28353,0.48013,0.19660,0.000000,0,15
0,45,0.28521,0.58440,0.29919,0.000000,0,19
0,46,0.29681,0.18314,-0.11367,0.000000,0,17
0,47,0.23641,0.08839,-0.14802,0.000000,0,16
0,48,0.33565,0.12560,-0.21004,0.000000,0,13
0,49,0.25668,0.18994,-0.06673,0.000000,0,19
0,50,0.37041,0.40861,0.03819,0.000000,0,17
0,51,0.24081,0.14920,-0.09160,0.000000,0,20
0,52,0.34306,0.33087,-0.01220,0.000000,0,14
0,53,0.29888,0.41143,0.11254,0.000000,0,17
0,54,0.25130,0.10530,-0.14599,0.000000,0,19
0,55,0.28689,0.14946,-0.13743,0.000000,0,16
0,56,0.35252,0.40294,0.05042,0.000000,0,17
0,57,0.31420,0.44191,0.12771,0.000000,0,14
0,58,0.23897,0.51337,0.27440,0.000000,0,14
0,59,0.28345,0.22216,-0.06128,0.000000,0,18
0,60,0.27625,0.35804,0.08179,0.000000,0,15
0,61,0.35180,0.27513,-0.07667,0.000000,0,13
0,62,0.30712,0.11022,-0.19690,0.000000,0,17
0,63,0.30905,0.54771,0.23866,0.000000,0,16
0,64,0.27925,0.03562,-0.24363,0.000000,0,18
0,65,0.31400,0.47437,0.16038,0.000000,0,16
0,66,0.28170,0.19025,-0.09144,0.000000,0,16
0,67,0.33913,0.65968,0.32055,0.000000,0,15
0,68,0.28868,0.29420,0.00552,0.000000,0,15
0,69,0.22331,0.11205,-0.11126,0.000000,0,18
0,70,0.28036,0.15356,-0.12680,0.000000,0,15
0,71,0.33118,0.37179,0.04061,0.000000,0,20
12,42,0.27620,0.66203,0.38583,0.001478,12,17
12,43,0.29630,0.17079,-0.12552,0.001046,12,14
12,44,0.32854,0.35746,0.02891,0.001111,12,14
12,45,0.29815,0.18748,-0.11067,0.000848,12,17
12,46,0.29681,0.07213,-0.22468,0.000866,12,16
12,47,0.27481,0.09787,-0.17693,0.001109,12,15
12,48,0.29538,0.40265,0.10726,0.001092,12,14
12,49,0.28272,0.37533,0.09261,0.001059,12,16
12,50,0.33003,0.30558,-0.02445,0.001296,12,14
12,51,0.30208,0.30971,0.00762,0.001291,12,15
12,52,0.32676,0.38053,0.05377,0.001021,12,14
12,53,0.33023,0.26077,-0.06946,0.001090,12,15
12,54,0.25910,0.41526,0.15616,0.000937,12,16
12,55,0.30582,0.36560,0.05978,0.001302,12,14
12,56,0.30997,0.02623,-0.28374,0.001051,12,14
12,57,0.32134,0.08928,-0.23205,0.000987,12,16
12,58,0.23904,0.25944,0.02040,0.000871,12,15
12,59,0.30402,0.03024,-0.27379,0.000867,12,19
12,60,0.31075,0.07187,-0.23888,0.000922,12,17
12,61,0.32647,0.08093,-0.24553,0.000788,12,14
12,62,0.30712,0.03939,-0.26773,0.000971,12,16
12,63,0.30716,0.24217,-0.06499,0.001023,12,16
12,64,0.27809,0.03578,-0.24231,0.000959,12,19
