arm,seed,population,plantPatches,plantGenerations,plantBirths,founderGrowth,finalGrowth,founderSeedInvestment,finalSeedInvestment,founderWaterEfficiency,finalWaterEfficiency,founderNutrition,finalNutrition,founderDefense,finalDefense,founderDispersal,finalDispersal,founderMoistureTolerance,finalMoistureTolerance,founderTemperatureTolerance,finalTemperatureTolerance,founderNutrientUptake,finalNutrientUptake,founderSeedlingResilience,finalSeedlingResilience
contest,42,48,22,14,197,0.58193,0.48519,0.44741,0.50653,0.50266,0.54235,0.72797,0.80978,0.31490,0.44313,0.49474,0.69977,0.47024,0.45546,0.45573,0.47857,0.49048,0.52489,0.50368,0.57310
contest,43,48,24,13,201,0.58513,0.58061,0.48045,0.72574,0.50661,0.56676,0.62356,0.66059,0.34570,0.35157,0.48445,0.83472,0.46005,0.39555,0.57536,0.42509,0.50839,0.60132,0.52898,0.52185
contest,44,48,23,14,176,0.56185,0.55677,0.49594,0.50014,0.57368,0.59494,0.57621,0.69118,0.22067,0.24482,0.51307,0.63265,0.52618,0.53730,0.46143,0.41373,0.52174,0.59972,0.57704,0.66681
contest,45,48,23,19,222,0.56052,0.68223,0.45715,0.42954,0.50860,0.52691,0.55251,0.60119,0.31881,0.21795,0.56099,0.64570,0.59964,0.65088,0.52860,0.53432,0.51426,0.44770,0.51818,0.34991
contest,46,48,22,16,195,0.56718,0.61627,0.50438,0.53362,0.45156,0.41217,0.60114,0.45484,0.33185,0.44397,0.44651,0.66277,0.45845,0.42395,0.53869,0.69871,0.39127,0.47618,0.46622,0.54188
contest,47,48,24,18,200,0.49407,0.61940,0.48889,0.53237,0.44804,0.33123,0.69594,0.69092,0.33240,0.43041,0.52559,0.71743,0.41175,0.35225,0.47912,0.45719,0.52331,0.39925,0.53083,0.51548
contest,48,48,22,15,175,0.55549,0.44950,0.50251,0.49499,0.44247,0.46860,0.64097,0.69064,0.28743,0.23253,0.56249,0.62261,0.49792,0.64225,0.50538,0.46642,0.50027,0.49718,0.53393,0.72897
contest,49,48,22,15,183,0.56272,0.55024,0.45326,0.55531,0.55592,0.57083,0.65201,0.64998,0.30358,0.33809,0.44467,0.51683,0.46123,0.50946,0.53838,0.52747,0.50867,0.62924,0.39756,0.44502
contest,50,48,24,14,174,0.51071,0.42190,0.52759,0.53207,0.53089,0.51462,0.74842,0.70373,0.23896,0.13178,0.54288,0.57869,0.56362,0.59973,0.51236,0.47693,0.47968,0.40737,0.54196,0.58678
contest,51,48,23,15,182,0.52763,0.45546,0.51197,0.54538,0.46969,0.45382,0.66689,0.71577,0.31691,0.38334,0.55039,0.66868,0.56249,0.55208,0.50191,0.48058,0.54781,0.41610,0.58186,0.66424
contest,52,48,23,19,187,0.57420,0.61421,0.52459,0.62613,0.46111,0.32821,0.71880,0.70840,0.30174,0.46700,0.47099,0.50747,0.48651,0.59857,0.58270,0.65002,0.45110,0.54963,0.44916,0.42579
contest,53,48,24,11,168,0.44605,0.43101,0.45903,0.52650,0.42899,0.41132,0.69627,0.68647,0.31930,0.23218,0.48697,0.59378,0.47012,0.42973,0.50090,0.53780,0.56698,0.58425,0.51130,0.54454
contest,54,48,24,15,186,0.53164,0.49532,0.56011,0.54440,0.49069,0.53693,0.62841,0.86032,0.30597,0.12988,0.52542,0.57751,0.46913,0.49266,0.46637,0.30101,0.48264,0.56004,0.55825,0.47620
contest,55,48,23,16,187,0.61932,0.54020,0.47070,0.49399,0.49829,0.56228,0.60587,0.72171,0.33533,0.26857,0.55316,0.62190,0.53124,0.37404,0.50649,0.42498,0.48239,0.59761,0.51861,0.53846
contest,56,48,23,13,177,0.49925,0.42383,0.45184,0.55531,0.50735,0.47829,0.69694,0.71406,0.29297,0.33477,0.53254,0.63968,0.45188,0.52137,0.47351,0.43971,0.52189,0.50940,0.54013,0.63852
contest,57,48,22,17,186,0.52385,0.62488,0.49191,0.49292,0.49133,0.50385,0.60511,0.62230,0.31846,0.24526,0.48965,0.64549,0.50500,0.39506,0.56479,0.62000,0.54367,0.48635,0.53216,0.48640
contest,58,48,22,13,196,0.57054,0.55183,0.49621,0.43923,0.49325,0.55334,0.73126,0.74446,0.39727,0.33999,0.50216,0.61218,0.54219,0.48787,0.47566,0.50856,0.47419,0.42510,0.48715,0.53231
contest,59,48,22,18,194,0.59902,0.63369,0.48230,0.59409,0.45174,0.52544,0.58643,0.51916,0.27141,0.35175,0.54417,0.68202,0.54843,0.57780,0.51646,0.54262,0.49147,0.50258,0.47227,0.53805
contest,60,48,23,14,182,0.52977,0.48782,0.52002,0.61012,0.54976,0.61750,0.62704,0.66659,0.31342,0.18970,0.54927,0.57867,0.61418,0.37686,0.47620,0.47809,0.50209,0.33928,0.45849,0.42605
contest,61,48,23,15,184,0.53429,0.45941,0.38681,0.42802,0.50775,0.47620,0.59941,0.49266,0.32767,0.33953,0.53582,0.60992,0.46071,0.50785,0.48403,0.53219,0.47497,0.44131,0.52067,0.51259
contest,62,48,22,17,205,0.61373,0.70217,0.57942,0.53358,0.47458,0.59128,0.64195,0.51235,0.31142,0.29563,0.57155,0.67274,0.51333,0.45826,0.51903,0.50621,0.51913,0.61008,0.54033,0.60923
contest,63,48,23,17,196,0.49865,0.49935,0.54551,0.53458,0.54514,0.60212,0.65457,0.63537,0.20171,0.18365,0.59244,0.65679,0.47545,0.48296,0.50128,0.48782,0.55480,0.55191,0.46812,0.45827
contest,64,48,24,15,188,0.60025,0.65016,0.45105,0.47433,0.49464,0.47608,0.59822,0.61725,0.19549,0.12626,0.53395,0.57616,0.46221,0.44224,0.52330,0.59461,0.46913,0.45493,0.54920,0.49885
contest,65,48,23,15,189,0.54044,0.64960,0.48128,0.41706,0.51543,0.53367,0.62431,0.67127,0.37930,0.34286,0.55835,0.59414,0.52451,0.50398,0.46932,0.47847,0.45837,0.44399,0.51711,0.57999
contest,66,48,23,14,193,0.47361,0.48105,0.55167,0.45434,0.51247,0.63749,0.60523,0.49348,0.25606,0.22801,0.53909,0.73602,0.54604,0.55900,0.49337,0.59904,0.48856,0.50949,0.50515,0.59532
contest,67,48,23,15,191,0.60867,0.60019,0.48898,0.48413,0.49997,0.45374,0.65644,0.63616,0.31575,0.27791,0.45503,0.66287,0.43502,0.36401,0.56858,0.58759,0.52241,0.45648,0.47657,0.50546
