arm,seed,population,plantPatches,plantGenerations,plantBirths,founderGrowth,finalGrowth,founderSeedInvestment,finalSeedInvestment,founderWaterEfficiency,finalWaterEfficiency,founderNutrition,finalNutrition,founderDefense,finalDefense,founderDispersal,finalDispersal,founderMoistureTolerance,finalMoistureTolerance,founderTemperatureTolerance,finalTemperatureTolerance,founderNutrientUptake,finalNutrientUptake,founderSeedlingResilience,finalSeedlingResilience
control,42,48,24,15,221,0.58193,0.53044,0.44741,0.58637,0.50266,0.56196,0.72797,0.74813,0.31490,0.46034,0.49474,0.68222,0.47024,0.49756,0.45573,0.54289,0.49048,0.57036,0.50368,0.52765
control,43,48,22,18,226,0.58513,0.62487,0.48045,0.66438,0.50661,0.61894,0.62356,0.68520,0.34570,0.28375,0.48445,0.73497,0.46005,0.36675,0.57536,0.38711,0.50839,0.44037,0.52898,0.51679
control,44,48,23,16,230,0.56185,0.51266,0.49594,0.51794,0.57368,0.62226,0.57621,0.58660,0.22067,0.23020,0.51307,0.67487,0.52618,0.46201,0.46143,0.52033,0.52174,0.64688,0.57704,0.64657
control,45,48,22,15,235,0.56052,0.58408,0.45715,0.42076,0.50860,0.56524,0.55251,0.53583,0.31881,0.24168,0.56099,0.69313,0.59964,0.60292,0.52860,0.37563,0.51426,0.57673,0.51818,0.49740
control,46,48,24,16,219,0.56718,0.69226,0.50438,0.61154,0.45156,0.40499,0.60114,0.45390,0.33185,0.39491,0.44651,0.65332,0.45845,0.38251,0.53869,0.64056,0.39127,0.59292,0.46622,0.41477
control,47,48,23,11,222,0.49407,0.44689,0.48889,0.48314,0.44804,0.37301,0.69594,0.56248,0.33240,0.33430,0.52559,0.67871,0.41175,0.54524,0.47912,0.43050,0.52331,0.42322,0.53083,0.56175
control,48,48,24,14,235,0.55549,0.46599,0.50251,0.39096,0.44247,0.54905,0.64097,0.68040,0.28743,0.33119,0.56249,0.61632,0.49792,0.52479,0.50538,0.57584,0.50027,0.43281,0.53393,0.49367
control,49,48,21,14,212,0.56272,0.59557,0.45326,0.47531,0.55592,0.50634,0.65201,0.65522,0.30358,0.27927,0.44467,0.48321,0.46123,0.40053,0.53838,0.56432,0.50867,0.53945,0.39756,0.36772
control,50,48,24,16,217,0.51071,0.51178,0.52759,0.53178,0.53089,0.48370,0.74842,0.69513,0.23896,0.27469,0.54288,0.65806,0.56362,0.48431,0.51236,0.47148,0.47968,0.41341,0.54196,0.52135
control,51,48,23,19,225,0.52763,0.54065,0.51197,0.50808,0.46969,0.54535,0.66689,0.65928,0.31691,0.48010,0.55039,0.69160,0.56249,0.53447,0.50191,0.56399,0.54781,0.38936,0.58186,0.70807
control,52,48,22,16,197,0.57420,0.59837,0.52459,0.60823,0.46111,0.45105,0.71880,0.56812,0.30174,0.42990,0.47099,0.55549,0.48651,0.47609,0.58270,0.53609,0.45110,0.39279,0.44916,0.45566
control,53,48,23,16,230,0.44605,0.36967,0.45903,0.45469,0.42899,0.42706,0.69627,0.76713,0.31930,0.09239,0.48697,0.67695,0.47012,0.34811,0.50090,0.69564,0.56698,0.63863,0.51130,0.42739
control,54,48,24,15,220,0.53164,0.49238,0.56011,0.56432,0.49069,0.54942,0.62841,0.74674,0.30597,0.20708,0.52542,0.59299,0.46913,0.44205,0.46637,0.46102,0.48264,0.36511,0.55825,0.60427
control,55,48,23,16,242,0.61932,0.61399,0.47070,0.47318,0.49829,0.53777,0.60587,0.63839,0.33533,0.33037,0.55316,0.63120,0.53124,0.48849,0.50649,0.47866,0.48239,0.65908,0.51861,0.53359
control,56,48,21,14,205,0.49925,0.51136,0.45184,0.62418,0.50735,0.50651,0.69694,0.66184,0.29297,0.16644,0.53254,0.53622,0.45188,0.49010,0.47351,0.53292,0.52189,0.47477,0.54013,0.56207
control,57,48,23,15,204,0.52385,0.48181,0.49191,0.51168,0.49133,0.40565,0.60511,0.52868,0.31846,0.03485,0.48965,0.52707,0.50500,0.56719,0.56479,0.59472,0.54367,0.38237,0.53216,0.62887
control,58,48,22,14,229,0.57054,0.59612,0.49621,0.53404,0.49325,0.44580,0.73126,0.78885,0.39727,0.41055,0.50216,0.73055,0.54219,0.37468,0.47566,0.52391,0.47419,0.38544,0.48715,0.50437
control,59,48,24,18,245,0.59902,0.57926,0.48230,0.47115,0.45174,0.35763,0.58643,0.59951,0.27141,0.26539,0.54417,0.68305,0.54843,0.57490,0.51646,0.52716,0.49147,0.39694,0.47227,0.48858
control,60,48,22,15,211,0.52977,0.58567,0.52002,0.65230,0.54976,0.57628,0.62704,0.59875,0.31342,0.28295,0.54927,0.63596,0.61418,0.60536,0.47620,0.40195,0.50209,0.45680,0.45849,0.54595
control,61,48,23,14,224,0.53429,0.43051,0.38681,0.59451,0.50775,0.38076,0.59941,0.64624,0.32767,0.31905,0.53582,0.64759,0.46071,0.36972,0.48403,0.51936,0.47497,0.47540,0.52067,0.45050
control,62,48,22,17,235,0.61373,0.66746,0.57942,0.58211,0.47458,0.46711,0.64195,0.44461,0.31142,0.21909,0.57155,0.61329,0.51333,0.56263,0.51903,0.34636,0.51913,0.51655,0.54033,0.51133
control,63,48,23,15,233,0.49865,0.47881,0.54551,0.61442,0.54514,0.51936,0.65457,0.75398,0.20171,0.21140,0.59244,0.65001,0.47545,0.58741,0.50128,0.49044,0.55480,0.59643,0.46812,0.48753
