+arm,seed,mean_occupancy,seedling_resilience_delta,dispersal_delta,final_population,highest_plant_generation,state_hash
invader-24-off,42,0.904989,0.010735,0.022581,48,12,3493996204729871945
invader-24-off,43,0.907756,-0.004543,0.069057,48,17,5630505504578755807
invader-24-off,44,0.904363,0.047990,0.128449,48,14,8130851573155902182
invader-24-off,45,0.902399,0.101335,0.065002,48,13,17415631812571045526
invader-24-off,46,0.907806,-0.060032,0.170846,48,17,11753703054280952354
invader-24-off,47,0.902334,-0.018608,0.083970,48,15,17837632318311609417
invader-24-off,48,0.879893,-0.010399,0.033866,48,15,10355253169505103066
invader-24-off,49,0.894773,0.043657,0.089886,48,14,531956479957244376
invader-24-off,50,0.906416,-0.002895,0.083097,48,16,974798849759920875
invader-24-off,51,0.912903,-0.015303,0.136974,48,16,7042161284990209737
invader-24-off,52,0.897817,0.018880,0.110790,48,14,9650708072279127058
invader-24-off,53,0.905960,0.146289,0.035449,48,14,12797092536235396928
invader-24-off,54,0.907549,0.116466,0.087994,48,16,3424462156521799763
invader-24-off,55,0.896768,0.087743,0.143090,48,14,13534925035617709610
invader-24-off,56,0.896439,0.060056,0.040861,48,14,17862654125588490997
invader-24-off,57,0.890067,0.071874,0.028016,48,16,7774825081756256419
invader-24-off,58,0.894648,-0.024670,0.124416,48,13,18000993203510759865
invader-24-off,59,0.891445,0.119301,0.038988,48,13,8287780822056211952
invader-24-off,60,0.901522,-0.096511,0.038802,48,14,11050655132200523468
invader-24-off,61,0.908455,0.042764,0.051127,48,13,7219891113120479355
invader-24-off,62,0.872416,0.033202,0.050824,48,14,8669533995117660673
invader-24-off,63,0.884292,-0.061660,-0.004177,48,14,3293654643374051918
invader-24-off,64,0.906931,0.005689,0.068669,48,13,2368985946317020832
invader-24-off,65,0.901104,0.148212,0.059201,48,16,6027150084327293813
invader-24-off,66,0.907680,0.015627,0.079947,48,14,12200155663893113593
invader-24-off,67,0.909986,0.085354,0.095631,48,14,16113860821830507579
invader-24-off,68,0.896914,-0.010979,-0.000343,48,15,12068171970559765245
invader-24-off,69,0.903614,0.051023,0.044104,48,13,3230675022945848082
invader-24-off,70,0.890820,-0.016343,0.062741,48,14,15189363645312183418
invader-24-off,71,0.900894,-0.036977,-0.020054,48,14,78301773113192941
invader-24-off,72,0.890740,0.045911,0.071011,48,14,4980853807753398369
invader-24-off,73,0.907481,-0.045201,0.172698,48,16,17496154232344119202
invader-24-off,74,0.902274,0.072330,0.043067,48,15,12283746064294430066
invader-24-off,75,0.915878,0.000270,0.151526,48,16,18336262978950297957
invader-24-off,76,0.900605,0.015214,0.006051,48,14,16820807957223873772
invader-24-off,77,0.903380,0.080117,0.108702,48,13,6832797315595994670
invader-24-off,78,0.902206,0.039876,0.087771,48,15,16418412073147070976
invader-24-off,79,0.922080,0.099399,0.108854,48,16,4037382423717493407
invader-24-off,80,0.902415,-0.029305,0.020042,48,13,18405980591309690741
invader-24-off,81,0.894632,-0.006856,0.053510,48,13,9448009860876803628
invader-24-off,82,0.922338,0.146578,0.217680,48,13,4340667447694909818
invader-24-off,83,0.904275,-0.062093,0.122395,48,15,8973558496747658606
invader-24-off,84,0.900845,0.017809,0.066231,48,15,14815124618287301910
invader-24-off,85,0.895062,0.027247,0.143800,48,14,13725982101704541957
invader-24-off,86,0.903387,-0.020695,-0.023138,48,14,18044851164787560237
invader-24-off,87,0.891013,-0.079656,0.006454,48,14,2543086209338699983
invader-24-off,88,0.891784,0.010790,0.045846,48,17,6770541455646312486
invader-24-off,89,0.888239,-0.006110,0.041444,48,15,18236872015743346470
invader-24-off,90,0.905213,-0.074541,0.078559,48,15,14436918282074597727
invader-24-off,91,0.912468,-0.010747,0.210605,48,17,4733508569462107829
invader-24-off,92,0.905765,-0.001152,0.050110,48,13,14924213161254529640
invader-24-off,93,0.907905,0.049349,0.098242,48,13,492455684794861201
invader-24-off,94,0.873874,0.018445,-0.050652,48,16,11677479338170792165
invader-24-off,95,0.917396,-0.053926,0.154868,48,16,4999591206661535789
invader-24-off,96,0.901382,0.057250,0.122328,48,15,10825509459470450471
invader-24-off,97,0.893847,0.003640,0.091024,48,19,3497457800222547675
invader-24-off,98,0.894517,0.037574,0.024971,48,14,8572695734466518681
invader-24-off,99,0.907612,0.026028,-0.010866,48,16,13245628664445208270
invader-24-off,100,0.912972,-0.016976,0.023609,48,14,3339641833649388124
invader-24-off,101,0.897416,0.003394,0.052811,48,14,9738745829661884177
invader-24-off,102,0.879828,0.045184,-0.004102,48,14,1653601184166772359
invader-24-off,103,0.905600,-0.024733,0.187432,48,17,1807785621309188427
invader-24-off,104,0.897323,-0.018572,0.133356,48,14,6655926719257569108
