arm,seed,hash,occupancy,realized_grazing_pressure,final_population,extinct,frozen,births,deaths,plant_count,plant_births,highest_plant_generation,growth_founder,growth_final,growth_delta,seed_investment_founder,seed_investment_final,seed_investment_delta,water_efficiency_founder,water_efficiency_final,water_efficiency_delta,nutrition_founder,nutrition_final,nutrition_delta,defense_founder,defense_final,defense_delta,dispersal_founder,dispersal_final,dispersal_delta,moisture_tolerance_founder,moisture_tolerance_final,moisture_tolerance_delta,temperature_tolerance_founder,temperature_tolerance_final,temperature_tolerance_delta,nutrient_uptake_founder,nutrient_uptake_final,nutrient_uptake_delta,seedling_resilience_founder,seedling_resilience_final,seedling_resilience_delta,seed_production_rate_founder,seed_production_rate_final,seed_production_rate_delta
base,42,3502010661379679418,0.39280754,0.0027434956,48,false,false,180,144,120,535,17,0.50000006,0.6294417,0.12944162,0.5,0.50033635,0.000336349,0.5,0.33435374,-0.16564626,0.5,0.40329927,-0.09670073,0.49999997,0.52745426,0.027454287,0.5,0.68672466,0.18672466,0.50000006,0.67011034,0.17011029,0.5,0.44628534,-0.053714663,0.5,0.35775355,-0.14224645,0.5,0.41878417,-0.08121583,0.49999997,0.57067305,0.07067308
seedprod-on,42,16409068957234824176,0.3937004,0.0024769749,48,false,false,182,146,112,518,22,0.50000006,0.6498762,0.14987612,0.5,0.63701487,0.13701487,0.5,0.3581652,-0.1418348,0.5,0.4141478,-0.085852206,0.49999997,0.5126127,0.01261273,0.5,0.6381629,0.13816291,0.50000006,0.6415356,0.14153552,0.5,0.52390563,0.023905635,0.5,0.41948986,-0.08051014,0.5,0.39703465,-0.102965355,0.49999997,0.5614607,0.061460704
contest-on,42,10002472821666760318,0.28645834,0.00053487346,0,true,false,39,51,128,329,16,0.50000006,0.30636618,-0.19363388,0.5,0.41462806,-0.08537194,0.5,0.5176283,0.017628312,0.5,0.5118715,0.011871517,0.49999997,0.6318194,0.13181946,0.5,0.7815807,0.2815807,0.50000006,0.34164712,-0.15835294,0.5,0.41385666,-0.086143345,0.5,0.60214007,0.10214007,0.5,0.57194626,0.07194626,0.49999997,0.6619287,0.16192874
mortality-off,42,4561879354685219672,0.5940972,0.0014687068,47,false,false,174,139,164,181,16,0.50000006,0.6276874,0.12768734,0.5,0.49385363,-0.0061463714,0.5,0.39830747,-0.10169253,0.5,0.45044237,-0.049557626,0.49999997,0.5363696,0.03636965,0.5,0.6397092,0.13970917,0.50000006,0.6183751,0.11837506,0.5,0.47498792,-0.025012076,0.5,0.44926485,-0.050735146,0.5,0.43218282,-0.06781718,0.49999997,0.55609584,0.05609587
base,43,13130109858123440264,0.29176587,0.0002471007,0,true,false,36,48,113,379,19,0.50000006,0.63438654,0.13438648,0.5,0.53496313,0.03496313,0.5,0.50014216,0.00014215708,0.5,0.29134193,-0.20865807,0.49999997,0.46088314,-0.03911683,0.5,0.678461,0.17846102,0.50000006,0.5772786,0.077278554,0.5,0.50721526,0.0072152615,0.5,0.47005197,-0.029948026,0.5,0.35290918,-0.14709082,0.49999997,0.47636586,-0.023634106
seedprod-on,43,1765187608083181592,0.29811507,0.0034958988,48,false,false,153,117,128,392,15,0.50000006,0.45907483,-0.040925235,0.5,0.640354,0.14035398,0.5,0.35230038,-0.14769962,0.5,0.43665868,-0.06334132,0.49999997,0.51873875,0.018738776,0.5,0.7356655,0.2356655,0.50000006,0.42858937,-0.071410686,0.5,0.5511925,0.051192522,0.5,0.35962114,-0.14037886,0.5,0.5137299,0.01372987,0.49999997,0.5711376,0.07113764
contest-on,43,12433271499608656210,0.2779266,0.0026873976,48,false,false,133,97,114,374,19,0.50000006,0.64816713,0.14816707,0.5,0.32383573,-0.17616427,0.5,0.46862105,-0.031378955,0.5,0.3625565,-0.13744351,0.49999997,0.5749894,0.07498941,0.5,0.75529927,0.25529927,0.50000006,0.6938164,0.19381636,0.5,0.2643206,-0.23567939,0.5,0.50054175,0.0005417466,0.5,0.38790888,-0.112091124,0.49999997,0.56408924,0.06408927
mortality-off,43,13734086122101185438,0.48551586,0.0013234132,48,false,false,140,104,165,166,13,0.50000006,0.5863937,0.086393654,0.5,0.5187958,0.018795788,0.5,0.49179873,-0.008201271,0.5,0.3587731,-0.14122689,0.49999997,0.4605904,-0.039409578,0.5,0.56734794,0.067347944,0.50000006,0.6029322,0.102932155,0.5,0.57081705,0.07081705,0.5,0.4729392,-0.027060807,0.5,0.34750032,-0.15249968,0.49999997,0.47163644,-0.028363526
base,44,17684930212039319862,0.40034723,0.0026982555,48,false,false,160,124,114,514,16,0.50000006,0.5355246,0.035524547,0.5,0.44075617,-0.059243828,0.5,0.5048833,0.0048832893,0.5,0.4727124,-0.027287602,0.49999997,0.57663846,0.07663849,0.5,0.693959,0.193959,0.50000006,0.5641612,0.06416112,0.5,0.38593507,-0.11406493,0.5,0.46312732,-0.036872685,0.5,0.4968382,-0.003161788,0.49999997,0.5161926,0.016192645
seedprod-on,44,11500264508807414204,0.34910715,0.0028629045,48,false,false,156,120,113,456,17,0.50000006,0.6373918,0.13739175,0.5,0.5489178,0.04891777,0.5,0.47821012,-0.021789879,0.5,0.40166238,-0.09833762,0.49999997,0.47576106,-0.024238914,0.5,0.6410379,0.14103788,0.50000006,0.62558454,0.12558448,0.5,0.51678634,0.016786337,0.5,0.40915367,-0.09084633,0.5,0.399348,-0.10065201,0.49999997,0.44935095,-0.050649017
