arm,seed,mean_site_occupancy,trait_delta,dispersal_delta,final_population,highest_plant_generation,state_hash
drift-seed-production-disabled,42,0.328105,0.037057,0.116410,48,22,14639017562879225240
drift-seed-production-disabled,43,0.371519,0.084106,0.110256,48,17,1370334835474072598
drift-seed-production-disabled,44,0.349477,-0.091661,0.097678,48,19,13126288768853782238
drift-seed-production-disabled,45,0.338892,0.027729,0.132951,48,16,5389548683112027182
drift-seed-production-disabled,46,0.289081,0.102371,0.149589,48,19,5647822780934092532
drift-seed-production-disabled,47,0.386866,-0.020122,0.202295,48,19,2619254328369846085
drift-seed-production-disabled,48,0.319750,-0.095858,0.130469,48,19,17218710142167017905
drift-seed-production-disabled,49,0.301821,-0.010682,0.151359,48,17,1514139461389195615
drift-seed-production-disabled,50,0.305284,0.028066,0.071444,48,14,8436822428318786731
drift-seed-production-disabled,51,0.312125,0.048288,0.102850,48,16,14276531567773635106
drift-seed-production-disabled,52,0.301635,0.028277,0.122528,48,17,6511138682789329600
drift-seed-production-disabled,53,0.402626,0.021993,0.188779,48,17,4583391894047441371
drift-seed-production-disabled,54,0.314190,0.043960,0.080701,48,15,16244407694173112036
drift-seed-production-disabled,55,0.282641,-0.083626,0.149568,48,17,6084888558611586474
drift-seed-production-disabled,56,0.342041,-0.026339,0.104516,48,15,4234668549807372258
drift-seed-production-disabled,57,0.377939,-0.082364,0.182264,48,20,11062682693501182257
drift-seed-production-disabled,58,0.331410,0.037911,0.073262,48,16,10395714382438496232
drift-seed-production-disabled,59,0.385029,0.025392,0.170774,48,19,8409390596595087762
drift-seed-production-disabled,60,0.323119,0.066302,0.021516,48,16,11369153277559529829
drift-seed-production-disabled,61,0.316602,0.060408,0.143322,48,17,5639946154411875150
drift-seed-production-disabled,62,0.295840,0.035271,0.107216,48,15,13103679187883429096
drift-seed-production-disabled,63,0.322012,-0.110713,0.134923,48,15,15270305599104832165
drift-seed-production-disabled,64,0.307146,0.055198,0.108720,48,18,12229849328849447361
drift-seed-production-disabled,65,0.375121,-0.037295,0.089984,48,16,6503431843519745007
drift-seed-production-disabled,66,0.283108,-0.061179,0.084960,48,17,15466791827334104299
drift-seed-production-disabled,67,0.346531,0.025763,0.108162,48,17,4285818076758909894
drift-seed-production-disabled,68,0.284164,-0.026077,0.085473,48,15,10168285731646004369
drift-seed-production-disabled,69,0.351707,0.027186,0.098737,48,18,3885100472140804081
drift-seed-production-disabled,70,0.352692,-0.022154,0.091560,48,15,14922491265763014082
drift-seed-production-disabled,71,0.340152,-0.002768,0.155446,48,15,15796193357231491750
drift-seed-production-disabled,72,0.375636,0.008944,0.179346,48,19,13290473202732938840
drift-seed-production-disabled,73,0.369684,0.064628,0.146038,48,17,4184002517677264328
drift-seed-production-disabled,74,0.271520,0.005532,0.040758,48,16,4290529882574146797
drift-seed-production-disabled,75,0.355350,-0.032981,0.106216,48,18,16361806437312250769
drift-seed-production-disabled,76,0.298331,0.038071,0.054328,48,18,697583943874866365
drift-seed-production-disabled,77,0.341261,-0.078593,0.183077,48,18,13012515680451830313
drift-seed-production-disabled,78,0.294131,0.033725,0.085631,48,18,297116371997874416
drift-seed-production-disabled,79,0.387750,-0.004704,0.188534,48,16,13034403818695834828
drift-seed-production-disabled,80,0.325109,0.049327,0.148436,48,20,17783668734334942592
drift-seed-production-disabled,81,0.371461,-0.026032,0.171057,48,16,10228196455972832721
drift-seed-production-disabled,82,0.422196,0.031161,0.345654,48,20,9132491881830597195
drift-seed-production-disabled,83,0.368740,0.012954,0.094534,48,17,77612162295766553
drift-seed-production-disabled,84,0.369922,0.046382,0.146048,48,19,6970111734655866940
drift-seed-production-disabled,85,0.378949,-0.058595,0.140807,48,19,5040637760141584296
drift-seed-production-disabled,86,0.262658,0.002650,0.078347,48,12,12804557451215356728
drift-seed-production-disabled,87,0.304355,0.021484,0.128169,48,16,14860706805405474156
drift-seed-production-disabled,88,0.318837,0.002707,0.099139,48,17,6459802508353736458
drift-seed-production-disabled,89,0.324712,-0.017515,0.120673,48,16,12277005765130394199
drift-seed-production-disabled,90,0.367435,-0.170690,0.129024,48,17,8434039112513691345
drift-seed-production-disabled,91,0.359572,0.043642,0.109093,48,16,1267263099443880383
drift-seed-production-disabled,92,0.364103,0.032055,0.118164,48,16,5506210913854570734
drift-seed-production-disabled,93,0.399712,0.063948,0.181139,48,17,4455012847013792981
drift-seed-production-disabled,94,0.241175,0.005055,0.010121,48,18,1093271134365079424
drift-seed-production-disabled,95,0.369874,0.050517,0.087693,48,18,8865202598698955070
drift-seed-production-disabled,96,0.342864,-0.018082,0.066313,48,15,17604780830123141301
drift-seed-production-disabled,97,0.343406,-0.003966,0.129047,48,19,18202244309549606520
drift-seed-production-disabled,98,0.280701,-0.015340,0.052708,48,18,15448634709846661606
drift-seed-production-disabled,99,0.255542,-0.012084,0.022852,48,16,16564088060760046427
drift-seed-production-disabled,100,0.284162,0.098668,0.070102,48,14,15490073399891903183
drift-seed-production-disabled,101,0.234150,-0.037975,-0.000753,48,17,15369759255129904305
drift-seed-production-disabled,102,0.308734,-0.031161,0.087283,48,18,3014832953459978435
drift-seed-production-disabled,103,0.355034,0.014765,0.156566,48,16,11909345808084409242
drift-seed-production-disabled,104,0.338257,-0.010830,0.125928,48,17,17141617591790698243
drift-seed-production-disabled,105,0.299247,0.007421,0.133786,48,18,5202132485893912377
drift-seed-production-disabled,106,0.410173,0.004616,0.142272,48,16,15568745748343803926
drift-seed-production-disabled,107,0.311584,-0.012090,0.087473,48,15,18416890686947893041
drift-seed-production-disabled,108,0.366364,0.066947,0.106516,48,18,6226650648915766298
drift-seed-production-disabled,109,0.323601,0.056163,0.042724,48,20,1179540910093136820
drift-seed-production-disabled,110,0.346937,-0.020361,0.131136,48,15,17784071214597747181
drift-seed-production-disabled,111,0.349477,-0.011327,0.185392,48,18,2506739139078592661
drift-seed-production-disabled,112,0.322235,0.005499,0.133120,48,16,5242480508941488884
drift-seed-production-disabled,113,0.332502,-0.085115,0.115148,48,16,13834032313440242753
drift-seed-production-disabled,114,0.333595,-0.009543,0.112909,48,15,12953903244177916893
drift-seed-production-disabled,115,0.307661,-0.026376,0.088674,48,16,13060214094901050450
drift-seed-production-disabled,116,0.313368,-0.031509,0.093156,48,17,750241070264583311
drift-seed-production-disabled,117,0.262044,-0.012463,0.008543,48,14,16512139945318316878
drift-seed-production-disabled,118,0.385663,-0.031423,0.163065,48,19,1693330256399637863
drift-seed-production-disabled,119,0.298171,0.070366,0.104632,48,16,2872189192242937625
drift-seed-production-disabled,120,0.314363,-0.024992,0.071096,48,16,18325470918201102239
drift-seed-production-disabled,121,0.261828,0.033968,0.054237,48,15,2654738774778964634
drift-seed-production-disabled,122,0.342633,-0.009606,0.169958,48,18,17406108133565579644
drift-seed-production-disabled,123,0.278520,0.028972,0.035821,48,18,1230181045725420720
drift-seed-production-disabled,124,0.316843,0.001440,0.115420,48,20,2407540010727499558
drift-seed-production-disabled,125,0.341896,-0.020771,0.127656,48,15,3616417069335730943
drift-seed-production-disabled,126,0.372135,0.029847,0.141241,48,17,13185872354038263869
drift-seed-production-disabled,127,0.322401,0.012325,0.124484,48,16,1863358844119570481
drift-seed-production-disabled,128,0.311109,0.005989,0.125761,48,18,14768081334702648242
drift-seed-production-disabled,129,0.318132,0.103513,0.134431,48,17,9132580998660558003
