arm,seed,mean_site_occupancy,trait_delta,dispersal_delta,final_population,highest_plant_generation,state_hash
lifespan-mortality-off,42,0.482177,-0.007203,0.055253,48,13,5820369291849889792
lifespan-mortality-off,43,0.564400,-0.014272,0.044564,48,13,4611209025501576442
lifespan-mortality-off,44,0.481460,-0.023298,0.043817,48,14,1356486854373755647
lifespan-mortality-off,45,0.519274,0.002253,0.064355,48,14,3795535786599948291
lifespan-mortality-off,46,0.461511,0.042646,0.025313,48,12,4631692665232673970
lifespan-mortality-off,47,0.378994,0.058548,0.037693,48,13,3099782926407430777
lifespan-mortality-off,48,0.460086,-0.036550,0.016356,48,11,2131560595646621445
lifespan-mortality-off,49,0.442351,0.000796,0.024178,48,11,2650809371576496384
lifespan-mortality-off,50,0.482498,0.011601,0.037801,48,13,2601940992111219531
lifespan-mortality-off,51,0.411893,0.052675,-0.002371,48,10,7218295371614569463
lifespan-mortality-off,52,0.495485,-0.000908,0.034863,48,12,13028443519175063907
lifespan-mortality-off,53,0.410226,0.012079,0.014271,48,10,13117269293414214221
lifespan-mortality-off,54,0.479442,-0.006213,0.016887,48,12,974760782137617691
lifespan-mortality-off,55,0.530065,-0.003675,0.039848,48,11,9013446470219397683
lifespan-mortality-off,56,0.524848,-0.037413,0.050152,48,13,6998375993196330880
lifespan-mortality-off,57,0.598993,0.005764,0.074197,48,13,8970168680800422348
lifespan-mortality-off,58,0.491802,-0.018085,0.011309,48,10,12452872842020413152
lifespan-mortality-off,59,0.507323,0.013916,0.013632,48,11,15288741243234912460
lifespan-mortality-off,60,0.378831,-0.022576,-0.037127,48,9,4862158969751440765
lifespan-mortality-off,61,0.472168,-0.023377,0.011415,48,11,11286251443788480183
lifespan-mortality-off,62,0.434437,0.006434,0.003227,48,11,16675380964533295969
lifespan-mortality-off,63,0.501859,0.012996,0.043704,48,12,18115414014029697365
lifespan-mortality-off,64,0.534411,-0.004810,0.045852,48,14,7354055030057134365
lifespan-mortality-off,65,0.446298,0.039066,0.036284,48,12,11599032825650603962
lifespan-mortality-off,66,0.386281,-0.003642,0.030666,48,10,3965417561268530367
lifespan-mortality-off,67,0.587189,0.007892,0.078805,48,13,14032722382820155697
lifespan-mortality-off,68,0.387591,-0.001895,-0.005186,48,8,12848480768805156571
lifespan-mortality-off,69,0.510323,-0.009048,0.037105,48,10,7841487886594220540
lifespan-mortality-off,70,0.541487,-0.029722,0.014827,48,11,14865219070825637672
lifespan-mortality-off,71,0.511722,-0.002442,0.042673,48,12,6186043702762115841
lifespan-mortality-off,72,0.525750,0.040604,0.038159,48,12,3209959917930268695
lifespan-mortality-off,73,0.514278,-0.009920,0.076135,48,13,17132056910320052413
lifespan-mortality-off,74,0.475732,-0.011388,0.006605,48,11,8658089066130796973
lifespan-mortality-off,75,0.539373,-0.017018,0.061647,48,13,10146461560309500742
lifespan-mortality-off,76,0.434428,0.007718,0.001873,48,10,1334709255307761794
lifespan-mortality-off,77,0.447000,-0.010482,0.016436,48,11,5179515878767152454
lifespan-mortality-off,78,0.435292,-0.001864,0.037954,48,11,16144961029969267155
lifespan-mortality-off,79,0.490449,0.004234,0.049871,48,13,2344060134189174382
lifespan-mortality-off,80,0.400813,0.050726,-0.002883,48,9,5297128933601720232
lifespan-mortality-off,81,0.460980,0.011750,0.032596,48,11,8631383020137038091
lifespan-mortality-off,82,0.418856,-0.025693,0.026054,48,9,8475093799661120958
lifespan-mortality-off,83,0.564957,0.009725,0.051750,48,13,1126937736421002714
lifespan-mortality-off,84,0.420558,-0.016806,0.038086,48,12,2740505950770920982
