span,spacing,seed,occupancy,final_active_food_sites,total_food_sites,plant_count,highest_plant_generation,final_population,extinct
48,4.00,42,0.836657,160,168,160,24,48,0
48,4.00,43,0.837302,158,168,158,20,48,0
48,4.00,44,0.826190,157,168,157,18,48,0
48,4.00,45,0.833036,160,168,160,21,48,0
48,4.00,46,0.838393,158,168,158,23,48,0
48,4.00,47,0.829960,156,168,156,20,48,0
48,4.00,48,0.832937,154,168,154,19,48,0
48,4.00,49,0.831746,155,168,155,18,48,0
48,4.00,50,0.831448,156,168,156,17,48,0
48,4.00,51,0.832490,154,168,154,20,48,0
96,8.00,42,0.524107,136,168,136,18,47,0
96,8.00,43,0.548512,130,168,130,20,48,0
96,8.00,44,0.531300,122,168,122,16,48,0
96,8.00,45,0.537897,128,168,128,16,48,0
96,8.00,46,0.504911,126,168,126,17,48,0
96,8.00,47,0.563839,130,168,130,19,48,0
96,8.00,48,0.515526,123,168,123,17,48,0
96,8.00,49,0.504117,139,168,139,15,48,0
96,8.00,50,0.534226,136,168,136,18,48,0
96,8.00,51,0.513591,128,168,128,16,48,0
160,13.33,42,0.033135,1,168,1,8,0,1
160,13.33,43,0.013839,0,168,0,0,0,1
160,13.33,44,0.015675,0,168,0,0,0,1
160,13.33,45,0.021577,0,168,0,0,0,1
160,13.33,46,0.011756,0,168,0,0,0,1
160,13.33,47,0.042411,3,168,3,11,47,0
160,13.33,48,0.015625,0,168,0,0,0,1
160,13.33,49,0.017361,0,168,0,0,0,1
160,13.33,50,0.011657,0,168,0,0,0,1
160,13.33,51,0.051389,13,168,13,11,0,1
208,17.33,42,0.013740,0,168,0,0,0,1
208,17.33,43,0.013839,0,168,0,0,0,1
208,17.33,44,0.015823,0,168,0,0,0,1
208,17.33,45,0.013889,0,168,0,0,0,1
208,17.33,46,0.008829,0,168,0,0,0,1
208,17.33,47,0.014236,0,168,0,0,0,1
208,17.33,48,0.012698,0,168,0,0,0,1
208,17.33,49,0.012698,0,168,0,0,0,1
208,17.33,50,0.007837,0,168,0,0,0,1
208,17.33,51,0.006845,0,168,0,0,0,1
320,26.67,42,0.007937,0,168,0,0,0,1
320,26.67,43,0.006944,0,168,0,0,0,1
320,26.67,44,0.006895,0,168,0,0,0,1
320,26.67,45,0.006944,0,168,0,0,0,1
320,26.67,46,0.005952,0,168,0,0,0,1
320,26.67,47,0.006944,0,168,0,0,0,1
320,26.67,48,0.007887,0,168,0,0,0,1
320,26.67,49,0.006895,0,168,0,0,0,1
320,26.67,50,0.007937,0,168,0,0,0,1
320,26.67,51,0.007837,0,168,0,0,0,1
