span,spacing,seed,occupancy,final_active_food_sites,total_food_sites,plant_count,highest_plant_generation,final_population,extinct
112,9.33,42,0.287450,112,168,112,17,48,0
112,9.33,43,0.280704,96,168,96,16,48,0
112,9.33,44,0.384722,115,168,115,16,48,0
112,9.33,45,0.357341,108,168,108,16,48,0
112,9.33,46,0.378125,110,168,110,17,48,0
112,9.33,47,0.366071,118,168,118,17,48,0
112,9.33,48,0.297421,89,168,89,14,48,0
112,9.33,49,0.357589,110,168,110,15,48,0
112,9.33,50,0.405506,103,168,103,17,48,0
112,9.33,51,0.381746,112,168,112,16,48,0
114,9.50,42,0.272768,107,168,107,16,48,0
114,9.50,43,0.191617,69,168,69,14,48,0
114,9.50,44,0.333532,96,168,96,16,48,0
114,9.50,45,0.408978,108,168,108,18,46,0
114,9.50,46,0.422222,101,168,101,16,48,0
114,9.50,47,0.404861,111,168,111,16,48,0
114,9.50,48,0.262302,96,168,96,16,48,0
114,9.50,49,0.249405,87,168,87,19,48,0
114,9.50,50,0.235218,91,168,91,15,48,0
114,9.50,51,0.327679,110,168,110,21,47,0
116,9.67,42,0.268899,92,168,92,16,48,0
116,9.67,43,0.301339,93,168,93,17,48,0
116,9.67,44,0.337798,107,168,107,14,48,0
116,9.67,45,0.321032,106,168,106,17,48,0
116,9.67,46,0.388244,103,168,103,16,48,0
116,9.67,47,0.201042,84,168,84,17,48,0
116,9.67,48,0.175595,59,168,59,18,48,0
116,9.67,49,0.253919,86,168,86,16,48,0
116,9.67,50,0.276240,92,168,92,16,48,0
116,9.67,51,0.332490,114,168,114,16,48,0
