span,spacing,seed,occupancy,final_active_food_sites,total_food_sites,plant_count,highest_plant_generation,final_population,extinct
108,9.00,42,0.450347,129,168,129,17,48,0
108,9.00,43,0.340873,118,168,118,16,48,0
108,9.00,44,0.417113,130,168,130,17,48,0
108,9.00,45,0.428968,123,168,123,19,48,0
108,9.00,46,0.412500,121,168,121,20,48,0
108,9.00,47,0.476240,122,168,122,19,48,0
108,9.00,48,0.351141,98,168,98,16,48,0
108,9.00,49,0.365129,110,168,110,17,48,0
108,9.00,50,0.387252,120,168,120,16,48,0
108,9.00,51,0.433135,120,168,120,19,48,0
120,10.00,42,0.239881,89,168,89,14,47,0
120,10.00,43,0.333532,116,168,116,17,48,0
120,10.00,44,0.286558,92,168,92,17,48,0
120,10.00,45,0.275050,95,168,95,16,48,0
120,10.00,46,0.226190,104,168,104,15,48,0
120,10.00,47,0.299802,102,168,102,14,48,0
120,10.00,48,0.178224,68,168,68,13,48,0
120,10.00,49,0.221478,56,168,56,14,48,0
120,10.00,50,0.267659,83,168,83,14,48,0
120,10.00,51,0.289980,101,168,101,17,47,0
132,11.00,42,0.032341,8,168,8,10,47,0
132,11.00,43,0.052381,13,168,13,15,48,0
132,11.00,44,0.095933,43,168,43,15,48,0
132,11.00,45,0.138740,59,168,59,19,48,0
132,11.00,46,0.079216,49,168,49,17,0,1
132,11.00,47,0.046528,16,168,16,12,48,0
132,11.00,48,0.148065,41,168,41,15,48,0
132,11.00,49,0.089087,27,168,27,14,48,0
132,11.00,50,0.068056,32,168,32,21,0,1
132,11.00,51,0.094395,20,168,20,11,0,1
144,12.00,42,0.077282,28,168,28,16,48,0
144,12.00,43,0.029861,0,168,0,0,0,1
144,12.00,44,0.030060,0,168,0,0,0,1
144,12.00,45,0.042063,6,168,6,12,0,1
144,12.00,46,0.018403,0,168,0,0,0,1
144,12.00,47,0.038294,5,168,5,9,0,1
144,12.00,48,0.040377,0,168,0,0,0,1
144,12.00,49,0.079464,15,168,15,12,48,0
144,12.00,50,0.071230,44,168,44,19,0,1
144,12.00,51,0.040972,0,168,0,0,0,1
