seed,foodSites,meanOccupied,maxOccupied,finalOccupied,plantTicks,birthCount,agedDeaths,takeovers
42,24,21.9833,24,22,600,212,118,64
43,24,21.8217,24,23,600,207,121,56
44,24,21.7950,24,23,600,243,122,89
45,24,22.0667,24,24,600,226,127,64
46,24,21.4533,24,21,600,209,123,58
47,24,21.8017,24,22,600,223,129,60
48,24,22.0367,24,23,600,224,121,72
49,24,21.9517,24,24,600,216,125,60
50,24,21.7000,24,23,600,218,123,58
51,24,21.8867,24,23,600,219,122,66
52,24,21.7867,24,22,600,211,119,57
53,24,22.1000,24,23,600,208,120,59
54,24,21.8167,24,24,600,223,120,74
55,24,21.6450,24,24,600,228,120,67
56,24,22.0317,24,24,600,213,121,56
57,24,21.8400,24,24,600,223,127,64
58,24,21.7150,24,21,600,222,122,68
59,24,22.0317,24,22,600,203,120,51
60,24,21.6550,24,24,600,212,122,60
61,24,22.1433,24,24,600,221,120,62
62,24,21.7117,24,22,600,204,124,52
63,24,21.7117,24,22,600,227,127,61
64,24,21.8067,24,23,600,206,122,54
65,24,21.3817,24,22,600,244,122,92
66,24,21.7800,24,23,600,204,122,52
67,24,21.9767,24,23,600,236,125,79
68,24,22.2117,24,24,600,207,119,52
69,24,22.0267,24,24,600,227,120,75
70,24,21.9450,24,24,600,235,120,77
71,24,21.9533,24,23,600,217,125,62
