seed,id,generation,parentId,birthTick,endTick,endReason,lifeTicks,eligibleTicks,births,meanBiomassFraction,growth,seedInvestment,waterEfficiency,nutrition,defense,dispersal,moistureTolerance,temperatureTolerance,nutrientUptake
42,1,0,0,0,1960,aged,1960,11,2,0.7508,0.55000,0.50000,0.50000,0.65000,0.30000,0.50000,0.50000,0.50000,0.50000
42,2,0,0,0,1960,aged,1960,60,2,0.9966,0.55000,0.50000,0.50000,0.65000,0.30000,0.50000,0.50000,0.50000,0.50000
42,3,0,0,0,1960,aged,1960,60,2,0.9966,0.55000,0.50000,0.50000,0.65000,0.30000,0.50000,0.50000,0.50000,0.50000
42,4,0,0,0,1960,aged,1960,60,2,0.9959,0.55000,0.50000,0.50000,0.65000,0.30000,0.50000,0.50000,0.50000,0.50000
42,5,0,0,0,1960,aged,1960,60,2,0.9960,0.55000,0.50000,0.50000,0.65000,0.30000,0.50000,0.50000,0.50000,0.50000
42,6,0,0,0,1960,aged,1960,79,1,0.9981,0.55000,0.50000,0.50000,0.65000,0.30000,0.50000,0.50000,0.50000,0.50000
42,7,1,5,20,1980,aged,1960,69,1,0.9241,0.54023,0.50185,0.52277,0.66312,0.26849,0.51548,0.47976,0.55706,0.50204
42,8,1,3,40,2000,aged,1960,69,1,0.9263,0.54256,0.50623,0.48585,0.67103,0.29209,0.47403,0.51126,0.49209,0.49301
42,9,1,4,40,1980,aged,1940,86,0,0.9191,0.55845,0.46313,0.51981,0.65295,0.31718,0.48300,0.50233,0.54611,0.51286
42,10,1,1,60,2020,aged,1960,87,0,0.9213,0.53474,0.50693,0.54573,0.64713,0.30417,0.50110,0.51255,0.51819,0.54906
42,11,1,2,80,2060,aged,1980,71,1,0.9304,0.51969,0.55169,0.47777,0.69592,0.32472,0.46896,0.51183,0.49165,0.48309
42,12,2,7,240,2180,aged,1940,60,2,0.9215,0.56025,0.47473,0.51099,0.65042,0.28147,0.50249,0.46115,0.52698,0.49105
42,13,2,8,260,2260,aged,2000,59,2,0.9180,0.50874,0.53980,0.51929,0.64186,0.33589,0.48137,0.53967,0.45410,0.46518
42,14,1,6,340,2260,aged,1920,56,2,0.9243,0.57517,0.49858,0.44000,0.66509,0.28192,0.48237,0.52344,0.53567,0.51083
42,15,1,1,480,2400,aged,1920,84,0,0.9004,0.56611,0.50757,0.52330,0.67329,0.26834,0.51411,0.48609,0.55484,0.48989
42,16,1,4,480,2400,aged,1920,84,0,0.9114,0.56296,0.49506,0.47282,0.62292,0.30316,0.46989,0.50580,0.50878,0.52428
42,17,2,11,480,2460,aged,1980,90,0,0.9332,0.53239,0.57807,0.50415,0.66563,0.33884,0.50302,0.53937,0.48908,0.53828
42,18,1,3,500,560,takenOver,60,0,0,0.1049,0.51551,0.54013,0.51914,0.64271,0.31985,0.53141,0.54110,0.47686,0.53543
42,19,3,12,500,2420,aged,1920,67,1,0.9184,0.56889,0.45201,0.50717,0.61004,0.29571,0.38652,0.41433,0.50179,0.50883
42,20,3,13,520,2540,aged,2020,51,2,0.8502,0.48897,0.56479,0.49878,0.61968,0.34249,0.47552,0.50475,0.45668,0.41338
