arm,trait,n,meanDelta,sd,se,t,ci95Low,ci95High
moistureGradient,Growth,120,-0.004491792286616081,0.07305974092221396,0.006669411358096645,-0.6734915640138255,-0.017563838548485505,0.008580253975253343
moistureGradient,SeedInvestment,120,0.038713064288531863,0.08464952255321967,0.007727408830740119,5.009837726525981,0.02356734298028123,0.0538587855967825
moistureGradient,WaterEfficiency,120,0.006773317619223657,0.0841778223477026,0.007684348690249866,0.8814432936675358,-0.00828800581366608,0.021834641052113392
moistureGradient,Nutrition,120,-0.011703895478568904,0.08908582638834817,0.00813238611114788,-1.4391711508292995,-0.027643372256418747,0.004235581299280941
moistureGradient,Defense,120,-0.01585770715163151,0.08463867326750385,0.007726418430986891,-2.052400771880797,-0.031001487276365817,-0.0007139270268972063
moistureGradient,Dispersal,120,0.11207529226247183,0.07309763195708943,0.006672870320518064,16.795664665902063,0.09899646643425643,0.12515411809068724
moistureGradient,MoistureTolerance,120,-0.014113620813050535,0.08626172250015235,0.007874581877097397,-1.7923009797001277,-0.029547801292161432,0.001320559666060362
moistureGradient,TemperatureTolerance,120,0.002492871630693322,0.08192876779450375,0.007479039038275414,0.3333144295591418,-0.012166044884326488,0.017151788145713134
procedural,Growth,120,0.01300780833395904,0.0804386505131091,0.0073430105635507266,1.7714543948128396,-0.001384492370600383,0.027400109038518465
procedural,SeedInvestment,120,0.046656984868375766,0.0751389367503522,0.006859215100853637,6.802088020620501,0.03321292327070264,0.06010104646604889
procedural,WaterEfficiency,120,-0.007849741605895548,0.08221154594655655,0.007504853033716905,-1.0459554065388315,-0.02255925355198068,0.006859770340189586
procedural,Nutrition,120,-0.0065368450951457146,0.08603848112443739,0.007854202820889469,-0.8322735284808234,-0.021931082624089073,0.008857392433797642
procedural,Defense,120,-0.010216725317868854,0.08510406185833082,0.0077689024025204695,-1.315079632684565,-0.025443774026808974,0.005010323391071266
procedural,Dispersal,120,0.0980921850293505,0.0759047149890477,0.006929120770083654,14.156512533720242,0.08451110831998654,0.11167326173871447
procedural,MoistureTolerance,120,0.000555771815208767,0.07806388304165213,0.0071262249447263115,0.07798965364123961,-0.013411629076454804,0.014523172706872338
procedural,TemperatureTolerance,120,0.0021461206238396293,0.08002363474864578,0.007305124980897924,0.2937828756457271,-0.012171924338720302,0.01646416558639956
moistureGradient+wideTolerance,Growth,120,0.0026434608256143215,0.08181939087966565,0.007469054337687555,0.35392175583405194,-0.011995885676253286,0.017282807327481928
moistureGradient+wideTolerance,SeedInvestment,120,0.0470676712921065,0.08960252166178469,0.008179553720584126,5.754307985490589,0.03103574599976161,0.06309959658445138
moistureGradient+wideTolerance,WaterEfficiency,120,0.012816884160571236,0.09515620128184099,0.008686532988094386,1.4754890332124264,-0.004208720496093761,0.02984248881723623
moistureGradient+wideTolerance,Nutrition,120,-0.009053325680958003,0.08234564012206828,0.007517094101176543,-1.2043650856440675,-0.023786830119264028,0.005680178757348022
moistureGradient+wideTolerance,Defense,120,-0.01335135048873908,0.07947656872967966,0.007255184914392542,-1.840249510698647,-0.027571512920948463,0.0008688119434703025
moistureGradient+wideTolerance,Dispersal,120,0.1252743469936952,0.07973008333716407,0.007278327525921922,17.211968896360858,0.11100882504288823,0.13953986894450215
moistureGradient+wideTolerance,MoistureTolerance,120,-0.004948494953614458,0.13945667125188646,0.012730594106540071,-0.38870887817185795,-0.029900459402432994,0.020003469495204082
moistureGradient+wideTolerance,TemperatureTolerance,120,-0.003338398695431508,0.14699352891004366,0.013418611931886449,-0.2487886759358858,-0.029638878081928947,0.022962080691065933
procedural+wideTolerance,Growth,119,0.015652017297472887,0.07539129499810154,0.006911108681377019,2.264762141514213,0.0021062442819739305,0.029197790312971844
procedural+wideTolerance,SeedInvestment,119,0.035979330283870556,0.08127544150381343,0.007450507507185008,4.829111338948837,0.021376335569787942,0.05058232499795317
procedural+wideTolerance,WaterEfficiency,119,-0.0021939555653970257,0.09600136579254247,0.008800430773467921,-0.2493009287694754,-0.019442799881394152,0.015054888750600102
procedural+wideTolerance,Nutrition,119,0.0029658681772589427,0.08347094409662631,0.007651768899890319,0.3876055610228186,-0.012031598866526081,0.017963335221043968
procedural+wideTolerance,Defense,119,-0.02253029125698522,0.08074778122669178,0.007402136968887117,-3.043754979364096,-0.03703847971600397,-0.008022102797966469
procedural+wideTolerance,Dispersal,119,0.09757494406373944,0.0755173410856893,0.006922663307281818,14.095000685805738,0.08400652398146707,0.11114336414601181
procedural+wideTolerance,MoistureTolerance,119,-0.014599690827110932,0.13320483488898444,0.012210867193962308,-1.1956309568520886,-0.03853299052727706,0.009333608873055193
procedural+wideTolerance,TemperatureTolerance,119,0.010471309392542616,0.13945795094949445,0.012784089403403559,0.81908918673197,-0.014585505838128359,0.03552812462321359
