seed,patch_id,birth_tick,end_tick,end_kind,lifetime_seconds,offspring
42,13i0,200,219,takeover,0.950000,0
42,16i0,340,359,takeover,0.950000,0
42,1i0,0,979,takeover,48.950001,2
42,1i1,980,1239,takeover,12.950000,0
42,1i2,1240,1339,takeover,4.950000,0
42,24i0,1360,1399,takeover,1.950000,0
42,1i3,1340,1519,takeover,8.950000,0
42,1i4,1520,1579,takeover,2.950000,0
42,1i5,1580,1719,takeover,6.950000,0
42,6i0,0,1759,mortality,87.949997,1
42,11i0,20,1799,mortality,88.949997,2
42,5i0,0,1879,mortality,93.949997,1
42,10i0,20,1899,mortality,93.949997,1
42,1i6,1720,1919,takeover,9.950000,0
42,9i0,20,1959,mortality,96.949997,1
42,4i0,0,1979,mortality,98.949997,2
42,1i7,1920,1979,takeover,2.950000,0
42,14i0,240,1999,mortality,87.949997,3
42,1i8,1980,1999,takeover,0.950000,0
42,13i1,220,2059,mortality,91.949997,1
42,3i0,0,2079,mortality,103.949997,2
42,27i0,2040,2079,takeover,1.950000,0
42,12i0,80,2119,mortality,101.949997,1
42,2i0,0,2199,mortality,109.949997,3
42,8i0,20,2199,mortality,108.949997,1
42,18i0,440,2239,mortality,89.949997,2
42,7i0,20,2319,mortality,114.949997,3
42,15i0,300,2319,mortality,100.949997,1
42,16i1,360,2599,mortality,111.949997,1
42,19i0,540,2639,mortality,104.949997,2
42,17i0,420,2699,mortality,113.949997,2
42,23i0,860,2799,mortality,96.949997,1
42,20i0,740,2839,mortality,104.949997,0
42,21i0,780,2999,mortality,110.949997,1
42,40i0,2940,2999,takeover,2.950000,0
42,22i0,840,3099,mortality,112.949997,3
42,1i9,2000,3139,takeover,56.950001,0
42,44i0,3260,3299,takeover,1.950000,0
42,1i10,3140,3359,takeover,10.950000,0
42,41i0,3040,3439,takeover,19.950001,0
42,24i1,1400,3539,mortality,106.949997,2
42,46i0,3540,3559,takeover,0.950000,0
42,41i1,3440,3759,takeover,15.950000,0
42,26i0,2020,3819,mortality,89.949997,2
42,1i11,3360,3939,takeover,28.950001,0
42,30i0,2220,4019,mortality,89.949997,1
42,1i12,3940,4079,takeover,6.950000,0
42,27i1,2080,4119,mortality,101.949997,3
42,1i13,4080,4119,takeover,1.950000,0
42,29i0,2180,4159,mortality,98.949997,2
42,28i0,2100,4179,mortality,103.949997,1
42,25i0,1960,4219,mortality,112.949997,1
42,1i14,4120,4299,takeover,8.950000,0
42,52i0,4300,4319,takeover,0.950000,0
42,1i15,4300,4359,takeover,2.950000,0
42,32i0,2340,4439,mortality,104.949997,3
42,34i0,2520,4519,mortality,99.949997,3
42,31i0,2340,4659,mortality,115.949997,0
42,33i0,2460,4659,mortality,109.949997,2
42,37i0,2740,4719,mortality,98.949997,1
42,39i0,2760,4739,mortality,98.949997,2
42,40i1,3000,4739,mortality,86.949997,2
42,36i0,2720,4819,mortality,104.949997,2
42,57i0,4800,4839,takeover,1.950000,0
42,1i16,4360,4879,takeover,25.950001,0
42,35i0,2660,4899,mortality,111.949997,4
42,1i17,4880,4899,takeover,0.950000,0
42,38i0,2740,4939,mortality,109.949997,2
42,42i0,3060,4999,mortality,96.949997,2
42,43i0,3080,5219,mortality,106.949997,1
42,45i0,3420,5439,mortality,100.949997,0
42,44i1,3300,5479,mortality,108.949997,1
42,46i1,3560,5519,mortality,97.949997,3
42,67i0,5520,5579,takeover,2.950000,0
42,48i0,3920,5659,mortality,86.949997,1
42,41i2,3760,5699,mortality,96.949997,2
42,69i0,5720,5739,takeover,0.950000,0
42,69i1,5740,5759,takeover,0.950000,0
42,70i0,5720,5759,takeover,1.950000,0
42,47i0,3620,5839,mortality,110.949997,1
42,53i0,4420,6059,mortality,81.949997,0
42,49i0,4100,6059,mortality,97.949997,2
42,51i0,4200,6199,mortality,99.949997,1
42,52i1,4320,6279,mortality,97.949997,1
42,50i0,4200,6339,mortality,106.949997,1
42,74i0,6300,6339,takeover,1.950000,0
42,75i0,6420,6459,takeover,1.950000,0
42,54i0,4620,6559,mortality,96.949997,2
42,76i0,6520,6559,takeover,1.950000,0
42,58i0,4900,6619,mortality,85.949997,2
42,77i0,6580,6619,takeover,1.950000,0
42,56i0,4700,6719,mortality,100.949997,1
42,57i1,4840,6819,mortality,98.949997,1
42,55i0,4700,6919,mortality,110.949997,1
42,79i0,6900,6919,takeover,0.950000,0
42,1i18,4900,6959,mortality,102.949997,3
42,80i0,6900,6959,takeover,2.950000,0
42,61i0,5100,7039,mortality,96.949997,3
42,59i0,4900,7059,mortality,107.949997,2
42,83i0,7060,7099,takeover,1.950000,0
42,60i0,5000,7199,mortality,109.949997,1
42,62i0,5240,7259,mortality,100.949997,1
42,65i0,5420,7299,mortality,93.949997,1
42,64i0,5360,7439,mortality,103.949997,0
42,63i0,5260,7479,mortality,110.949997,2
42,68i0,5540,7479,mortality,96.949997,3
42,88i0,7460,7499,takeover,1.950000,0
42,66i0,5480,7539,mortality,102.949997,2
42,70i1,5760,7759,mortality,99.949997,1
42,69i2,5760,7779,mortality,100.949997,1
42,67i1,5580,7779,mortality,109.949997,2
42,91i0,7680,7779,takeover,4.950000,0
42,72i0,6080,7979,mortality,94.949997,1
42,92i0,7940,7999,takeover,2.950000,0
42,71i0,5920,8099,mortality,108.949997,1
42,94i0,8040,8099,takeover,2.950000,0
42,73i0,6220,8179,mortality,97.949997,1
42,74i1,6340,8319,mortality,98.949997,2
42,97i0,8340,8359,takeover,0.950000,0
42,75i1,6460,8459,mortality,99.949997,1
42,77i1,6620,8539,mortality,95.949997,2
42,99i0,8560,8579,takeover,0.950000,0
42,78i0,6760,8619,mortality,92.949997,1
42,76i1,6560,8699,mortality,106.949997,2
42,79i1,6920,8839,mortality,95.949997,1
42,102i0,8860,8879,takeover,0.950000,0
42,81i0,6980,8919,mortality,96.949997,1
42,80i1,6960,8959,mortality,99.949997,2
42,83i1,7100,8999,mortality,94.949997,2
42,82i0,7040,9039,mortality,99.949997,2
42,105i0,9020,9339,takeover,15.950000,0
42,87i0,7420,9359,mortality,96.949997,2
42,85i0,7280,9399,mortality,105.949997,1
42,84i0,7120,9419,mortality,114.949997,1
42,86i0,7400,9459,mortality,102.949997,1
42,105i1,9340,9499,takeover,7.950000,0
42,90i0,7660,9579,mortality,95.949997,1
42,88i1,7500,9699,mortality,109.949997,2
42,109i0,9660,9739,takeover,3.950000,0
42,112i0,9720,9739,takeover,0.950000,0
42,108i0,9600,9759,takeover,7.950000,0
42,91i1,7780,9839,mortality,102.949997,1
42,89i0,7580,9879,mortality,114.949997,1
42,93i0,7960,9939,mortality,98.949997,0
42,94i1,8100,9959,mortality,92.949997,2
42,115i0,9980,9999,takeover,0.950000,0
42,92i1,8000,10099,mortality,104.949997,2
42,116i0,10160,10219,takeover,2.950000,0
42,96i0,8200,10239,mortality,101.949997,1
42,117i0,10180,10239,takeover,2.950000,0
42,95i0,8120,10279,mortality,107.949997,1
42,118i0,10280,10319,takeover,1.950000,0
42,97i1,8360,10339,mortality,98.949997,1
42,100i0,8580,10419,mortality,91.949997,2
42,119i0,10380,10439,takeover,2.950000,0
42,120i0,10400,10459,takeover,2.950000,0
42,98i0,8440,10479,mortality,101.949997,1
42,99i1,8580,10499,mortality,95.949997,2
42,122i0,10600,10659,takeover,2.950000,0
42,123i0,10680,10699,takeover,0.950000,0
42,124i0,10680,10739,takeover,2.950000,0
42,101i0,8760,10759,mortality,99.949997,2
42,102i1,8880,10879,mortality,99.949997,3
42,103i0,8980,10899,mortality,95.949997,3
42,106i0,9080,10919,mortality,91.949997,1
42,104i0,9000,11019,mortality,100.949997,2
42,128i0,11000,11039,takeover,1.950000,0
42,107i0,9100,11079,mortality,98.949997,2
42,130i0,11260,11319,takeover,2.950000,0
42,105i2,9500,11539,mortality,101.949997,3
42,111i0,9680,11639,mortality,97.949997,0
42,109i1,9740,11639,mortality,94.949997,3
42,112i1,9740,11679,mortality,96.949997,0
42,110i0,9660,11699,mortality,101.949997,2
42,113i0,9740,11739,mortality,99.949997,2
42,115i1,10000,11819,mortality,90.949997,2
42,108i1,9760,11839,mortality,103.949997,1
42,114i0,9980,11959,mortality,98.949997,1
42,122i1,10660,12000,survived,67.000000,0
