sites,arm,seed,hash,occupancy,final_population,extinct,frozen,births,deaths,plant_count,plant_births,highest_plant_generation,growth_founder,growth_final,growth_delta,seed_investment_founder,seed_investment_final,seed_investment_delta,water_efficiency_founder,water_efficiency_final,water_efficiency_delta,nutrition_founder,nutrition_final,nutrition_delta,defense_founder,defense_final,defense_delta,dispersal_founder,dispersal_final,dispersal_delta,moisture_tolerance_founder,moisture_tolerance_final,moisture_tolerance_delta,temperature_tolerance_founder,temperature_tolerance_final,temperature_tolerance_delta,nutrient_uptake_founder,nutrient_uptake_final,nutrient_uptake_delta,seedling_resilience_founder,seedling_resilience_final,seedling_resilience_delta,seed_production_rate_founder,seed_production_rate_final,seed_production_rate_delta
24site,contest-off,42,14552101816820048278,0.909722,48,false,false,150,114,23,206,14,0.500000,0.544043,0.044043,0.500000,0.690466,0.190466,0.500000,0.526585,0.026585,0.500000,0.234374,-0.265626,0.500000,0.381261,-0.118739,0.500000,0.438285,-0.061715,0.500000,0.496185,-0.003815,0.500000,0.584126,0.084126,0.500000,0.750490,0.250490,0.500000,0.411531,-0.088469,0.500000,0.352487,-0.147513
24site,contest-off,43,14197239496077694629,0.909722,48,false,false,145,109,21,229,17,0.500000,0.585990,0.085990,0.500000,0.553868,0.053868,0.500000,0.515302,0.015302,0.500000,0.445826,-0.054174,0.500000,0.380054,-0.119946,0.500000,0.489461,-0.010539,0.500000,0.559298,0.059298,0.500000,0.615951,0.115951,0.500000,0.498226,-0.001774,0.500000,0.440563,-0.059437,0.500000,0.459241,-0.040759
24site,contest-off,44,12227233375447478540,0.914931,48,false,false,151,115,23,232,17,0.500000,0.538945,0.038945,0.500000,0.765757,0.265757,0.500000,0.332610,-0.167390,0.500000,0.446990,-0.053010,0.500000,0.438006,-0.061994,0.500000,0.579784,0.079784,0.500000,0.618424,0.118424,0.500000,0.626880,0.126880,0.500000,0.275039,-0.224961,0.500000,0.370804,-0.129196,0.500000,0.350925,-0.149075
24site,contest-off,45,168083004422717244,0.907986,47,false,false,149,114,23,251,18,0.500000,0.880566,0.380566,0.500000,0.324570,-0.175430,0.500000,0.552450,0.052450,0.500000,0.545044,0.045044,0.500000,0.492481,-0.007519,0.500000,0.788645,0.288645,0.500000,0.730078,0.230078,0.500000,0.181780,-0.318220,0.500000,0.500002,0.000002,0.500000,0.334947,-0.165053,0.500000,0.614185,0.114185
24site,contest-off,46,6879244634711091817,0.935070,48,false,false,140,104,22,240,16,0.500000,0.609336,0.109336,0.500000,0.711200,0.211200,0.500000,0.372007,-0.127993,0.500000,0.311861,-0.188139,0.500000,0.624883,0.124883,0.500000,0.732726,0.232726,0.500000,0.425705,-0.074295,0.500000,0.786898,0.286898,0.500000,0.335119,-0.164881,0.500000,0.253146,-0.246854,0.500000,0.396392,-0.103608
24site,contest-off,47,18234561692654314230,0.907639,48,false,false,143,107,20,214,15,0.500000,0.689916,0.189916,0.500000,0.712839,0.212839,0.500000,0.258075,-0.241925,0.500000,0.386820,-0.113180,0.500000,0.427011,-0.072989,0.500000,0.569331,0.069331,0.500000,0.543419,0.043419,0.500000,0.647365,0.147365,0.500000,0.262545,-0.237455,0.500000,0.341727,-0.158273,0.500000,0.458571,-0.041429
24site,contest-off,48,1712242720043465541,0.928125,48,false,false,134,98,24,222,16,0.500000,0.565523,0.065523,0.500000,0.746172,0.246172,0.500000,0.284263,-0.215737,0.500000,0.379005,-0.120995,0.500000,0.427825,-0.072175,0.500000,0.656006,0.156006,0.500000,0.592802,0.092802,0.500000,0.632981,0.132981,0.500000,0.315072,-0.184928,0.500000,0.386497,-0.113503,0.500000,0.262289,-0.237711
24site,contest-off,49,2821249051000802409,0.913542,48,false,false,158,122,22,244,12,0.500000,0.400095,-0.099905,0.500000,0.500336,0.000336,0.500000,0.485140,-0.014860,0.500000,0.444897,-0.055103,0.500000,0.644472,0.144472,0.500000,0.675432,0.175432,0.500000,0.332087,-0.167913,0.500000,0.506161,0.006161,0.500000,0.376448,-0.123552,0.500000,0.449092,-0.050908,0.500000,0.601709,0.101709
24site,contest-off,50,14643525569196657475,0.892708,48,false,false,141,105,23,215,14,0.500000,0.554334,0.054334,0.500000,0.530023,0.030023,0.500000,0.736023,0.236023,0.500000,0.384531,-0.115469,0.500000,0.410715,-0.089285,0.500000,0.489286,-0.010714,0.500000,0.591667,0.091667,0.500000,0.655117,0.155117,0.500000,0.653157,0.153157,0.500000,0.170069,-0.329931,0.500000,0.442162,-0.057838
24site,contest-off,51,5257982699579292710,0.916667,48,false,false,147,111,24,224,14,0.500000,0.460558,-0.039442,0.500000,0.465284,-0.034716,0.500000,0.561090,0.061090,0.500000,0.688319,0.188319,0.500000,0.373298,-0.126702,0.500000,0.639268,0.139268,0.500000,0.398090,-0.101910,0.500000,0.459661,-0.040339,0.500000,0.539790,0.039790,0.500000,0.627444,0.127444,0.500000,0.405285,-0.094715
24site,contest-off,52,15946597305579365653,0.915625,48,false,false,131,95,22,212,15,0.500000,0.488277,-0.011723,0.500000,0.669261,0.169261,0.500000,0.283334,-0.216666,0.500000,0.439267,-0.060733,0.500000,0.503733,0.003733,0.500000,0.516746,0.016746,0.500000,0.608748,0.108748,0.500000,0.660612,0.160612,0.500000,0.312228,-0.187772,0.500000,0.441604,-0.058396,0.500000,0.495317,-0.004683
24site,contest-off,53,8649780438695080434,0.921528,48,false,false,142,106,22,231,19,0.500000,0.562731,0.062731,0.500000,0.862227,0.362227,0.500000,0.432547,-0.067453,0.500000,0.381091,-0.118909,0.500000,0.369860,-0.130140,0.500000,0.682424,0.182424,0.500000,0.692322,0.192322,0.500000,0.745906,0.245906,0.500000,0.368663,-0.131337,0.500000,0.491584,-0.008416,0.500000,0.339073,-0.160927
24site,contest-off,54,14432202653882858653,0.912847,48,false,false,143,107,22,203,19,0.500000,0.610747,0.110747,0.500000,0.605684,0.105684,0.500000,0.639701,0.139701,0.500000,0.433108,-0.066892,0.500000,0.359762,-0.140238,0.500000,0.557096,0.057096,0.500000,0.474218,-0.025782,0.500000,0.724561,0.224561,0.500000,0.560813,0.060813,0.500000,0.531018,0.031018,0.500000,0.439152,-0.060848
24site,contest-off,55,4062249512524750087,0.901736,48,false,false,151,115,24,239,13,0.500000,0.382905,-0.117095,0.500000,0.439665,-0.060335,0.500000,0.454097,-0.045903,0.500000,0.472187,-0.027813,0.500000,0.534617,0.034617,0.500000,0.653636,0.153636,0.500000,0.240407,-0.259593,0.500000,0.420985,-0.079015,0.500000,0.576357,0.076357,0.500000,0.575801,0.075801,0.500000,0.552778,0.052778
24site,contest-off,56,1562815775894491350,0.896528,48,false,false,148,112,22,210,17,0.500000,0.742395,0.242395,0.500000,0.669796,0.169796,0.500000,0.405353,-0.094647,0.500000,0.346703,-0.153297,0.500000,0.282892,-0.217108,0.500000,0.624495,0.124495,0.500000,0.577206,0.077206,0.500000,0.753508,0.253508,0.500000,0.342696,-0.157304,0.500000,0.379613,-0.120387,0.500000,0.648436,0.148436
