+arm,seed,births,final_population,flee_decisions,state_hash
mate-safety-off,42,285,48,27627,5536980505421044029
mate-safety-off,43,298,48,43123,4128309113127263678
mate-safety-off,44,286,48,70074,10221592336384548860
mate-safety-off,45,284,48,24060,6296233285024287044
mate-safety-off,46,289,48,64813,829755267703734534
mate-safety-off,47,289,48,31772,1454034246072738156
mate-safety-off,48,295,48,22170,315341964203873494
mate-safety-off,49,283,48,72244,12737765039209018800
mate-safety-off,50,272,48,117084,9344552453013545004
mate-safety-off,51,278,48,48627,17030456096868356423
mate-safety-off,52,283,48,74166,6649812940313622514
mate-safety-off,53,284,48,47570,10506514936557651506
mate-safety-off,54,291,48,44810,3662846194623272015
mate-safety-off,55,288,48,10940,3124238839168691142
mate-safety-off,56,272,48,41630,15278875148463338241
mate-safety-off,57,289,48,24830,1890895601683085099
mate-safety-off,58,275,48,85170,1108191810392505180
mate-safety-off,59,283,48,90953,11929875879755919045
mate-safety-off,60,290,48,76493,15307362173623557933
mate-safety-off,61,275,48,33563,4128716182832710885
mate-safety-off,62,283,48,43921,8923673085123277192
mate-safety-off,63,282,48,71755,6140306391164599107
mate-safety-off,64,282,48,68880,451834506378592166
mate-safety-off,65,287,48,38487,9200936608915229649
mate-safety-off,66,282,48,20928,15820879054608645127
mate-safety-off,67,291,48,6830,1786434839178692484
mate-safety-off,68,280,48,22811,4764743032096152070
mate-safety-off,69,292,48,23020,3716110094579244387
mate-safety-off,70,286,48,78821,1716321827266037769
mate-safety-off,71,291,48,74781,9472444566590123557
mate-safety-off,72,287,48,60139,9173554637059199660
mate-safety-off,73,278,48,99631,7725882613791447230
mate-safety-off,74,288,48,42962,13228588866136533903
mate-safety-off,75,283,48,53930,1966385289067390288
mate-safety-off,76,286,48,18745,3754062009482184489
mate-safety-off,77,282,48,61830,15907064048314002543
mate-safety-off,78,274,48,79505,541785891620655039
mate-safety-off,79,284,48,104333,1612951659157121140
mate-safety-off,80,290,48,65336,17756159793982617116
mate-safety-off,81,290,48,59951,17035561919320428569
mate-safety-off,82,279,48,52964,617704704891759550
mate-safety-off,83,295,48,37071,9851593138355113592
mate-safety-off,84,283,48,46072,15872847569410424457
mate-safety-off,85,280,48,19401,11847041785837078992
mate-safety-off,86,294,48,37291,8829000124978782727
mate-safety-off,87,282,48,37343,11638488998752654207
mate-safety-off,88,295,48,40872,16127928899552991918
mate-safety-off,89,287,48,65171,2079340544398939466
mate-safety-off,90,201,48,59772,11293137016570780748
mate-safety-off,91,287,48,43026,15695803844643987345
mate-safety-off,92,288,48,32060,3472460324633237731
mate-safety-off,93,298,48,27990,7671035476682301516
mate-safety-off,94,292,48,12920,15678780107215793542
mate-safety-off,95,295,48,74700,17633756596600354722
mate-safety-off,96,289,48,14840,14089512971857246548
mate-safety-off,97,301,48,53220,10370979426357284671
mate-safety-off,98,292,48,21810,3729606635639618349
mate-safety-off,99,286,48,53295,6170616818703948391
mate-safety-off,100,277,48,79146,15310637784307569226
mate-safety-off,101,281,48,86476,1184844679814393067
mate-safety-off,102,286,48,45120,902399693473458947
mate-safety-off,103,294,48,17861,1521064728495841983
mate-safety-off,104,287,48,55832,10978384195264891911
mate-safety-off,105,283,48,66616,877890370623250539
mate-safety-off,106,289,48,40892,17506932168718043403
mate-safety-off,107,296,48,23641,5230878541225139873
mate-safety-off,108,288,48,40733,17592268561634662958
mate-safety-off,109,288,48,22600,16629625121391832276
mate-safety-off,110,288,48,82911,7504892861599415972
mate-safety-off,111,292,48,66773,5157049589579488420
mate-safety-off,112,282,48,91093,12018621417812182768
mate-safety-off,113,282,48,70254,7248263654352173025
mate-safety-off,114,276,48,65281,4138428152775928371
mate-safety-off,115,294,48,24375,848333992955229830
mate-safety-off,116,288,48,124389,15913267014161059780
mate-safety-off,117,264,48,62500,3179684560814045500
mate-safety-off,118,284,48,36469,6651139863707571972
mate-safety-off,119,295,48,26553,2536840053493571640
mate-safety-off,120,289,48,62773,8278408924857404647
mate-safety-off,121,276,48,124706,1314703297733820274
mate-safety-off,122,296,48,20240,13818479325310986130
mate-safety-off,123,280,48,24602,4762499630199335
mate-safety-off,124,293,48,34514,15614687303397609969
mate-safety-off,125,298,48,17071,4570781407099155145
mate-safety-off,126,294,48,46693,9923611420681731215
mate-safety-off,127,293,48,75209,16546150917946804330
mate-safety-off,128,276,48,40430,16926151166658810689
mate-safety-off,129,293,48,31365,4854237934287465278
mate-safety-off,130,271,48,88851,1790757584046819332
mate-safety-off,131,290,48,72651,14317013350134435190
mate-safety-off,132,296,48,20931,9279432528786465455
mate-safety-off,133,292,48,76029,11004599668435928424
mate-safety-off,134,272,48,55763,17743259033196635572
mate-safety-off,135,292,48,25936,13152715412436522296
mate-safety-off,136,285,48,69819,6115399934458059394
mate-safety-off,137,279,48,30900,2214253036506651533
mate-safety-off,138,292,48,21465,9271249919764526468
mate-safety-off,139,285,48,25650,5955509270181690180
mate-safety-off,140,281,48,30257,14529623231385451868
mate-safety-off,141,278,48,49052,1634269678364997393
mate-safety-off,142,294,48,44562,16509182047414476310
mate-safety-off,143,287,48,64700,10364170539800410973
mate-safety-off,144,294,48,32003,9031804931848348486
mate-safety-off,145,286,48,57871,5819105459764314349
mate-safety-off,146,286,48,29614,16637217488424027130
mate-safety-off,147,296,48,62601,16949223906020225106
mate-safety-off,148,297,48,58933,5642800250133190879
mate-safety-off,149,286,48,23224,3030566542646241828
mate-safety-off,150,290,48,58120,2060793755287949933
mate-safety-off,151,295,48,51016,16323016516029212456
mate-safety-off,152,288,48,26053,52787894474545272
mate-safety-off,153,283,48,39361,16884085249267567676
mate-safety-off,154,291,48,27081,13276451369731874082
mate-safety-off,155,295,48,84092,7335228562646586891
mate-safety-off,156,289,48,55051,3065155728898847131
mate-safety-off,157,289,48,57764,9503359500610051687
mate-safety-off,158,286,48,51958,10351631998331077158
mate-safety-off,159,274,48,64030,8014868927141714922
mate-safety-off,160,284,48,20115,17819792704918984492
mate-safety-off,161,296,48,31940,17529739648024335109
mate-safety-on,42,283,48,16975,5642149593804467018
mate-safety-on,43,284,48,29205,11191868625202654612
mate-safety-on,44,284,48,21900,13077844374726864614
mate-safety-on,45,285,48,56101,15940068100871114674
mate-safety-on,46,291,48,107688,2151489615946356522
mate-safety-on,47,300,48,28730,6225806433001122999
mate-safety-on,48,294,48,21170,1777885774953125357
mate-safety-on,49,288,48,36022,8867611894690885285
mate-safety-on,50,292,48,40981,16688593075123120075
mate-safety-on,51,285,48,30760,2945060197316767766
mate-safety-on,52,277,48,57910,3917503624327146408
mate-safety-on,53,290,48,41793,11293771839233289114
mate-safety-on,54,287,48,33352,13474305100545871206
mate-safety-on,55,277,48,37830,4054080643131790087
mate-safety-on,56,282,48,34330,15172374491858549307
mate-safety-on,57,290,48,30301,2290798655571118288
mate-safety-on,58,280,48,33620,12161868233634944794
mate-safety-on,59,274,48,29650,18048069255595714391
mate-safety-on,60,291,48,22000,6814249403664961347
mate-safety-on,61,282,48,32230,7484982627044895486
mate-safety-on,62,290,48,19480,17835631191584180689
mate-safety-on,63,275,48,35350,2951769120132492901
mate-safety-on,64,295,48,42860,722964406999291243
mate-safety-on,65,294,48,26752,2071124041730589282
mate-safety-on,66,279,48,31275,14769112712817302651
mate-safety-on,67,292,48,12580,17545249167443130997
mate-safety-on,68,279,48,23531,15691939555926434714
mate-safety-on,69,290,48,13640,2112957742445361179
mate-safety-on,70,289,48,58830,9486109562489991459
mate-safety-on,71,285,48,24280,13589706447728592746
mate-safety-on,72,293,48,23470,3237799074390539865
mate-safety-on,73,290,48,61674,18031595984474248173
mate-safety-on,74,283,48,39350,1811901279894484322
mate-safety-on,75,290,48,64298,5692026179016575404
mate-safety-on,76,282,48,27790,13631085861545795876
mate-safety-on,77,292,48,10205,6841424955513756507
mate-safety-on,78,281,48,57721,2020674158482166845
mate-safety-on,79,284,48,65121,208581461257837623
mate-safety-on,80,286,48,25071,6867174405193882247
mate-safety-on,81,283,48,49565,15962328225807921963
mate-safety-on,82,283,48,28340,613597292099623921
mate-safety-on,83,291,48,53970,11698124430763215556
mate-safety-on,84,281,48,42700,4987358970867281128
mate-safety-on,85,283,48,23085,17248352784733663668
mate-safety-on,86,288,48,56791,13044473898494050277
mate-safety-on,87,284,48,40421,10935014633925119497
mate-safety-on,88,295,48,24010,6074762802380331742
mate-safety-on,89,283,48,45185,9769804963989992846
mate-safety-on,90,277,48,43290,3763867350476648159
mate-safety-on,91,287,48,56682,1181171336145896982
mate-safety-on,92,287,48,29740,6710940408626415947
mate-safety-on,93,289,48,37540,6246840519836425081
mate-safety-on,94,287,48,5170,11639240005072451233
mate-safety-on,95,287,48,29430,4869155324837312202
mate-safety-on,96,290,48,26760,3151719344509995809
mate-safety-on,97,295,48,38821,6216569926388004966
mate-safety-on,98,277,48,33522,2177796294677609213
mate-safety-on,99,291,48,22191,5029687864950339116
mate-safety-on,100,282,48,38575,17947684681502677755
mate-safety-on,101,292,48,79520,2527813164016971724
mate-safety-on,102,289,48,62246,16452850948477341051
mate-safety-on,103,282,48,20730,910461862855131410
mate-safety-on,104,285,48,20000,10427209482411677704
mate-safety-on,105,289,48,45900,16267912227183258581
mate-safety-on,106,288,48,26181,1690961800457780759
mate-safety-on,107,301,48,49722,17221019266778023490
mate-safety-on,108,285,48,33823,11121664161063271003
mate-safety-on,109,294,48,32431,18123806374605149226
mate-safety-on,110,278,48,38115,5900827380760213797
mate-safety-on,111,285,48,44780,17648697135815361086
mate-safety-on,112,279,48,56345,9693281893360926730
mate-safety-on,113,287,48,42985,16062831295938794298
mate-safety-on,114,273,48,9990,1811975278655204428
mate-safety-on,115,286,48,26570,2849338562298506406
mate-safety-on,116,284,48,50495,6245443870187115972
mate-safety-on,117,286,48,80940,18049788556669851641
mate-safety-on,118,283,48,16620,10842439551643477810
mate-safety-on,119,296,48,29870,8200245464470796367
mate-safety-on,120,286,48,34950,17131774793234134165
mate-safety-on,121,291,48,41540,14066267377036614002
mate-safety-on,122,297,48,16130,17245230958420265045
mate-safety-on,123,280,48,31257,2892668594389244403
mate-safety-on,124,295,48,41482,5617890293262704164
mate-safety-on,125,300,48,9371,16449287248056659724
mate-safety-on,126,295,48,49702,2759959026380886275
mate-safety-on,127,286,48,46170,764367291071059549
mate-safety-on,128,284,48,38681,5090877334778473010
mate-safety-on,129,292,48,47851,2004269919240379241
mate-safety-on,130,279,48,100662,8603705319156214933
mate-safety-on,131,295,48,46266,13705920874247197458
mate-safety-on,132,284,48,21606,14536738119095956665
mate-safety-on,133,283,48,32420,9248682233479744138
mate-safety-on,134,259,48,64260,8835890481152249678
mate-safety-on,135,290,48,20880,5143886418019312646
mate-safety-on,136,294,48,28740,9159073081315431944
mate-safety-on,137,283,48,23201,6638225162295998518
mate-safety-on,138,285,48,36523,4193464253370040758
mate-safety-on,139,290,48,25930,16321421646943715542
mate-safety-on,140,296,48,30090,17700056190194470793
mate-safety-on,141,281,48,47261,17066638583219154802
mate-safety-on,142,289,48,45035,16065767015878341036
mate-safety-on,143,283,48,36840,15927776392836114599
mate-safety-on,144,298,48,23750,5379348434104734805
mate-safety-on,145,285,48,63703,14549176940661697886
mate-safety-on,146,281,48,24880,3262001031603181567
mate-safety-on,147,283,48,20992,4826474972960915440
mate-safety-on,148,293,48,26220,3617510804613730683
mate-safety-on,149,287,48,19913,2812228123966206688
mate-safety-on,150,288,48,31590,2621146246646661178
mate-safety-on,151,295,48,11720,17240002493337506675
mate-safety-on,152,284,48,43431,4812084356205617257
mate-safety-on,153,294,48,45889,2524909860338696361
mate-safety-on,154,287,48,29834,16157722753851575528
mate-safety-on,155,281,48,29270,5798027444589080354
mate-safety-on,156,292,48,28500,12792760049157049220
mate-safety-on,157,288,48,37481,12855706769626469360
mate-safety-on,158,291,48,18161,11508030153242466665
mate-safety-on,159,287,48,30497,12118142620166151248
mate-safety-on,160,291,48,46955,520473418561929634
mate-safety-on,161,284,48,34520,5618665786825743761

