arm,seed,mean_site_occupancy,seed_production_rate_delta,dispersal_delta,final_population,highest_plant_generation,state_hash
scarce-off,42,0.914926,-0.038267,0.111767,48,16,16665256016848518431
scarce-off,43,0.908101,-0.017829,0.078117,48,14,9974125532917181763
scarce-off,44,0.906988,-0.012267,0.101640,48,15,14276498029342957160
scarce-off,45,0.918238,0.055605,0.104562,48,18,2866320571492266390
scarce-off,46,0.892889,0.059041,-0.009993,48,15,16817289464861418778
scarce-off,47,0.907352,0.079390,0.114400,48,15,517754924753054934
scarce-off,48,0.917057,0.003138,0.146178,48,16,4240506787781906531
scarce-off,49,0.913460,-0.060247,0.097977,48,17,15443589269432483218
scarce-off,50,0.903022,0.002866,0.097010,48,19,17066080580284706517
scarce-off,51,0.910812,0.044961,0.139957,48,12,4327629812005007656
scarce-off,52,0.906723,-0.057164,0.061550,48,14,10642604779277720879
scarce-off,53,0.919691,-0.017721,0.122834,48,13,12871342665219898827
scarce-off,54,0.907869,0.022038,0.069750,48,14,9740744806622463611
scarce-off,55,0.900687,-0.123680,0.220815,48,17,1710353153756699140
scarce-off,56,0.916790,-0.009382,0.125638,48,16,12402801777748282657
scarce-off,57,0.908805,-0.198533,0.122186,48,19,7914214884660574999
scarce-off,58,0.903795,0.020910,0.023916,48,14,17126400491798122642
scarce-off,59,0.916900,0.015148,0.113154,48,17,13010190732761286052
scarce-off,60,0.901099,0.022998,0.011839,48,14,5978948496973557184
scarce-off,61,0.921441,-0.095971,0.208415,48,14,17094316832639370221
scarce-off,62,0.903607,-0.061734,-0.015262,48,16,15061340176211140885
scarce-off,63,0.903598,0.034922,0.093503,48,14,5921425226166732947
scarce-off,64,0.907483,-0.025654,0.027989,48,15,18089017604341822991
scarce-off,65,0.889859,-0.094822,0.139098,48,15,789905244028171233
scarce-off,66,0.906369,-0.047981,-0.006486,48,14,11376521479433592502
scarce-off,67,0.914560,0.061649,0.132491,48,15,17818626614977058524
scarce-off,68,0.924271,0.033466,0.063599,48,13,7054616545543159909
scarce-off,69,0.916589,0.033789,0.096289,48,16,6941978346601449314
scarce-off,70,0.913174,-0.049940,0.068657,48,15,15392373866885146223
scarce-off,71,0.913599,-0.071950,0.127275,48,16,15317882281729504446
scarce-off,72,0.904776,0.047898,0.106050,48,17,8660973724180786511
scarce-off,73,0.913049,-0.112742,0.108441,48,14,12512576722849562003
scarce-off,74,0.917830,0.037596,0.150977,48,16,16275550667628752607
scarce-off,75,0.906100,0.166709,0.022014,48,16,12877678890332083148
scarce-off,76,0.905819,-0.024848,0.023689,48,16,1423219391472907208
scarce-off,77,0.899162,-0.034239,-0.033843,48,16,8234642169711090111
scarce-off,78,0.902140,0.051534,0.093230,48,15,8794515956767848988
scarce-off,79,0.917949,0.022189,0.058450,48,15,9514346689751356660
scarce-off,80,0.893750,0.093608,0.095904,48,14,1311946133407263941
scarce-off,81,0.912123,0.114761,0.115528,48,16,15233015186095002248
scarce-off,82,0.909010,0.047230,0.137348,48,17,7219194903019779307
scarce-off,83,0.903503,0.076984,0.088307,48,17,14453435046044608088
scarce-off,84,0.920946,-0.032811,0.110837,48,15,17770273763368341226
scarce-off,85,0.919854,0.073884,0.114526,48,15,6560133794909291847
scarce-off,86,0.910822,0.092435,0.062982,48,15,8573201125852119133
scarce-off,87,0.895585,0.043655,-0.001093,48,14,18114195642353936087
scarce-off,88,0.905138,-0.069848,0.107071,48,15,10042026396051723342
scarce-off,89,0.896579,0.017645,0.128709,48,13,15616151085901477306
scarce-off,90,0.901304,0.005598,0.007294,48,14,14851291776001556787
scarce-off,91,0.918998,-0.122961,0.170895,48,14,12637231489040791735
scarce-off,92,0.907276,0.113946,0.194726,48,17,15200633716451189009
scarce-off,93,0.893951,0.051715,0.073704,48,13,9630812482145056275
scarce-off,94,0.896536,-0.063870,0.007044,48,14,5246045678407180525
scarce-off,95,0.909485,0.041376,0.083218,48,14,4422080213501218256
scarce-off,96,0.909226,0.099634,0.080309,48,14,16279038286672265049
scarce-off,97,0.915322,-0.065731,0.106266,48,15,1661894187049445917
scarce-off,98,0.901642,0.000498,0.091820,48,11,12038571935460488091
scarce-off,99,0.920682,-0.038047,0.042918,48,13,2797415932266064421
scarce-off,100,0.891918,-0.033211,-0.051831,48,15,7369878370011993470
scarce-off,101,0.909073,0.002040,0.144607,48,17,14807938768631158553
scarce-off,102,0.916917,-0.121751,0.001640,48,14,13321358308567871012
scarce-off,103,0.907437,-0.035717,0.015346,48,15,2041535101186768431
scarce-off,104,0.908198,0.032305,0.071616,48,17,3753520921174155174
scarce-off,105,0.903857,-0.068342,0.053398,48,15,3334925708851614173
scarce-off,106,0.897895,0.043060,0.077984,48,14,4432313661765180701
scarce-off,107,0.918531,-0.002299,0.037715,48,16,4058944048969699284
scarce-off,108,0.907265,0.001402,0.101665,48,14,6945010336551668851
scarce-off,109,0.904296,0.137403,0.054258,48,16,9477920242540688665
scarce-off,110,0.894764,-0.035040,0.064936,48,16,15242350423512448830
scarce-off,111,0.916086,0.097860,0.079543,48,15,9373480808171825802
scarce-off,112,0.919891,0.003978,0.085799,48,15,6931476881313096946
scarce-off,113,0.913476,0.140451,0.088387,48,15,14695191287003975490
scarce-off,114,0.901780,-0.133567,0.075473,48,14,354184531694142827
scarce-off,115,0.897571,-0.009249,0.026059,48,15,18400720869402184493
scarce-off,116,0.908031,0.029871,0.107968,48,13,9325068356217274354
scarce-off,117,0.909997,0.120679,0.135579,48,15,4140623632692701294
scarce-off,118,0.905483,-0.010801,0.051862,48,14,4457452135202776293
scarce-off,119,0.915755,0.056222,0.155332,48,15,4456317823580659031
scarce-off,120,0.907982,0.059908,0.008020,48,14,10509129699549349040
scarce-off,121,0.906778,-0.005809,0.045848,48,14,8276470384100453536
scarce-off,122,0.892902,0.031295,0.116632,48,16,9268577802247884104
scarce-off,123,0.905259,-0.028471,0.036665,48,15,11527521460901823402
scarce-off,124,0.914990,0.056475,0.148767,48,18,1504327331010123054
scarce-off,125,0.910050,-0.105229,0.030064,48,15,12358025986909194275
scarce-off,126,0.903230,0.021145,0.212067,48,18,4170506037036331785
scarce-off,127,0.917897,0.101904,0.031630,48,17,10276700626385578429
scarce-off,128,0.909294,0.055666,0.065871,48,16,763771230646286069
scarce-off,129,0.901222,-0.034426,0.013434,48,16,3019329188754039841
scarce-off,130,0.896850,0.100104,-0.028989,48,16,4172323768421363737
scarce-off,131,0.909093,0.000429,0.025788,48,14,17756557826087799154
scarce-off,132,0.909981,0.171078,0.090922,48,15,4033487136780964769
scarce-off,133,0.906703,-0.070533,0.109688,48,18,14850215153380203178
scarce-off,134,0.916158,-0.052498,0.063964,48,16,4195245772110743692
scarce-off,135,0.906015,0.010175,0.011651,48,15,1067573266407866049
scarce-off,136,0.909220,0.053450,0.072674,48,15,7166716875271015958
scarce-off,137,0.906514,0.074198,0.046722,48,15,7092045058137202704
scarce-off,138,0.916095,-0.045374,0.132099,48,15,1645701294365165721
scarce-off,139,0.914150,0.181663,0.192033,48,17,10164351028782589626
scarce-off,140,0.899835,-0.019912,0.038956,48,14,1077825282641275293
scarce-off,141,0.898464,0.089628,-0.003353,48,14,3531576469298008388
scarce-off,142,0.917282,0.055824,0.108778,48,15,12201676952414761140
scarce-off,143,0.921443,0.070904,0.165579,48,16,16225383945893781233
scarce-off,144,0.907775,-0.071184,-0.019921,48,15,11783426822182385082
scarce-off,145,0.911869,0.092960,0.225202,48,19,14959027146062800568
scarce-off,146,0.907066,0.040259,0.024663,48,14,15107028999029822698
scarce-off,147,0.895120,0.010727,0.046961,48,14,7488760992719764391
scarce-off,148,0.901163,0.045616,-0.003064,48,14,9591948605320316311
scarce-off,149,0.897493,0.008641,-0.065617,48,15,2477984170238846357
scarce-off,150,0.905165,0.089444,0.072481,48,17,10373938286690140196
scarce-off,151,0.910039,0.031877,0.012951,48,13,11829529250197901188
scarce-off,152,0.901655,0.107601,0.039272,48,17,7295024438034513717
scarce-off,153,0.907219,-0.112042,0.076507,48,14,18210549122662424635
scarce-off,154,0.896163,-0.019816,-0.022113,48,16,15190075985523551976
scarce-off,155,0.912190,-0.117582,0.109238,48,13,17059042162987327615
scarce-off,156,0.917333,0.064956,0.240478,48,16,11772300294628651504
scarce-off,157,0.907825,0.072201,0.102947,48,15,4734078969167353125
scarce-off,158,0.917048,-0.063524,0.064752,48,13,13132344364160714347
scarce-off,159,0.911508,-0.039615,0.012213,48,14,14859096896783421475
scarce-off,160,0.914011,-0.034482,0.093927,48,14,17176389481934210532
scarce-off,161,0.898130,-0.055780,0.009914,48,14,878167240928441319
scarce-on,42,0.908934,0.108296,0.094511,48,15,15373299847619322557
scarce-on,43,0.903096,0.036078,0.099414,48,15,18120135803722961636
scarce-on,44,0.913864,0.070158,0.076748,48,15,4869156891538983336
scarce-on,45,0.905537,0.068764,0.081185,48,14,10749805848628088319
scarce-on,46,0.894274,0.045646,0.090505,48,14,17288338085893364301
scarce-on,47,0.883749,-0.003349,0.049372,48,17,859065307294618789
scarce-on,48,0.910756,-0.012985,0.032648,48,16,4749923742677861975
scarce-on,49,0.906248,0.142752,0.113622,48,16,16411666803839737446
scarce-on,50,0.898391,-0.072467,0.039955,48,15,893120279869904015
scarce-on,51,0.912086,0.101142,0.270232,48,20,11830202494428515624
scarce-on,52,0.901609,0.028425,0.081662,48,13,15367546993280567222
scarce-on,53,0.889088,-0.000572,0.096650,48,16,1061329391317138670
scarce-on,54,0.900803,-0.004958,-0.012583,48,13,16328520544151173987
scarce-on,55,0.900697,0.032147,0.037969,48,15,16122524281413588702
scarce-on,56,0.914709,0.080037,0.105040,48,18,6429408383389858049
scarce-on,57,0.915052,0.098294,0.104155,48,17,17352964746509212876
scarce-on,58,0.902279,-0.086190,0.163536,48,13,16135610696803805180
scarce-on,59,0.916900,0.015148,0.113154,48,17,13010190732761286052
scarce-on,60,0.900876,0.090390,0.043106,48,15,16874311025930386540
scarce-on,61,0.900057,-0.043642,0.015818,48,17,16853397624221623914
scarce-on,62,0.895280,-0.030617,0.021667,48,17,16756843437780524638
scarce-on,63,0.889501,0.083541,0.007507,48,15,2981504307489179593
scarce-on,64,0.909778,-0.014597,0.049688,48,15,13861499437546132546
scarce-on,65,0.907686,-0.008092,0.194272,48,20,16440589562196717302
