arm,seed,founderMean,finalMean,delta,finalPatches,finalPopulation,plantGenerations
control(flagOff),42,0.4888780266046524,0.5492812855677172,0.060403258963064754,22,48,15
control(flagOff),43,0.6292803883552551,0.7304398909211158,0.1011595025658607,20,48,15
control(flagOff),44,0.3820610046386719,0.46155329545338947,0.07949229081471759,24,48,17
control(flagOff),45,0.5283463795979818,0.41412561872731085,-0.11422076087067096,23,48,15
control(flagOff),46,0.7521342039108276,0.778161038523135,0.02602683461230737,23,47,14
control(flagOff),47,0.826972077290217,0.7799064471171453,-0.04706563017307175,13,48,13
control(flagOff),48,0.24635499467452368,0.2845318814118703,0.03817688673734662,24,48,12
control(flagOff),49,0.25893983244895935,0.18964135816151445,-0.0692984742874449,22,48,14
control(flagOff),50,0.20993350694576898,0.16748144493802733,-0.04245206200774165,23,48,16
control(flagOff),51,0.7860384980837504,0.8770060331925101,0.09096753510875977,23,48,18
control(flagOff),52,0.6337338089942932,0.6381933650244838,0.004459556030190548,23,48,16
control(flagOff),53,0.29200752079486847,0.5087599223074706,0.2167524015126021,23,48,15
control(flagOff),54,0.332734281818072,0.31631329979585565,-0.01642098202221637,23,47,17
control(flagOff),55,0.263152855137984,0.2297772175591925,-0.03337563757879147,23,48,12
control(flagOff),56,0.7130719820658366,0.6390273002060977,-0.07404468185973889,22,48,16
control(flagOff),57,0.6601426502068838,0.653495552747146,-0.006647097459737794,23,48,15
control(flagOff),58,0.33117752770582837,0.26612687009302055,-0.06505065761280782,22,48,17
control(flagOff),59,0.6283102730909983,0.6015496551990509,-0.02676061789194739,24,48,15
control(flagOff),60,0.6740296483039856,0.5632729021211466,-0.11075674618283904,24,48,16
control(flagOff),61,0.7614104549090067,0.6723429787726629,-0.0890674761363438,21,48,14
control(flagOff),62,0.5489823818206787,0.5564509133497874,0.007468531529108646,21,48,13
control(flagOff),63,0.6587076882521311,0.6621227214733759,0.003415033221244812,24,48,17
control(flagOff),64,0.6350446542104086,0.5652847303585573,-0.06975992385185126,22,48,13
control(flagOff),65,0.3956620842218399,0.4168678067624569,0.021205722540616978,20,48,15
control(flagOff),66,0.5088470528523127,0.5951855310371944,0.08633847818488172,21,48,15
control(flagOff),67,0.34007349113623303,0.33628398397316533,-0.0037895071630676957,24,48,14
control(flagOff),68,0.29140061140060425,0.3824478183922015,0.09104720699159724,19,48,13
control(flagOff),69,0.5585380792617798,0.49650860916484485,-0.062029470096934936,22,48,12
control(flagOff),70,0.3360833674669266,0.4653964756677548,0.12931310820082825,24,48,14
control(flagOff),71,0.46232175330320996,0.3044034773888795,-0.15791827591433044,23,48,15
control(flagOff),72,0.7315403421719869,0.6648100584745407,-0.06673028369744627,20,48,13
control(flagOff),73,0.3189229716857274,0.27152282906615216,-0.04740014261957526,23,48,13
control(flagOff),74,0.725936641295751,0.8291108131408691,0.10317417184511812,20,48,13
control(flagOff),75,0.33519592384497326,0.42553097754716873,0.09033505370219547,24,48,15
control(flagOff),76,0.8006427884101868,0.874307237920307,0.07366444951012019,21,48,14
control(flagOff),77,0.17934821670254072,0.20482702099758646,0.02547880429504573,23,48,12
control(flagOff),78,0.27319960792859393,0.20524413206360556,-0.06795547586498837,22,48,13
control(flagOff),79,0.688066840171814,0.6725503454605738,-0.01551649471124017,24,48,14
control(flagOff),80,0.2992214113473892,0.36189045906066897,0.06266904771327975,20,48,16
control(flagOff),81,0.7933255136013031,0.8183930970373607,0.02506758343605764,21,47,13
control(flagOff),82,0.3389931470155716,0.33780004388906737,-0.0011931031265042247,22,48,13
control(flagOff),83,0.4544316232204437,0.5306331406940114,0.07620151747356763,22,48,15
control(flagOff),84,0.6600736379623413,0.6110687201673334,-0.04900491779500793,22,48,18
control(flagOff),85,0.37616389493147534,0.5279681098957857,0.15180421496431035,24,48,15
control(flagOff),86,0.1875732640425364,0.14103474110985795,-0.04653852293267846,24,48,13
control(flagOff),87,0.5193753391504288,0.5564604729413987,0.03708513379096989,20,48,16
