arm,seed,final_population,births,deaths,founder_deaths,founder_starvation,founder_dehydration,founder_other_deaths,first_founder_death_tick,last_founder_death_tick,stat_starvation_deaths,stat_dehydration_deaths,mean_founder_min_energy_fraction,mean_founder_min_hydration_fraction,mean_founder_mean_energy_fraction,mean_founder_mean_hydration_fraction,mean_founder_travel,mean_distance_to_water,mean_distance_to_food,adult_energy_ok_fraction,adult_hydration_ok_fraction,adult_joint_ok_fraction
stable,42,40,69,33,4,0,0,4,2310,4580,0,0,0.4977,0.6699,0.7778,0.8710,249.8844,1.6022,1.6022,0.9564,0.9938,0.9559
stable,43,40,67,31,4,0,0,4,2770,4480,0,0,0.4856,0.6722,0.7852,0.8762,202.0971,1.3200,1.3200,0.9573,0.9904,0.9568
stable,44,40,70,34,4,0,0,4,1970,4580,0,0,0.4327,0.6771,0.7677,0.8728,184.6630,1.4221,1.4221,0.9373,0.9905,0.9368
stable,45,40,78,42,4,0,0,4,1850,4140,0,0,0.4689,0.6979,0.7686,0.8738,168.0970,1.5331,1.5331,0.9426,0.9944,0.9421
stable,46,40,69,33,4,0,0,4,2690,5310,0,0,0.4541,0.6820,0.7692,0.8683,204.4650,1.4249,1.4249,0.9461,0.9938,0.9454
stable,47,40,60,24,4,0,0,4,1830,4980,0,0,0.4885,0.6614,0.7805,0.8684,233.6217,1.4720,1.4720,0.9682,0.9924,0.9675
stable,48,40,58,22,4,0,0,4,1930,5390,0,0,0.4358,0.7095,0.7659,0.8766,220.5714,1.2052,1.2052,0.9619,0.9965,0.9615
stable,49,40,75,39,4,0,0,4,2380,5200,0,0,0.4022,0.6505,0.7595,0.8584,184.8016,1.1665,1.1665,0.9436,0.9905,0.9429
stable,50,40,72,36,4,0,0,4,2340,4470,0,0,0.4615,0.6803,0.7728,0.8711,196.1266,1.2790,1.2790,0.9426,0.9910,0.9420
stable,51,40,56,20,4,0,0,4,2740,5400,0,0,0.4351,0.6588,0.7744,0.8711,231.9467,1.5344,1.5344,0.9329,0.9896,0.9325
stable,52,40,58,22,4,0,0,4,2520,5120,0,0,0.4684,0.6619,0.7796,0.8660,223.6426,1.5046,1.5046,0.9591,0.9916,0.9585
stable,53,40,63,27,4,0,0,4,3840,4860,0,0,0.5155,0.7161,0.7933,0.8841,231.9376,1.2068,1.2068,0.9651,0.9944,0.9646
stable,54,40,85,49,4,0,0,4,2010,5370,0,0,0.4583,0.6534,0.7637,0.8661,159.4345,1.6281,1.6281,0.9328,0.9904,0.9321
stable,55,40,70,34,4,0,0,4,2490,4370,0,0,0.4343,0.6822,0.7704,0.8750,191.3119,1.4473,1.4473,0.9365,0.9924,0.9356
stable,56,39,74,38,4,0,0,4,2240,4820,0,0,0.4280,0.6483,0.7506,0.8500,187.9469,1.2821,1.2821,0.9247,0.9849,0.9240
