scenario,seed,home_range,hash,final_population,births,deaths,food_consumed,water_consumed,site_transitions,same_site_repeats,same_site_fraction,mean_distinct_sites,mean_distance_from_centre,multi_food_candidate_fraction,mean_speed,mean_familiarity,familiar_multi_candidate_fraction
stable,42,off,10380714861655913604,40,69,33,1257.4479,372.3125,1841,1841,1.000000,1.000000,1.809032,0.000000,1.562516,0.000000,0.000000
stable,42,on,14429269760899139531,40,71,35,1276.3678,372.9375,1810,1810,1.000000,1.000000,1.793163,0.000000,1.553486,0.885906,0.000000
stable,43,off,1043068452047798448,40,67,31,1215.7904,358.6875,1630,1630,1.000000,1.000000,1.655164,0.000000,1.260710,0.000000,0.000000
stable,43,on,14702387048293550927,40,67,31,1221.8875,360.1875,1676,1676,1.000000,1.000000,1.664588,0.000000,1.237515,0.888100,0.000000
stable,44,off,11527038114098670639,40,70,34,1279.0900,366.2500,1769,1769,1.000000,1.000000,1.765351,0.000000,1.312315,0.000000,0.000000
stable,44,on,11376112000286741228,40,70,34,1282.9056,367.9375,1730,1730,1.000000,1.000000,1.758624,0.000000,1.283988,0.881090,0.000000
stable,45,off,16183664376660414600,40,78,42,1147.8411,367.8125,1659,1659,1.000000,1.000000,1.680257,0.000000,1.165243,0.000000,0.000000
stable,45,on,10559979368192922410,40,78,42,1129.9193,370.3125,1535,1535,1.000000,1.000000,1.671822,0.000000,1.134973,0.876827,0.000000
stable,46,off,9730124049806361150,40,69,33,1158.0509,337.3125,1494,1494,1.000000,1.000000,1.670898,0.000000,1.159134,0.000000,0.000000
stable,46,on,16112329738751842515,40,68,32,1162.4321,334.3750,1541,1541,1.000000,1.000000,1.728087,0.000000,1.181561,0.887632,0.000000
stable,47,off,1292331238896393858,40,60,24,1137.7938,343.3125,1415,1415,1.000000,1.000000,1.578766,0.000000,1.178207,0.000000,0.000000
stable,47,on,9569499174596600546,40,60,24,1148.2556,342.0000,1383,1383,1.000000,1.000000,1.584314,0.000000,1.176207,0.896196,0.000000
stable,48,off,2916159635442434325,40,58,22,1251.3396,372.6875,1543,1543,1.000000,0.983871,1.616953,0.000000,1.224618,0.000000,0.000000
