scenario,seed,home_range,hash,final_population,births,deaths,food_consumed,water_consumed,site_transitions,same_site_repeats,same_site_fraction,mean_distinct_sites,mean_distance_from_centre,multi_food_candidate_fraction,mean_speed,mean_familiarity,familiar_multi_candidate_fraction
stable,42,off,10380714861655913604,40,69,33,1257.4479,372.3125,1841,1841,1.000000,1.000000,1.809032,0.000000,1.562516,0.000000,0.000000
stable,42,on,12842560178203325282,40,70,34,1218.6218,376.5000,1666,1666,1.000000,1.000000,1.738006,0.000000,1.462387,0.887364,0.000000
stable,43,off,1043068452047798448,40,67,31,1215.7904,358.6875,1630,1630,1.000000,1.000000,1.655164,0.000000,1.260710,0.000000,0.000000
stable,43,on,9599336205505463483,40,67,31,1148.1836,360.0625,1382,1382,1.000000,1.000000,1.528838,0.000000,0.993787,0.886417,0.000000
stable,44,off,11527038114098670639,40,70,34,1279.0900,366.2500,1769,1769,1.000000,1.000000,1.765351,0.000000,1.312315,0.000000,0.000000
stable,44,on,6685976940488830185,40,72,36,1259.6577,368.5000,1772,1772,1.000000,1.000000,1.704834,0.000000,1.264179,0.880332,0.000000
stable,45,off,16183664376660414600,40,78,42,1147.8411,367.8125,1659,1659,1.000000,1.000000,1.680257,0.000000,1.165243,0.000000,0.000000
stable,45,on,8020982838679938370,40,78,42,1129.8739,380.7500,1435,1435,1.000000,1.000000,1.603447,0.000000,1.062833,0.877849,0.000000
stable,46,off,9730124049806361150,40,69,33,1158.0509,337.3125,1494,1494,1.000000,1.000000,1.670898,0.000000,1.159134,0.000000,0.000000
stable,46,on,11520257929227666985,40,67,31,1139.0474,346.5625,1392,1392,1.000000,1.000000,1.627016,0.000000,1.080496,0.886443,0.000000
stable,47,off,1292331238896393858,40,60,24,1137.7938,343.3125,1415,1415,1.000000,1.000000,1.578766,0.000000,1.178207,0.000000,0.000000
stable,47,on,15478199848331813824,40,70,34,1127.8289,342.0625,1347,1347,1.000000,1.000000,1.608181,0.000000,1.104584,0.880395,0.000000
stable,48,off,2916159635442434325,40,58,22,1251.3396,372.6875,1543,1543,1.000000,0.983871,1.616953,0.000000,1.224618,0.000000,0.000000
stable,48,on,13622180855148956810,40,58,22,1247.0765,390.0000,1312,1312,1.000000,1.000000,1.471122,0.000000,0.996642,0.907471,0.000000
stable,49,off,14357013770459880088,40,75,39,1345.2616,395.5625,1593,1593,1.000000,1.000000,1.633329,0.000000,1.180068,0.000000,0.000000
stable,49,on,7980148650304991089,40,75,39,1332.4675,398.1875,1534,1534,1.000000,1.000000,1.617845,0.000000,1.133574,0.877122,0.000000
stable,50,off,11259101101847709893,40,72,36,1322.8212,374.5000,1594,1594,1.000000,0.986842,1.598429,0.000000,1.240667,0.000000,0.000000
stable,50,on,15006892106600224096,40,73,37,1278.2417,387.2500,1387,1387,1.000000,0.987013,1.536182,0.000000,1.041227,0.881418,0.000000
stable,51,off,11050077021157618393,40,56,20,1179.7360,332.1250,1419,1419,1.000000,1.000000,1.728820,0.000000,1.243410,0.000000,0.000000
stable,51,on,4464958911915043647,40,62,26,1187.6914,336.0000,1508,1508,1.000000,1.000000,1.723279,0.000000,1.282599,0.885594,0.000000
stable,52,off,6082255383149395534,40,58,22,1288.8801,425.0625,1470,1470,1.000000,1.000000,1.726258,0.000000,1.239266,0.000000,0.000000
stable,52,on,1189921540537969255,40,59,23,1255.9164,425.5000,1402,1402,1.000000,1.000000,1.644840,0.000000,1.138223,0.893714,0.000000
stable,53,off,7676211810338396958,40,63,27,1145.2986,317.9375,1507,1507,1.000000,0.970149,1.533389,0.000000,1.115205,0.000000,0.000000
stable,53,on,17474035624654168109,40,66,30,1097.5984,334.1875,1372,1372,1.000000,0.942857,1.393271,0.000000,0.866195,0.899953,0.000000
stable,54,off,4060785922359883281,40,85,49,1111.8549,330.1250,1330,1330,1.000000,1.000000,1.683537,0.000000,1.048133,0.000000,0.000000
stable,54,on,9924512453033647905,40,83,47,1099.5907,324.9375,1361,1361,1.000000,1.000000,1.727771,0.000000,1.087445,0.844818,0.000000
stable,55,off,8412582737169502352,40,70,34,1162.0105,362.3750,1498,1498,1.000000,1.000000,1.686713,0.000000,1.151889,0.000000,0.000000
stable,55,on,6826039992989747663,40,71,35,1145.1858,356.6875,1608,1608,1.000000,1.000000,1.668166,0.000000,1.124197,0.878291,0.000000
stable,56,off,4963653973548619764,39,74,38,1534.3143,413.4375,1826,1826,1.000000,1.000000,1.700117,0.000000,1.268600,0.000000,0.000000
stable,56,on,1926746057127944812,40,74,38,1524.3145,412.1875,1818,1818,1.000000,1.000000,1.661492,0.000000,1.214606,0.881744,0.000000
stable,57,off,12358650640029919827,40,77,41,1358.2833,358.0625,1673,1673,1.000000,1.000000,1.735354,0.000000,1.267689,0.000000,0.000000
stable,57,on,9440083001204844289,40,77,41,1334.6879,357.8125,1674,1674,1.000000,1.000000,1.741912,0.000000,1.241626,0.871528,0.000000
stable,58,off,10405181528482483771,40,62,26,930.3076,302.8125,1264,1264,1.000000,1.000000,1.612783,0.000000,1.041842,0.000000,0.000000
stable,58,on,15330388090630275020,40,63,27,893.7461,320.0625,1105,1105,1.000000,1.000000,1.523763,0.000000,0.857403,0.887876,0.000000
stable,59,off,17725455324872991067,39,64,28,1171.9280,361.4375,1535,1535,1.000000,1.000000,1.777667,0.000000,1.249842,0.000000,0.000000
stable,59,on,13657144281647566586,39,64,28,1161.0682,366.5625,1460,1460,1.000000,1.000000,1.740618,0.000000,1.186387,0.882262,0.000000
stable,60,off,18063589584670470790,39,72,36,1230.0940,398.7500,1648,1648,1.000000,1.000000,1.757771,0.000000,1.316309,0.000000,0.000000
stable,60,on,8788645845593023883,39,72,36,1202.5671,405.3125,1542,1542,1.000000,1.000000,1.700037,0.000000,1.217726,0.878300,0.000000
stable,61,off,17664085781602212363,40,60,24,1023.6766,343.1875,1457,1457,1.000000,1.000000,1.665070,0.000000,1.170658,0.000000,0.000000
stable,61,on,3507694746009482257,40,61,25,982.6938,357.6875,1303,1303,1.000000,1.000000,1.549675,0.000000,0.999550,0.898123,0.000000
stable,62,off,1719653910282311612,40,69,33,1200.2976,413.9375,1329,1329,1.000000,1.000000,1.585683,0.000000,1.087510,0.000000,0.000000
stable,62,on,3080637364991230429,40,69,33,1157.8367,425.6250,1159,1159,1.000000,1.000000,1.528883,0.000000,0.911723,0.889707,0.000000
stable,63,off,18282241644347880023,40,74,38,1354.6233,445.4375,1804,1804,1.000000,1.000000,1.661308,0.000000,1.255202,0.000000,0.000000
stable,63,on,14771051464196132793,40,72,36,1328.6182,448.3750,1655,1655,1.000000,1.000000,1.612460,0.000000,1.180569,0.886763,0.000000
stable,64,off,1498951934494021616,40,56,20,1003.0255,370.8750,1196,1196,1.000000,1.000000,1.628633,0.000000,1.098043,0.000000,0.000000
