MANIPULATION hashes differed 120/120
MANIPULATION mate-seek decision-ticks off=5520825 on=6223462 delta=12.73%
MANIPULATION flee decision-ticks off=5752666 on=4270468 delta=-25.77%
EXTINCT off=75/120 on=66/120
BIRTHS mean off=279.56 on=292.37 delta=12.808 t=2.04 up=72 down=48 tied=0

# schema=1
# code_revision=ZZZ probe at head 71624ff
# scenario_id=p4-watchable-starter-habitat
# scenario_layout_fingerprint=12748958029872398774
# scenario_resource_count=4
# first_seed=42
# seed_count=120
# ticks=12000
# WorldSeed=42
# InitialPopulation=12
# MaximumPopulation=84
# FounderProfile=PredationVariation
# DecisionPolicyVersion=IntentUtilityV1
# BaseFrequencyHz=20
# CognitionEnabled=true
# PhysiologyEnabled=true
# PlantCohortsEnabled=true
# PredationEconomicsEnabled=false
# ForagingEconomicsEnabled=false
# DecisionStaggerEnabled=false
# MultiThreatPerceptionEnabled=false
# RestBehaviorEnabled=false
# JuvenileCapabilityEnabled=false
# ParentalFollowingEnabled=false
# KinRecognitionEnabled=false
# LearnedResourceQualityEnabled=false
# MateSelectionEnabled=true
# PlantSiteCompetitionEnabled=false
# PlantMortalityEnabled=false
# PlantDefenseDeterrenceEnabled=false
# PlantQualityPreferenceEnabled=false
# PlantTemperatureAdaptationEnabled=false
# PlantFertilityAdaptationEnabled=false
# ProceduralEnvironmentFieldsEnabled=false
# ElevationFieldEnabled=false
# PlantEstablishmentContestEnabled=false
# PlantInvaderEstablishmentContestEnabled=false
# PlantSeedProductionRateEnabled=false
# SafetyGatedMateRendezvousEnabled=false
# HomeRangeAffinityEnabled=false
# PlantSeedProductionRateDispersalCharge=2
# PlantDefenseDeterrenceStrength=0.75
# ThreatFalloffDistance=10
arm,seed,births,deaths,predation_deaths,starvation_deaths,final_population,mate_seek_ticks,flee_ticks,creature_ticks,state_hash
gate-off,42,326,336,4,39,2,48150,36320,653830,18121009933048423073
gate-on,42,285,297,11,20,0,23990,70500,571043,5883002287727041253
gate-off,43,339,345,4,34,6,60230,60085,662719,12354914292235222321
gate-on,43,326,335,3,41,3,51290,49390,643226,10793008292957904493
gate-off,44,263,275,10,21,0,44190,44285,527403,16472120052148039092
gate-on,44,257,269,8,22,0,31980,46600,511593,240444051123031352
gate-off,45,364,374,2,42,2,89400,59860,718920,15194580079753422472
gate-on,45,293,305,8,30,0,49310,57760,588193,13389684590569075492
gate-off,46,270,282,2,28,0,38180,59430,532528,15274832149254343928
gate-on,46,272,284,4,32,0,36650,43560,547418,5044501821280058087
gate-off,47,267,279,2,32,0,52880,34080,524478,328189144154194412
gate-on,47,296,308,6,33,0,64450,23150,590128,12857266094964025345
gate-off,48,256,268,10,13,0,27870,56925,509683,4979423551089540252
gate-on,48,304,316,8,27,0,51550,40080,588398,11728822792270100867
gate-off,49,270,282,2,35,0,40970,38615,537033,13546868008488394910
gate-on,49,331,342,6,27,1,72920,21800,657979,680389706385452205
gate-off,50,305,233,0,0,84,71174,52990,532732,9735430020004711787
gate-on,50,200,128,3,0,84,15650,42485,315727,11925821198328050449
gate-off,51,294,306,9,18,0,51230,58800,577148,13947574410709430334
gate-on,51,293,305,0,43,0,59240,31320,582868,13593603748023887938
gate-off,52,248,176,0,0,84,24008,71059,440552,17085098391041199785
gate-on,52,303,232,0,0,83,66123,40692,573031,3078008090335654023
gate-off,53,268,280,10,17,0,34980,60015,524883,16637302306286284400
gate-on,53,276,288,9,23,0,53060,44220,542868,7889135307496893797
gate-off,54,356,368,0,34,0,84150,17940,700438,14646798867289530487
gate-on,54,290,302,0,30,0,38410,37380,566228,840624404553170359
gate-off,55,281,292,15,17,1,40160,61410,554039,10547228307005704324
gate-on,55,354,347,0,18,19,95780,18540,726827,11465067991794076873
gate-off,56,260,272,0,32,0,49780,25080,525138,13921662752015925677
gate-on,56,308,260,2,0,60,29910,56548,595173,614101353002799195
gate-off,57,282,294,3,35,0,36860,34970,559158,14155704621064565757
gate-on,57,275,287,5,22,0,48810,40330,547658,3373306254288981325
gate-off,58,344,346,6,26,10,66720,58582,686313,16567338003292101288
gate-on,58,321,254,1,0,79,75960,39186,580502,15148800671854145685
gate-off,59,21,33,1,0,0,660,15285,59243,4955048172812812301
gate-on,59,284,236,0,0,60,35880,14670,544388,4813392125101257341
gate-off,60,278,290,4,37,0,40880,69755,560783,15820445123775130125
gate-on,60,304,316,6,37,0,63980,39265,599283,5147975326951988743
gate-off,61,315,326,12,17,1,59170,49375,653739,11050825668600947294
gate-on,61,292,304,3,39,0,35710,53370,591358,17307311004922727916
gate-off,62,307,319,0,36,0,67320,17730,615808,8792766291687192319
gate-on,62,330,342,6,30,0,67390,30870,667318,17560786285719444503
gate-off,63,261,273,5,24,0,40480,49240,524538,7195325321126130537
gate-on,63,265,277,6,25,0,51600,27370,556268,11072923146245732013
gate-off,64,276,288,9,14,0,40050,50800,540833,16831746799892668813
gate-on,64,317,327,3,34,2,60940,46625,629000,3620708253950191470
gate-off,65,253,265,5,23,0,29180,85105,509998,17616251556122523890
gate-on,65,280,292,1,42,0,49440,23080,555098,18215421933926670493
gate-off,66,296,308,6,27,0,67620,67370,591058,16155713118689701443
gate-on,66,327,338,0,47,1,74130,45280,657119,9376434659112851026
gate-off,67,342,354,1,33,0,76630,21350,681718,18031561722363152624
gate-on,67,310,322,0,40,0,48360,21830,605838,8517594208654688138
gate-off,68,360,368,6,33,4,64880,12505,731337,12380800076569731974
gate-on,68,352,362,2,30,2,76540,18910,713050,7868612673978734380
gate-off,69,238,250,2,25,0,38710,19495,473873,9518089003117744398
gate-on,69,265,277,6,23,0,39980,30800,519713,4086602905721867732
gate-off,70,277,283,11,22,6,33340,89041,554109,16140011044782165915
gate-on,70,320,326,5,39,6,59360,49210,635734,15594372382309977553
gate-off,71,308,320,3,43,0,35230,63260,601918,11364592953138732603
gate-on,71,317,329,2,35,0,50490,29380,628608,11350101872829078567
