scenario,seed,home_range,hash,final_population,births,deaths,food_consumed,water_consumed,site_entries,same_site_fraction,pair_transitions,pair_repeat_fraction,food_to_water,water_to_food,mean_distinct_sites,mean_distance_from_centre,mean_speed,multi_food_fraction,multi_water_fraction,cross_kind_opportunity_fraction,mean_familiarity,familiar_opportunity_fraction
route-ring,42,off,14782115650560627487,0,0,4,63.906437,12.625000,205,0.707317,60,0.766667,30,30,3.250000,2.048121,2.439437,0.536852,0.894651,0.894651,0.000000,0.000000
route-ring,42,on,5542583537500788813,0,0,4,80.615150,16.687500,207,0.666667,69,0.826087,34,35,3.500000,2.050127,2.426982,0.483328,0.911307,0.911307,0.847751,0.821682
route-ring,43,off,7192130097011239283,40,46,10,987.760498,292.687500,1894,0.460401,1022,0.723092,515,507,3.100000,2.331236,1.900920,0.401368,0.893028,0.893028,0.000000,0.000000
route-ring,43,on,5620627540893727008,39,43,7,864.742615,252.437500,1774,0.491545,902,0.697339,455,447,3.978723,2.577279,1.699706,0.433101,0.924802,0.924802,0.902065,0.913005
route-ring,44,off,9346353588288477685,0,0,4,79.015617,20.125000,198,0.616162,76,0.723684,38,38,4.250000,2.166975,1.987645,0.544142,0.885997,0.885997,0.000000,0.000000
route-ring,44,on,3319376875424846933,40,43,7,992.087585,265.062500,1674,0.500000,837,0.719235,420,417,3.042553,2.288463,1.724085,0.247681,0.756569,0.756569,0.897146,0.791583
route-ring,45,off,13096516267311938424,0,0,4,67.805748,16.000000,144,0.347222,94,0.882979,47,47,2.750000,2.023264,1.828074,0.623203,0.976744,0.976744,0.000000,0.000000
route-ring,45,on,13096516267311938424,0,0,4,67.272316,17.000000,130,0.523077,62,0.822581,31,31,2.750000,2.123530,1.762806,0.551837,0.968489,0.968489,0.889427,0.903604
route-ring,46,off,16816142172801536496,40,53,17,907.141235,198.500000,1467,0.493524,743,0.733513,375,368,3.122807,2.347412,1.521799,0.253418,0.840946,0.840946,0.000000,0.000000
route-ring,46,on,17431876370420217200,40,56,20,998.271118,211.812500,1694,0.576151,714,0.742297,360,354,2.933333,2.238261,1.615006,0.259557,0.841232,0.841232,0.880055,0.845805
route-ring,47,off,16078114195635927410,0,0,4,85.928909,18.750000,218,0.633028,80,0.825000,40,40,2.750000,2.037432,1.884483,0.625942,0.929254,0.929254,0.000000,0.000000
route-ring,47,on,5796705875796560222,40,44,8,1054.666748,228.312500,2179,0.601193,866,0.709007,435,431,3.583333,2.247808,2.161537,0.702477,0.934182,0.934182,0.898766,0.898261
route-ring,48,off,7150057428564272631,39,45,9,1275.673462,315.812500,2035,0.469287,1080,0.936111,542,538,2.102041,1.896604,1.927480,0.481566,0.949926,0.949926,0.000000,0.000000
route-ring,48,on,15196038799096798725,40,46,10,1343.299927,312.750000,2040,0.557843,902,0.915743,450,452,2.180000,1.914577,1.923450,0.464559,0.949089,0.949089,0.921738,0.932488
route-ring,49,off,3077115520663677844,40,79,43,1389.721069,307.062500,1796,0.459354,971,0.861998,489,482,2.216867,1.902406,1.809773,0.424015,0.938770,0.938770,0.000000,0.000000
route-ring,49,on,499191290533443011,40,79,43,1336.587036,278.062500,1957,0.544711,891,0.744108,450,441,2.843373,2.207047,1.604957,0.544986,0.968234,0.968234,0.856511,0.868902
route-ring,50,off,16522107787702535535,0,0,4,90.888672,20.250000,234,0.602564,93,0.860215,47,46,3.750000,2.016790,2.131012,0.516433,0.929670,0.929670,0.000000,0.000000
route-ring,50,on,16522107787702535535,0,0,4,93.778687,21.312500,227,0.713656,65,0.784615,32,33,3.750000,2.085746,2.125776,0.470695,0.937680,0.937680,0.896681,0.905270
route-ring,51,off,1810516661334868655,40,43,7,1216.087036,289.250000,1895,0.523483,903,0.743079,454,449,3.063830,2.293667,1.618967,0.437713,0.889053,0.889053,0.000000,0.000000
route-ring,51,on,9037175497774355384,40,41,5,1213.168945,289.687500,1875,0.548800,846,0.762411,421,425,3.044444,2.213878,1.545961,0.336019,0.849610,0.849610,0.910036,0.868642
route-ring,52,off,1301667660679703553,0,0,4,82.539154,22.500000,213,0.600939,85,0.729412,43,42,3.750000,2.170109,1.914433,0.616664,0.939551,0.939551,0.000000,0.000000
route-ring,52,on,18332531138308678279,0,0,4,82.720329,22.125000,208,0.653846,72,0.708333,36,36,3.000000,2.004231,1.964507,0.576906,0.933037,0.933037,0.899935,0.895375
route-ring,53,off,14361661335284284655,39,55,19,1178.590820,196.062500,2380,0.647059,838,0.825776,423,415,3.288136,1.843455,2.537514,0.894765,0.992130,0.992130,0.000000,0.000000
route-ring,53,on,2925596357407248404,17,36,23,742.056335,118.312500,1606,0.776463,359,0.688022,182,177,3.675000,1.851230,2.300446,0.861636,0.986649,0.986649,0.865844,0.875686
route-ring,54,off,11396727089725594395,40,66,30,929.682068,215.312500,1428,0.482493,739,0.710419,373,366,2.942857,2.427453,1.418978,0.470295,0.948332,0.948332,0.000000,0.000000
route-ring,54,on,1732564602174296468,40,74,38,1086.978149,271.500000,1742,0.522962,831,0.695548,419,412,2.974359,2.292840,1.460268,0.403193,0.916360,0.916360,0.851081,0.861869
route-ring,55,off,9995489036797276201,40,47,11,887.825745,221.687500,1658,0.555489,737,0.857531,368,369,2.764706,1.835005,1.682498,0.497197,0.921971,0.921971,0.000000,0.000000
route-ring,55,on,12327894225112312024,0,4,8,183.125641,45.750000,469,0.650320,164,0.792683,82,82,4.125000,2.065050,1.931010,0.609035,0.939397,0.939397,0.904823,0.917490
route-ring,56,off,1206026529278383418,40,41,5,774.885742,173.125000,1093,0.508692,537,0.703911,273,264,3.311111,2.295457,1.619141,0.683677,0.972006,0.972006,0.000000,0.000000
route-ring,56,on,12623284975839074457,40,77,41,1485.984497,322.062500,2162,0.553191,962,0.689189,487,475,3.320988,2.370538,1.725831,0.394441,0.861841,0.861841,0.863766,0.831390
route-ring,57,off,16877996860911811488,40,48,12,910.985474,186.062500,1899,0.581885,794,0.891688,400,394,2.326923,1.892347,2.114637,0.896230,0.994900,0.994900,0.000000,0.000000
route-ring,57,on,15252643828561829886,40,43,7,856.390381,172.375000,1741,0.610569,676,0.713018,342,334,3.297872,2.425203,2.046985,0.738383,0.986257,0.986257,0.893152,0.905071
route-ring,58,off,12953870868384502441,0,0,4,64.061279,13.312500,273,0.725275,75,0.880000,37,38,3.250000,1.499167,1.992386,0.287659,0.696285,0.696285,0.000000,0.000000
route-ring,58,on,8155949329098370363,1,1,4,101.342285,20.437500,371,0.789757,78,0.897436,37,41,2.600000,1.648618,2.073910,0.143054,0.750617,0.750617,0.870834,0.776496
route-ring,59,off,4949453864448110107,40,43,7,498.146454,109.875000,804,0.521144,385,0.711688,193,192,2.574468,2.252570,1.688234,0.400721,0.920238,0.920238,0.000000,0.000000
route-ring,59,on,7271007695778178740,0,0,4,83.104393,20.750000,197,0.644670,70,0.742857,35,35,3.500000,2.148324,1.856677,0.375642,0.921804,0.921804,0.880331,0.890340
route-ring,60,off,15655372701137901713,40,73,37,1350.021973,371.062500,2178,0.447199,1204,0.745017,608,596,2.792208,2.256884,1.789337,0.264526,0.750230,0.750230,0.000000,0.000000
route-ring,60,on,16161747296720280670,39,74,38,1298.199585,355.875000,2053,0.481734,1064,0.699248,538,526,2.782051,2.145236,1.669220,0.271892,0.729881,0.729881,0.881776,0.728705
route-ring,61,off,18362483938372165526,40,42,6,639.526672,158.500000,1167,0.520994,559,0.735242,282,277,2.891304,2.193592,1.685390,0.585040,0.967247,0.967247,0.000000,0.000000
route-ring,61,on,5608136780157871096,0,0,4,84.506996,22.562500,243,0.753086,60,0.850000,30,30,2.500000,1.820787,1.802924,0.765089,0.988268,0.988268,0.892376,0.904720
route-ring,62,off,1945222238183644474,40,42,6,788.710938,213.500000,1243,0.414320,728,0.721154,370,358,3.108696,2.307522,1.792141,0.385410,0.799992,0.799992,0.000000,0.000000
route-ring,62,on,985251376584678884,40,42,6,881.961182,250.000000,1349,0.452187,739,0.713126,372,367,3.173913,2.324865,1.807509,0.364831,0.791783,0.791783,0.889006,0.790983
route-ring,63,off,10058800631831863000,40,66,30,939.846008,241.875000,1640,0.482927,848,0.707547,428,420,2.885714,2.383232,1.890503,0.448737,0.804876,0.804876,0.000000,0.000000
route-ring,63,on,8128108480170733155,39,62,26,1132.305542,287.250000,2053,0.565514,891,0.690236,451,440,3.287879,2.392437,1.976177,0.274947,0.651550,0.651550,0.886034,0.646039
route-ring,64,off,5126193309177070628,40,50,14,1023.915222,284.062500,2248,0.513790,1093,0.735590,547,546,3.055556,2.380108,1.870582,0.390646,0.884405,0.884405,0.000000,0.000000
route-ring,64,on,2545874584284436013,40,51,15,1073.117554,314.125000,2080,0.495673,1048,0.743321,525,523,3.309091,2.363373,1.807872,0.428260,0.901936,0.901936,0.907815,0.905764
route-ring,65,off,17350069374597022852,0,0,4,60.898239,14.437500,184,0.728261,50,0.880000,24,26,2.500000,1.814065,2.003238,0.563138,0.920383,0.920383,0.000000,0.000000
route-ring,65,on,2470759554807559428,0,0,4,69.784981,17.062500,201,0.741294,52,0.903846,25,27,2.250000,1.727594,2.034667,0.532034,0.923135,0.923135,0.882481,0.891603
route-ring,66,off,15187547258745464321,0,1,5,127.865723,28.625000,359,0.454039,196,0.877551,98,98,4.200000,2.221887,2.337899,0.603628,0.852369,0.852369,0.000000,0.000000
route-ring,66,on,2754370944782224064,40,57,21,909.715820,227.000000,1809,0.559425,796,0.751256,402,394,3.065574,2.256013,1.901973,0.802584,0.972138,0.972138,0.865843,0.869062
route-ring,67,off,8360348014587056953,38,44,8,908.540833,234.687500,1534,0.486962,787,0.742058,397,390,3.187500,2.329863,1.495502,0.331145,0.871378,0.871378,0.000000,0.000000
route-ring,67,on,8044596001383295307,40,53,17,1058.270386,254.562500,1862,0.568206,804,0.707711,407,397,3.298246,2.247537,1.584956,0.359045,0.868835,0.868835,0.890869,0.858088
route-ring,68,off,12041154090637325207,0,0,4,96.030029,21.125000,257,0.692607,79,0.886076,39,40,3.250000,1.796222,2.374116,0.547241,0.955847,0.955847,0.000000,0.000000
route-ring,68,on,4260586055186105755,0,0,4,97.644127,21.375000,293,0.791809,61,0.868852,30,31,3.000000,1.510870,2.555601,0.600100,0.952067,0.952067,0.879256,0.887773
route-ring,69,off,9216648363836069467,40,45,9,1228.757812,317.375000,1411,0.353650,912,0.828947,460,452,2.918367,2.162368,1.561684,0.479072,0.902482,0.902482,0.000000,0.000000
route-ring,69,on,15470706079348859406,40,48,12,1324.210571,369.312500,1431,0.396226,864,0.828704,434,430,2.653846,2.012885,1.562842,0.619379,0.940115,0.940115,0.904515,0.913485
route-ring,70,off,17733576302635782041,1,3,6,247.265381,64.312500,463,0.455724,252,0.888889,126,126,4.142857,2.069103,1.987630,0.674845,0.984190,0.984190,0.000000,0.000000
route-ring,70,on,12989168707471822113,40,44,8,994.929382,296.625000,1259,0.489277,643,0.730949,327,316,3.479167,2.385241,1.621099,0.763568,0.979045,0.978728,0.872976,0.882992
route-ring,71,off,17498473053743300480,0,0,4,93.883461,24.875000,202,0.504950,100,0.750000,51,49,2.750000,2.526720,1.931817,0.784118,0.978145,0.978145,0.000000,0.000000
route-ring,71,on,4474472779469154592,34,37,7,357.852997,87.187500,618,0.553398,276,0.692029,139,137,2.292683,2.322448,1.801206,0.877784,0.992750,0.992750,0.795702,0.808124
