variant,seed,final_population,extinction_tick,births,deaths,food_consumed,water_consumed,plant_count_final,activations,deactivations
baseline,42,0,2829,1,5,82.7548,17.6250,12,36,30
baseline,43,40,-1,62,26,923.0757,292.5000,6,29,29
baseline,44,40,-1,66,30,820.5688,242.1250,8,31,29
baseline,45,40,-1,57,21,578.5306,147.3125,12,36,30
baseline,46,0,5309,0,4,76.0066,16.2500,12,37,31
baseline,47,26,-1,54,32,829.0795,258.8125,8,32,30
baseline,48,0,5419,8,12,291.8560,52.1250,12,36,30
baseline,49,21,-1,45,28,720.8632,217.0625,7,30,29
baseline,50,36,-1,47,15,563.4075,155.6250,9,32,29
baseline,51,0,5919,21,25,329.6438,85.8750,10,33,29
baseline,52,40,-1,49,13,769.2262,206.5625,11,35,30
baseline,53,40,-1,43,7,1017.9701,283.1250,11,35,30
baseline,54,38,-1,62,28,818.7767,234.1250,8,33,31
baseline,55,39,-1,43,8,774.3102,180.0625,8,28,26
baseline,56,40,-1,49,13,985.2458,226.7500,8,32,30
baseline,57,37,-1,55,21,781.4158,223.1250,10,33,29
baseline,58,37,-1,41,7,646.6255,164.3125,9,31,28
baseline,59,33,-1,34,5,396.7608,92.5000,12,36,30
baseline,60,40,-1,78,42,766.1131,274.6250,10,32,28
baseline,61,25,-1,55,34,566.1102,175.5000,9,32,29
baseline,62,40,-1,56,20,804.2608,185.7500,8,31,29
baseline,63,20,-1,22,6,262.0401,60.5625,12,36,30
baseline,64,40,-1,42,6,558.8795,158.0000,10,34,30
baseline,65,40,-1,42,6,440.3711,99.0625,12,36,30
baseline,66,1,-1,3,6,190.6097,45.9375,12,36,30
baseline,67,40,-1,41,5,625.8826,152.8125,12,36,30
baseline,68,0,5219,0,4,85.8375,18.4375,12,36,30
baseline,69,0,4649,1,5,159.7986,37.3750,12,36,30
baseline,70,40,-1,40,4,710.2844,191.3125,11,35,30
baseline,71,40,-1,70,34,988.6115,272.0625,8,30,28
founders-at-food,42,0,3639,1,5,78.8990,16.6875,12,36,30
