arm,seed,hash,final_population,births,deaths,food_consumed,water_consumed,plant_count_final,activations,deactivations,distinct_sites_ever_active,mean_active_food_sites,first_turnover_tick,site_entries,same_site_fraction,cross_kind_legs,pair_repeat_fraction,mean_distinct_pairs,pair_changed_fraction,food_to_water,water_to_food,mean_distinct_sites,mean_speed
frozen,42,11138976891822363979,0,1,5,80.834770,16.000000,18,12,0,18,17.368667,19,235,0.659574,70,0.828571,2.200000,0.800000,33,37,3.400000,2.466760
shifting,42,13368862183588017293,0,1,5,82.754829,17.625000,12,36,30,18,12.717667,19,243,0.662551,69,0.724638,3.000000,1.000000,33,36,4.200000,2.439488
shifting-mature,42,6233703952621891585,0,7,11,220.183533,44.750000,12,36,30,18,12.717667,19,635,0.700787,159,0.779874,2.636364,0.909091,78,81,4.090909,2.576096
shifting-8founders,42,9845249273885248916,0,62,70,687.673340,288.500000,4,26,28,18,9.879667,19,2047,0.609673,608,0.523026,2.871429,0.828571,315,293,4.271429,2.071301
frozen,43,11089681845051955958,40,48,12,1149.754883,304.312500,18,12,0,18,17.335333,19,2235,0.502908,828,0.599034,3.288462,0.903846,415,413,4.461538,1.949884
shifting,43,9253024022537775065,40,62,26,923.075745,292.500000,6,29,29,18,11.210000,19,1945,0.463753,844,0.668246,2.924242,0.651515,430,414,4.439394,1.965430
shifting-mature,43,15391946910365211120,36,68,36,774.089172,256.437500,7,30,29,18,11.453500,19,1893,0.492340,743,0.604307,2.583333,0.722222,378,365,4.083333,1.733890
shifting-8founders,43,11073082938210641468,24,59,43,635.261047,235.437500,4,25,27,18,9.793000,19,1623,0.588417,542,0.684502,2.328358,0.761194,282,260,3.552239,1.723357
frozen,44,4629863685210413495,40,44,8,1028.870239,265.687500,18,12,0,18,17.475333,19,1959,0.465544,787,0.631512,3.312500,0.958333,394,393,4.500000,1.822149
shifting,44,1685393095965221029,40,66,30,820.568848,242.125000,8,31,29,18,11.320333,19,1865,0.522788,708,0.668079,2.842857,0.942857,362,346,4.385714,1.842143
shifting-mature,44,3210619297293524230,2,27,29,362.697540,127.250000,9,32,29,18,11.613833,19,1007,0.562066,358,0.561453,3.612903,0.967742,182,176,4.967742,2.019493
shifting-8founders,44,17179862054549469065,0,34,42,454.111389,184.437500,6,27,27,18,10.330000,19,1236,0.588997,407,0.660934,2.880952,0.952381,213,194,4.238095,1.961666
frozen,45,9061986817147287585,40,60,24,662.937683,171.375000,18,12,0,18,17.402000,19,1419,0.505285,533,0.690432,1.890625,0.734375,267,266,3.078125,1.638970
