arm,seed,sample,sample_count,tick,population,extinct_at_end,at_cap,peak_population,starvation_deaths,dehydration_deaths,age_deaths,health_deaths,predation_deaths,starvation_deaths_interval,total_deaths_interval,plant_patches,seed_eligible_patches,plant_biomass,plant_growth_cumulative,plant_offtake_cumulative,plant_mortality_cumulative,mean_energy_fraction,behavior_hash
control,42,1,27,2666,33,1,0,405,0,0,7,0,0,0,7,19,17,1219.7919,2545.2883,477.06,1280.4219,0.676,663693199115149672
control,42,2,27,5333,21,1,0,405,0,0,34,1,0,0,28,21,21,1499.7098,5355.0547,1004.211,3283.1252,0.7316,8749232511596628477
control,42,3,27,8000,41,1,0,405,0,0,47,1,0,0,13,21,20,1442.5822,7917.6592,1682.3851,5224.687,0.7493,2398820246688588669
control,42,4,27,10666,95,1,0,405,0,0,67,1,0,0,20,21,20,1425.8917,11218.9941,2928.6709,7296.4849,0.8118,14862290136685383325
control,42,5,27,13333,292,1,0,405,0,0,104,1,0,0,37,22,15,1234.6053,16858.4785,6518.0283,9538.1572,0.7994,11858461812988805018
control,42,6,27,16000,405,1,0,405,66,5,194,1,0,66,161,13,4,280.2796,23507.0547,13146.0791,10513.6572,0.4865,11556731938149306849
control,42,7,27,18666,0,1,0,405,405,6,262,3,0,339,410,0,0,0,24298.6582,14099.0234,10632.4971,,16797685849383950813
control,42,8,27,21333,0,1,0,405,405,6,262,3,0,0,0,0,0,0,24298.6582,14099.0234,10632.4971,,5468502583210805996
control,42,9,27,24000,0,1,0,405,405,6,262,3,0,0,0,0,0,0,24298.6582,14099.0234,10632.4971,,17345731890923036819
control,42,10,27,26666,0,1,0,405,405,6,262,3,0,0,0,0,0,0,24298.6582,14099.0234,10632.4971,,81271051031745181
control,42,11,27,29333,0,1,0,405,405,6,262,3,0,0,0,0,0,0,24298.6582,14099.0234,10632.4971,,11457238487138818988
control,42,12,27,32000,0,1,0,405,405,6,262,3,0,0,0,0,0,0,24298.6582,14099.0234,10632.4971,,13180147772101328467
control,42,13,27,34666,0,1,0,405,405,6,262,3,0,0,0,0,0,0,24298.6582,14099.0234,10632.4971,,729107120505527901
control,42,14,27,37333,0,1,0,405,405,6,262,3,0,0,0,0,0,0,24298.6582,14099.0234,10632.4971,,14103066468829911916
control,42,15,27,40000,0,1,0,405,405,6,262,3,0,0,0,0,0,0,24298.6582,14099.0234,10632.4971,,6139264932777864979
control,42,16,27,42666,0,1,0,405,405,6,262,3,0,0,0,0,0,0,24298.6582,14099.0234,10632.4971,,17363334927099475229
control,42,17,27,45333,0,1,0,405,405,6,262,3,0,0,0,0,0,0,24298.6582,14099.0234,10632.4971,,17512387746517396012
control,42,18,27,48000,0,1,0,405,405,6,262,3,0,0,0,0,0,0,24298.6582,14099.0234,10632.4971,,13127534398012089043
control,42,19,27,50666,0,1,0,405,405,6,262,3,0,0,0,0,0,0,24298.6582,14099.0234,10632.4971,,13137480960534080221
control,42,20,27,53333,0,1,0,405,405,6,262,3,0,0,0,0,0,0,24298.6582,14099.0234,10632.4971,,15557893004799620076
control,42,21,27,56000,0,1,0,405,405,6,262,3,0,0,0,0,0,0,24298.6582,14099.0234,10632.4971,,15390780409486623123
control,42,22,27,58666,0,1,0,405,405,6,262,3,0,0,0,0,0,0,24298.6582,14099.0234,10632.4971,,4522708661420507037
control,42,23,27,61333,0,1,0,405,405,6,262,3,0,0,0,0,0,0,24298.6582,14099.0234,10632.4971,,14129178100358341804
control,42,24,27,64000,0,1,0,405,405,6,262,3,0,0,0,0,0,0,24298.6582,14099.0234,10632.4971,,16708801040938831699
control,42,25,27,66666,0,1,0,405,405,6,262,3,0,0,0,0,0,0,24298.6582,14099.0234,10632.4971,,15893525907121400669
control,42,26,27,69333,0,1,0,405,405,6,262,3,0,0,0,0,0,0,24298.6582,14099.0234,10632.4971,,4666869771449242732
control,42,27,27,72000,0,1,0,405,405,6,262,3,0,0,0,0,0,0,24298.6582,14099.0234,10632.4971,,16132153882824970259
control,43,1,27,2666,33,1,0,466,0,0,2,0,0,0,2,20,19,1390.4008,2903.282,437.8221,1507.0623,0.7746,12720279107201594471
control,43,2,27,5333,48,1,0,466,0,0,22,0,0,0,20,22,21,1492.7588,5703.6934,1277.4072,3365.499,0.7775,9434095741834570325
control,43,3,27,8000,98,1,0,466,0,0,46,0,0,0,24,23,23,1646.0583,9230.2578,2715.7051,5300.6909,0.786,1252717325826628341
