arm,seed,sample,sample_count,tick,population,extinct_at_end,at_cap,peak_population,starvation_deaths,dehydration_deaths,age_deaths,health_deaths,predation_deaths,starvation_deaths_interval,total_deaths_interval,plant_patches,seed_eligible_patches,plant_biomass,plant_growth_cumulative,plant_offtake_cumulative,plant_mortality_cumulative,mean_energy_fraction,behavior_hash
graded-seeding,42,1,27,2666,32,1,0,355,0,0,7,0,0,0,7,23,22,1610.2827,2927.3279,467.6041,1281.4469,0.6505,5782621408928730873
graded-seeding,42,2,27,5333,26,1,0,355,0,0,34,0,0,0,27,23,23,1646.1948,5576.3052,1077.9125,3284.2017,0.8006,5671791296449314640
graded-seeding,42,3,27,8000,46,1,0,355,0,0,53,0,0,0,19,24,24,1720.3307,8356.1318,1916.0194,5151.8159,0.7792,17084652000790554414
graded-seeding,42,4,27,10666,137,1,0,355,0,0,75,0,0,0,22,20,17,1247.4199,12201.4395,3934.354,7451.6104,0.7753,14897708523942661998
graded-seeding,42,5,27,13333,355,1,0,355,0,0,134,0,0,0,59,24,13,1038.2856,19766.3242,9892.5938,9267.9639,0.7864,15134384632609797211
graded-seeding,42,6,27,16000,322,1,0,355,105,1,277,1,0,105,250,22,0,14.8604,27040.8652,17353.8691,10104.4834,0.0286,2972956793620291070
graded-seeding,42,7,27,18666,22,1,0,355,353,1,328,3,0,248,301,23,22,1563.8977,31698.6934,18679.4102,11885.6436,0.8203,16910414456672466738
graded-seeding,42,8,27,21333,0,1,0,355,353,1,347,6,0,0,22,23,20,1480.7494,34114.9258,18875.5898,14189.0313,,18293158299079947350
graded-seeding,42,9,27,24000,0,1,0,355,353,1,347,6,0,0,0,22,19,1377.8405,36892.0117,18875.5898,17069.0273,,6553711429649201217
graded-seeding,42,10,27,26666,0,1,0,355,353,1,347,6,0,0,0,24,24,1720.9589,39751.0898,18875.5898,19584.9941,,17134834361331164872
graded-seeding,42,11,27,29333,0,1,0,355,353,1,347,6,0,0,0,22,21,1511.9783,42480.7773,18875.5898,22523.6953,,10481480108865134445
graded-seeding,42,12,27,32000,0,1,0,355,353,1,347,6,0,0,0,24,23,1654.1638,45355.5781,18875.5898,25256.3047,,11836850066276402954
graded-seeding,42,13,27,34666,0,1,0,355,353,1,347,6,0,0,0,23,23,1655.9974,48018.7852,18875.5898,27917.6816,,36236188814212634
graded-seeding,42,14,27,37333,0,1,0,355,353,1,347,6,0,0,0,23,22,1581.9589,50677.8555,18875.5898,30650.793,,6932635335250869238
graded-seeding,42,15,27,40000,0,1,0,355,353,1,347,6,0,0,0,24,22,1625.6433,53311.2188,18875.5898,33240.4648,,18023806189772401182
graded-seeding,42,16,27,42666,0,1,0,355,353,1,347,6,0,0,0,23,23,1655.2596,55852.1523,18875.5898,35751.7734,,11498280957674805399
graded-seeding,42,17,27,45333,0,1,0,355,353,1,347,6,0,0,0,22,22,1565.2106,58138.1094,18875.5898,38127.7734,,670670899908094296
graded-seeding,42,18,27,48000,0,1,0,355,353,1,347,6,0,0,0,24,23,1696.9633,60636.3438,18875.5898,40494.2656,,11857733717166543549
graded-seeding,42,19,27,50666,0,1,0,355,353,1,347,6,0,0,0,23,22,1579.1917,62814.7656,18875.5898,42790.4492,,945076366029218641
graded-seeding,42,20,27,53333,0,1,0,355,353,1,347,6,0,0,0,24,22,1665.5001,65133.0078,18875.5898,45022.3789,,14594993717905046650
graded-seeding,42,21,27,56000,0,1,0,355,353,1,347,6,0,0,0,23,22,1575.6849,67624.9844,18875.5898,47604.1602,,11236375011196676678
graded-seeding,42,22,27,58666,0,1,0,355,353,1,347,6,0,0,0,22,22,1569.4205,69922.5469,18875.5898,49908.0195,,2516391143724116621
graded-seeding,42,23,27,61333,0,1,0,355,353,1,347,6,0,0,0,24,24,1703.853,72497.3906,18875.5898,52348.4414,,12458156107302885533
graded-seeding,42,24,27,64000,0,1,0,355,353,1,347,6,0,0,0,24,24,1727.9845,74736.0625,18875.5898,54562.9766,,5604174822110119734
graded-seeding,42,25,27,66666,0,1,0,355,353,1,347,6,0,0,0,24,20,1517.0789,76757.1563,18875.5898,56794.957,,4623735195467405611
graded-seeding,42,26,27,69333,0,1,0,355,353,1,347,6,0,0,0,23,22,1611.458,79434.8438,18875.5898,59378.2422,,17827605364024306617
graded-seeding,42,27,27,72000,0,1,0,355,353,1,347,6,0,0,0,23,23,1655.9401,81711.3281,18875.5898,61610.2344,,5567476576649545271
graded-seeding,43,1,27,2666,37,0,0,498,0,0,2,0,0,0,2,20,19,1409.7474,3042.4695,486.5682,1578.1555,0.783,12721138720274724374
graded-seeding,43,2,27,5333,71,0,0,498,0,0,29,0,0,0,27,24,24,1705.2518,6400.9912,1756.5378,3371.2136,0.7963,2576266849539449168
graded-seeding,43,3,27,8000,126,0,0,498,0,0,68,1,0,0,40,21,17,1293.0988,10372.9023,4102.5044,5409.1694,0.7396,303984812431724499
graded-seeding,43,4,27,10666,243,0,0,498,0,0,141,4,0,0,76,23,20,1463.6613,16926.3398,8215.7637,7678.0698,0.8188,756298844522922811
graded-seeding,43,5,27,13333,497,0,0,498,0,0,248,4,0,0,107,20,0,7.6473,26500.0684,17298.4922,9624.9922,0.4953,16745054643248130877
graded-seeding,43,6,27,16000,39,0,0,498,346,0,362,5,0,346,461,24,23,1653.4779,30318.5684,19398.125,9698.5488,0.798,7160461036758354907
graded-seeding,43,7,27,18666,7,0,0,498,346,0,399,5,0,0,37,22,18,1371.6294,32883.207,19804.5566,12135.958,0.8573,2595996802150791175
graded-seeding,43,8,27,21333,12,0,0,498,346,0,404,5,0,0,5,23,21,1556.3749,35730.8047,20027.9492,14576.166,0.8079,6896900706263233887
graded-seeding,43,9,27,24000,40,0,0,498,346,0,410,5,0,0,6,24,22,1572.1648,38459.0195,20584.8633,16732.7168,0.819,12423650918182058780
graded-seeding,43,10,27,26666,123,0,0,498,346,0,428,5,0,0,18,23,23,1632.7771,42750.2148,22379.6133,19167.123,0.8389,8641276075674003138
graded-seeding,43,11,27,29333,303,0,0,498,346,0,483,5,0,0,55,24,19,1462.431,50034.4258,27596.6758,21399.0117,0.7926,16879524572145454957
graded-seeding,43,12,27,32000,487,0,0,498,346,0,649,5,0,0,166,23,14,1009.9098,63234.8984,39462.5586,23221.166,0.7311,17425435776775153918
graded-seeding,43,13,27,34666,253,0,0,498,435,0,918,8,0,89,361,24,20,1444.0081,75789.3359,51153.3477,23648.3652,0.331,8215057866077098626
graded-seeding,43,14,27,37333,115,0,0,498,453,0,1113,13,0,18,218,24,22,1550.2101,84539.2422,58193.707,25254.082,0.6701,8134099082119032742
graded-seeding,43,15,27,40000,194,0,0,498,453,0,1182,13,0,0,69,21,15,1233.8527,92450.3516,63974.2461,27696.0293,0.7245,14911570266604724239
graded-seeding,43,16,27,42666,309,0,0,498,453,0,1262,13,0,0,80,24,15,1132.6713,103945.8281,73546.4453,29605.8164,0.7129,17080879340939785543
graded-seeding,43,17,27,45333,279,0,0,498,453,0,1438,13,0,0,176,24,16,1171.0785,116682.5625,85041.5781,30829.6738,0.6955,4066342131007678083
graded-seeding,43,18,27,48000,275,0,0,498,457,0,1621,13,0,4,187,21,15,1156.3395,129029.7344,95410.6328,32565.5078,0.6525,13680233643465644711
graded-seeding,43,19,27,50666,372,0,0,498,458,0,1772,14,0,1,153,23,16,1219.4386,142271.8594,106254.9453,34661.1992,0.7343,13065549527552648148
graded-seeding,43,20,27,53333,497,0,0,498,475,0,1937,14,0,17,182,22,16,1277.4926,159736.2031,120975.7188,37103.3867,0.6377,10696459139410053333
graded-seeding,43,21,27,56000,359,0,0,498,537,0,2197,14,0,62,322,24,23,1633.7096,177131.5938,135408.8594,39694.6758,0.5541,16266413601683463881
graded-seeding,43,22,27,58666,286,0,0,498,564,0,2414,14,0,27,244,24,23,1630.4436,189801.1563,145728.2813,42450.8398,0.7005,8937357032969139936
graded-seeding,43,23,27,61333,407,0,0,498,567,0,2550,14,0,3,139,23,20,1526.1742,202103.4063,155249.25,45512.5898,0.6947,14619776592368298437
graded-seeding,43,24,27,64000,475,0,0,498,619,0,2714,14,0,52,216,24,19,1494.797,216949.7656,166492.375,48682.3711,0.6682,8811585127913381803
graded-seeding,43,25,27,66666,496,0,0,498,640,0,2940,14,0,21,247,24,20,1520.1124,231840.0781,178010.4375,51394.5703,0.7428,15276260329769763840
graded-seeding,43,26,27,69333,498,0,0,498,652,0,3204,14,0,12,276,23,19,1487.5159,246201.875,189295.3594,54317.1719,0.6996,159110664848672145
graded-seeding,43,27,27,72000,498,0,0,498,698,0,3426,17,0,46,271,22,22,1543.9218,260236.5469,200119.8281,57061.4844,0.8555,6632627693143816261
graded-seeding,44,1,27,2666,35,0,0,499,0,0,4,0,0,0,4,17,16,1145.2468,2681.4905,478.2767,1489.9653,0.7614,4724390661766093037
graded-seeding,44,2,27,5333,54,0,0,499,0,0,29,0,0,0,25,23,21,1564.7958,5883.9863,1400.3018,3350.8962,0.8154,4844446336487111945
graded-seeding,44,3,27,8000,137,0,0,499,0,0,57,0,0,0,28,22,20,1442.4833,9796.2783,3588.9856,5196.9854,0.7834,13797400679696921953
graded-seeding,44,4,27,10666,334,0,0,499,0,0,121,0,0,0,64,24,13,933.8495,16695.002,9155.9648,7037.498,0.6659,6761412083156952599
graded-seeding,44,5,27,13333,219,0,0,499,117,0,253,0,0,117,249,24,1,74.1641,22065.4824,14876.2637,7548.8433,0.1032,15727940888826554202
graded-seeding,44,6,27,16000,58,0,0,499,196,0,352,0,0,79,178,22,17,1281.5934,27738.6055,17773.1875,9118.4629,0.7793,9754829615656682357
graded-seeding,44,7,27,18666,60,0,0,499,196,0,394,0,0,0,42,23,22,1586.4889,31178.4941,18971.0488,11050.9658,0.8153,5888130015830781828
graded-seeding,44,8,27,21333,193,0,0,499,196,0,414,0,0,0,20,23,18,1293.2196,35902.9492,22140.6738,12899.3086,0.7747,13577312337949925094
graded-seeding,44,9,27,24000,405,0,0,499,196,0,476,0,0,0,62,24,9,631.9209,43668.875,29230.2148,14237.5059,0.6075,9886724693786294418
graded-seeding,44,10,27,26666,112,0,0,499,473,0,594,0,0,277,395,24,19,1425.4958,49618.5117,34268.2969,14354.4512,0.7898,13641079345703789306
graded-seeding,44,11,27,29333,128,0,0,499,473,0,679,0,0,0,85,23,22,1550.4491,54432.9961,37039.6563,16276.5742,0.809,10986219648929534123
graded-seeding,44,12,27,32000,371,0,0,499,473,0,719,0,0,0,40,22,10,719.4856,61560.9414,43308.8594,17966.1602,0.6042,5259743083091067774
graded-seeding,44,13,27,34666,63,0,0,499,774,1,799,0,0,301,382,24,14,1051.3696,66574.8516,47667.9727,18304.2383,0.6174,11700534077016707107
graded-seeding,44,14,27,37333,27,0,0,499,774,1,852,0,0,0,53,24,23,1663.113,70151.5313,48853.4297,20082.2051,0.7911,3572232267552744149
graded-seeding,44,15,27,40000,72,0,0,499,774,1,865,0,0,0,13,24,24,1720.9484,73259.6328,50181.1992,21797.998,0.8126,7059828604174404176
graded-seeding,44,16,27,42666,272,0,0,499,774,1,886,0,0,0,21,23,20,1420.0613,80084.875,55573.8906,23544.3926,0.8033,1931026562149586492
graded-seeding,44,17,27,45333,88,0,0,499,1060,1,935,0,0,286,335,24,3,252.0672,85478.1016,61363.2031,24339.6289,0.2043,5240688742231033094
graded-seeding,44,18,27,48000,48,0,0,499,1066,4,984,1,0,6,59,24,24,1724.467,90959.5547,63658.6406,26056.7988,0.8525,370068747662085847
graded-seeding,44,19,27,50666,116,0,0,499,1066,4,1014,1,0,0,30,24,24,1694.3644,94818.1875,65772.9766,27845.959,0.8567,1432624254561264755
