terrain,arm,seed,hash,occupancy,population,extinct,no_living_bred_lineage,plant_births,highest_plant_generation,growth_founder,growth_final,growth_delta,seedinvestment_founder,seedinvestment_final,seedinvestment_delta,waterefficiency_founder,waterefficiency_final,waterefficiency_delta,nutrition_founder,nutrition_final,nutrition_delta,defense_founder,defense_final,defense_delta,dispersal_founder,dispersal_final,dispersal_delta,moisturetolerance_founder,moisturetolerance_final,moisturetolerance_delta,temperaturetolerance_founder,temperaturetolerance_final,temperaturetolerance_delta,nutrientuptake_founder,nutrientuptake_final,nutrientuptake_delta,seedlingresilience_founder,seedlingresilience_final,seedlingresilience_delta,seedproductionrate_founder,seedproductionrate_final,seedproductionrate_delta
flat,contest-off,42,14889851822128059889,1,0,1,0,457,30,0.4,0.53275,0.13275,0.44,0.67941,0.23941,0.48,0.51719,0.03719,0.52,0.54098,0.02098,0.56,0.62452,0.06452,0.6,0.84067,0.24067,0.56667,0.50721,-0.05946,0.53333,0.35221,-0.18112,0.5,0.42434,-0.07566,0.46667,0.46001,-0.00666,0.43333,0.4361,0.00276
flat,contest-off,43,18299861066491899512,0.95833,0,1,0,460,31,0.4,0.51118,0.11118,0.44,0.62265,0.18265,0.48,0.49776,0.01776,0.52,0.46337,-0.05663,0.56,0.748,0.188,0.6,0.81654,0.21654,0.56667,0.61361,0.04694,0.53333,0.37601,-0.15733,0.5,0.42697,-0.07303,0.46667,0.51225,0.04558,0.43333,0.41524,-0.0181
flat,contest-off,44,2753314517782325628,1,0,1,0,465,27,0.4,0.28551,-0.11449,0.44,0.65451,0.21451,0.48,0.71961,0.23961,0.52,0.40765,-0.11235,0.56,0.70269,0.14269,0.6,0.84017,0.24017,0.56667,0.25549,-0.31118,0.53333,0.29895,-0.23439,0.5,0.35897,-0.14103,0.46667,0.45981,-0.00685,0.43333,0.64051,0.20717
flat,contest-off,45,5356624206873891255,0,0,1,1,259,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
flat,contest-off,46,2562517297350472783,0.79167,81,0,0,438,26,0.4,0.28751,-0.11249,0.44,0.36529,-0.07471,0.48,0.60029,0.12029,0.52,0.56471,0.04471,0.56,0.6753,0.1153,0.6,0.64346,0.04346,0.56667,0.619,0.05233,0.53333,0.74561,0.21228,0.5,0.27748,-0.22252,0.46667,0.31974,-0.14693,0.43333,0.5512,0.11787
flat,contest-off,47,15677113273595097537,0.91667,0,1,0,342,19,0.4,0.08546,-0.31454,0.44,0.4977,0.0577,0.48,0.45813,-0.02187,0.52,0.54064,0.02064,0.56,0.44719,-0.11281,0.6,0.5884,-0.0116,0.56667,0.42084,-0.14582,0.53333,0.6683,0.13496,0.5,0.67814,0.17814,0.46667,0.84001,0.37334,0.43333,0.15774,-0.27559
flat,contest-off,48,3247616286764021402,0,0,1,1,270,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
flat,contest-off,49,11973871664079374169,0.95833,0,1,0,480,23,0.4,0.31613,-0.08387,0.44,0.47569,0.03569,0.48,0.26475,-0.21525,0.52,0.56591,0.04591,0.56,0.43904,-0.12096,0.6,0.84334,0.24334,0.56667,0.48268,-0.08398,0.53333,0.63557,0.10224,0.5,0.57909,0.07909,0.46667,0.38196,-0.0847,0.43333,0.41242,-0.02091
flat,contest-off,50,940951269354071836,0,0,1,1,321,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
flat,contest-off,51,7728620260156103749,0,0,1,1,340,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
