terrain,arm,seed,hash,occupancy,population,extinct,frozen,plant_births,highest_plant_generation,growth_founder,growth_final,growth_delta,seedinvestment_founder,seedinvestment_final,seedinvestment_delta,waterefficiency_founder,waterefficiency_final,waterefficiency_delta,nutrition_founder,nutrition_final,nutrition_delta,defense_founder,defense_final,defense_delta,dispersal_founder,dispersal_final,dispersal_delta,moisturetolerance_founder,moisturetolerance_final,moisturetolerance_delta,temperaturetolerance_founder,temperaturetolerance_final,temperaturetolerance_delta,nutrientuptake_founder,nutrientuptake_final,nutrientuptake_delta,seedlingresilience_founder,seedlingresilience_final,seedlingresilience_delta,seedproductionrate_founder,seedproductionrate_final,seedproductionrate_delta
flat,contest-off,42,12053359465393051233,0.83333,0,1,0,206,17,0.4,0.52757,0.12757,0.44,0.61098,0.17098,0.48,0.5165,0.0365,0.52,0.58941,0.06941,0.56,0.67899,0.11899,0.6,0.7505,0.1505,0.56667,0.4305,-0.13617,0.53333,0.38981,-0.14352,0.5,0.46867,-0.03133,0.46667,0.47732,0.01065,0.43333,0.53408,0.10075
flat,contest-off,43,11030088060211945399,0.95833,0,1,0,217,16,0.4,0.4537,0.0537,0.44,0.60265,0.16265,0.48,0.48848,0.00848,0.52,0.47468,-0.04532,0.56,0.64618,0.08618,0.6,0.67719,0.07719,0.56667,0.61524,0.04858,0.53333,0.4093,-0.12404,0.5,0.45457,-0.04543,0.46667,0.48737,0.02071,0.43333,0.40953,-0.0238
flat,contest-off,44,17131100674003411126,0.875,12,0,0,212,15,0.4,0.52243,0.12243,0.44,0.48337,0.04337,0.48,0.48286,0.00286,0.52,0.54903,0.02903,0.56,0.68549,0.12549,0.6,0.6898,0.0898,0.56667,0.75738,0.19071,0.53333,0.64954,0.11621,0.5,0.33651,-0.16349,0.46667,0.30997,-0.1567,0.43333,0.30758,-0.12575
flat,contest-off,45,5287724658571095917,0.875,171,0,0,229,12,0.4,0.41006,0.01006,0.44,0.51595,0.07595,0.48,0.56647,0.08647,0.52,0.5361,0.0161,0.56,0.64544,0.08544,0.6,0.6531,0.0531,0.56667,0.41656,-0.15011,0.53333,0.46012,-0.07321,0.5,0.54566,0.04566,0.46667,0.50969,0.04302,0.43333,0.5666,0.13326
flat,contest-off,46,9579287808082475595,0.91667,108,0,0,237,16,0.4,0.55067,0.15067,0.44,0.40432,-0.03568,0.48,0.47927,-0.00073,0.52,0.55304,0.03304,0.56,0.58346,0.02346,0.6,0.68495,0.08495,0.56667,0.51873,-0.04794,0.53333,0.65989,0.12656,0.5,0.3101,-0.1899,0.46667,0.33761,-0.12906,0.43333,0.42487,-0.00846
flat,contest-off,47,6783848504871519006,0.79167,112,0,0,217,14,0.4,0.45463,0.05463,0.44,0.5082,0.0682,0.48,0.49969,0.01969,0.52,0.6108,0.0908,0.56,0.5204,-0.0396,0.6,0.62377,0.02377,0.56667,0.44591,-0.12076,0.53333,0.55044,0.01711,0.5,0.45703,-0.04297,0.46667,0.48231,0.01564,0.43333,0.3962,-0.03713
flat,contest-off,48,15944512077443212201,0.95833,125,0,0,240,16,0.4,0.40215,0.00215,0.44,0.56693,0.12693,0.48,0.63655,0.15655,0.52,0.61609,0.09609,0.56,0.66174,0.10174,0.6,0.86741,0.26741,0.56667,0.18684,-0.37982,0.53333,0.35734,-0.176,0.5,0.30691,-0.19309,0.46667,0.48052,0.01385,0.43333,0.40287,-0.03046
flat,contest-off,49,5160615371491760523,0.95833,0,1,0,222,15,0.4,0.58491,0.18491,0.44,0.51205,0.07205,0.48,0.51339,0.03339,0.52,0.68148,0.16148,0.56,0.63499,0.07499,0.6,0.68906,0.08906,0.56667,0.65276,0.08609,0.53333,0.38793,-0.14541,0.5,0.42184,-0.07816,0.46667,0.32489,-0.14177,0.43333,0.43446,0.00113
flat,contest-off,50,3424306321721810848,0.91667,56,0,0,209,13,0.4,0.46045,0.06045,0.44,0.54564,0.10564,0.48,0.53406,0.05406,0.52,0.51575,-0.00425,0.56,0.59624,0.03624,0.6,0.5616,-0.0384,0.56667,0.48464,-0.08203,0.53333,0.399,-0.13433,0.5,0.38096,-0.11904,0.46667,0.51883,0.05216,0.43333,0.60195,0.16861
flat,contest-off,51,11897238286249683488,0.91667,25,0,0,228,15,0.4,0.4393,0.0393,0.44,0.53257,0.09257,0.48,0.5935,0.1135,0.52,0.52569,0.00569,0.56,0.61803,0.05803,0.6,0.80081,0.20081,0.56667,0.72759,0.16092,0.53333,0.29131,-0.24202,0.5,0.46403,-0.03597,0.46667,0.36758,-0.09909,0.43333,0.47942,0.04608
