terrain,arm,seed,hash,occupancy,population,extinct,frozen,plant_births,highest_plant_generation,growth_founder,growth_final,growth_delta,seedinvestment_founder,seedinvestment_final,seedinvestment_delta,waterefficiency_founder,waterefficiency_final,waterefficiency_delta,nutrition_founder,nutrition_final,nutrition_delta,defense_founder,defense_final,defense_delta,dispersal_founder,dispersal_final,dispersal_delta,moisturetolerance_founder,moisturetolerance_final,moisturetolerance_delta,temperaturetolerance_founder,temperaturetolerance_final,temperaturetolerance_delta,nutrientuptake_founder,nutrientuptake_final,nutrientuptake_delta,seedlingresilience_founder,seedlingresilience_final,seedlingresilience_delta,seedproductionrate_founder,seedproductionrate_final,seedproductionrate_delta
flat,contest-off,42,14889851822128059889,1,0,1,0,457,30,0.4,0.53275,0.13275,0.44,0.67941,0.23941,0.48,0.51719,0.03719,0.52,0.54098,0.02098,0.56,0.62452,0.06452,0.6,0.84067,0.24067,0.56667,0.50721,-0.05946,0.53333,0.35221,-0.18112,0.5,0.42434,-0.07566,0.46667,0.46001,-0.00666,0.43333,0.4361,0.00276
flat,contest-off,43,18299861066491899512,0.95833,0,1,0,460,31,0.4,0.51118,0.11118,0.44,0.62265,0.18265,0.48,0.49776,0.01776,0.52,0.46337,-0.05663,0.56,0.748,0.188,0.6,0.81654,0.21654,0.56667,0.61361,0.04694,0.53333,0.37601,-0.15733,0.5,0.42697,-0.07303,0.46667,0.51225,0.04558,0.43333,0.41524,-0.0181
flat,contest-off,44,2753314517782325628,1,0,1,0,465,27,0.4,0.28551,-0.11449,0.44,0.65451,0.21451,0.48,0.71961,0.23961,0.52,0.40765,-0.11235,0.56,0.70269,0.14269,0.6,0.84017,0.24017,0.56667,0.25549,-0.31118,0.53333,0.29895,-0.23439,0.5,0.35897,-0.14103,0.46667,0.45981,-0.00685,0.43333,0.64051,0.20717
flat,contest-off,45,5356624206873891255,0,0,1,1,259,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
flat,contest-off,46,2562517297350472783,0.79167,81,0,0,438,26,0.4,0.28751,-0.11249,0.44,0.36529,-0.07471,0.48,0.60029,0.12029,0.52,0.56471,0.04471,0.56,0.6753,0.1153,0.6,0.64346,0.04346,0.56667,0.619,0.05233,0.53333,0.74561,0.21228,0.5,0.27748,-0.22252,0.46667,0.31974,-0.14693,0.43333,0.5512,0.11787
flat,contest-off,47,15677113273595097537,0.91667,0,1,0,342,19,0.4,0.08546,-0.31454,0.44,0.4977,0.0577,0.48,0.45813,-0.02187,0.52,0.54064,0.02064,0.56,0.44719,-0.11281,0.6,0.5884,-0.0116,0.56667,0.42084,-0.14582,0.53333,0.6683,0.13496,0.5,0.67814,0.17814,0.46667,0.84001,0.37334,0.43333,0.15774,-0.27559
flat,contest-on,42,12174437822534374139,1,0,1,0,477,27,0.4,0.52199,0.12199,0.44,0.49903,0.05903,0.48,0.55584,0.07584,0.52,0.52424,0.00424,0.56,0.62775,0.06775,0.6,0.93147,0.33147,0.56667,0.28887,-0.27779,0.53333,0.32331,-0.21002,0.5,0.30851,-0.19149,0.46667,0.47686,0.01019,0.43333,0.62978,0.19645
flat,contest-on,43,10044878731984997269,0.79167,103,0,0,433,28,0.4,0.65009,0.25009,0.44,0.51246,0.07246,0.48,0.4684,-0.0116,0.52,0.53584,0.01584,0.56,0.64852,0.08852,0.6,0.7625,0.1625,0.56667,0.58084,0.01418,0.53333,0.48721,-0.04612,0.5,0.33383,-0.16617,0.46667,0.45228,-0.01439,0.43333,0.33346,-0.09988
flat,contest-on,44,5437012469288932921,1,0,1,0,430,29,0.4,0.51573,0.11573,0.44,0.61916,0.17916,0.48,0.69763,0.21763,0.52,0.58819,0.06819,0.56,0.64407,0.08407,0.6,0.72792,0.12792,0.56667,0.58608,0.01941,0.53333,0.6549,0.12156,0.5,0.4213,-0.0787,0.46667,0.43639,-0.03027,0.43333,0.45913,0.0258
flat,contest-on,45,5356624206873891255,0,0,1,1,219,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
