schema=1
code_revision=84ca29e
scenario_id=p4-defense-calibration-moderate
scenario_layout_fingerprint=7502803383825105874
scenario_resource_count=30
first_seed=42
seed_count=120
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=48
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,neutral_marker
slope-off,42,12046022528391519951,47,0,0.8233,0.4321,0.5351,0.4426,0.5203,0.4622,0.4305,0.6714,0.5303,0.8787,0.4571,0.5118,0.4937,0.4843
slope-off,43,10383726085539839649,48,0,0.8122,0.5388,0.5502,0.5025,0.4271,0.5477,0.5028,0.7067,0.5173,0.5734,0.4823,0.5014,0.4944,0.4568
slope-off,44,7562803918144819770,48,0,0.8134,0.5154,0.5332,0.4833,0.5356,0.4776,0.4263,0.9360,0.3324,0.7661,0.4923,0.5202,0.4960,0.5192
slope-off,45,16548143761238917756,48,0,0.8390,0.4127,0.4653,0.4526,0.4972,0.4139,0.5037,0.7566,0.7978,0.7672,0.4398,0.4682,0.5042,0.4802
slope-off,46,11357178947113004853,48,0,0.7792,0.4258,0.4803,0.5119,0.4509,0.4853,0.4563,0.8217,0.4443,0.9133,0.5004,0.4919,0.5108,0.4951
slope-off,47,12656318843817511336,48,0,0.7993,0.3629,0.5824,0.5791,0.4163,0.5308,0.6390,0.7319,0.5423,0.7423,0.4669,0.4877,0.4734,0.5172
slope-off,48,7525811362927977565,48,0,0.8135,0.4806,0.4633,0.4809,0.6828,0.6186,0.4430,0.8278,0.7158,0.8753,0.4678,0.4916,0.5010,0.5138
slope-off,49,3600425170533468945,48,0,0.8118,0.5439,0.5243,0.5393,0.5776,0.4197,0.5297,0.7582,0.7058,0.9099,0.5012,0.4843,0.4845,0.4783
slope-off,50,7867456347471389433,48,0,0.8074,0.3739,0.4845,0.4489,0.4623,0.5063,0.4088,0.7633,0.4916,0.6466,0.4654,0.5225,0.5229,0.4665
slope-off,51,14058376766489528682,48,0,0.8176,0.4508,0.6260,0.4287,0.4670,0.6168,0.4923,0.7451,0.5121,0.9312,0.4698,0.4780,0.5192,0.5255
slope-off,52,7753923506999313949,48,0,0.8061,0.4990,0.5698,0.4804,0.4073,0.4859,0.5920,0.7022,0.3493,0.8947,0.4781,0.4912,0.4929,0.5101
slope-off,53,129797897474139363,48,0,0.7880,0.4974,0.3371,0.5443,0.3870,0.5301,0.6402,0.8379,0.2329,0.6640,0.5147,0.5689,0.5215,0.4999
slope-off,54,4714069614217788104,48,0,0.7792,0.5511,0.2877,0.5050,0.3754,0.5038,0.3866,0.9567,0.5345,0.9466,0.4797,0.5211,0.5480,0.5415
slope-off,55,10926990436278243138,16,0,0.7435,0.3730,0.3116,0.5159,0.5124,0.4937,0.6005,0.2141,0.8187,0.7285,0.5174,0.4795,0.4581,0.5806
slope-off,56,8691133741705831580,48,0,0.8047,0.5521,0.5616,0.4996,0.5184,0.4571,0.4437,0.7197,0.6345,0.8853,0.4757,0.4819,0.5240,0.4946
slope-off,57,10155043267947367360,48,0,0.7986,0.4912,0.4911,0.4439,0.6011,0.6310,0.4968,0.6374,0.6814,0.6467,0.4973,0.4876,0.5161,0.4952
slope-off,58,15749740088621982417,47,0,0.8327,0.4093,0.4338,0.5103,0.4454,0.4656,0.6138,0.7440,0.6164,0.8809,0.4746,0.4979,0.5178,0.5052
slope-off,59,1840291619486460822,48,0,0.8110,0.4459,0.4182,0.4848,0.4240,0.5879,0.5692,0.7628,0.6236,0.7164,0.5047,0.5271,0.4667,0.5089
slope-off,60,15073358838869492949,48,0,0.8040,0.6301,0.5586,0.4838,0.5312,0.4889,0.4496,0.9190,0.3020,0.8704,0.4581,0.5124,0.4935,0.4868
slope-off,61,3461379635839978892,47,0,0.7816,0.3767,0.5001,0.5697,0.6333,0.4337,0.4949,0.7469,0.4184,0.9081,0.4502,0.5008,0.5060,0.4800
slope-off,62,6968336406385943405,48,0,0.8087,0.4463,0.4799,0.4713,0.5519,0.3851,0.4458,0.5596,0.5110,0.6067,0.4252,0.4708,0.4791,0.5107
slope-off,63,8315632330464861702,48,0,0.8305,0.5667,0.6415,0.5124,0.3656,0.5133,0.5940,0.7002,0.4920,0.7211,0.4549,0.5279,0.5073,0.5216
slope-off,64,9452081745030187367,48,0,0.8122,0.5106,0.4970,0.5080,0.5186,0.6617,0.3880,0.8380,0.5783,0.7471,0.4777,0.4760,0.5283,0.5424
slope-off,65,3101239232097270860,0,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,66,3207349886685019994,48,0,0.7977,0.4753,0.6850,0.5484,0.5295,0.4591,0.6028,0.7158,0.6043,0.8253,0.4625,0.5322,0.5105,0.5032
slope-off,67,9158775868921369999,48,0,0.7973,0.4927,0.4407,0.3893,0.4862,0.4824,0.4339,0.7059,0.6927,0.6982,0.4662,0.4746,0.4610,0.5509
slope-off,68,17790600848675538590,48,0,0.8015,0.5245,0.5690,0.5098,0.4471,0.6054,0.4383,0.9250,0.6040,0.7484,0.4885,0.5051,0.4804,0.4934
slope-off,69,10490625902737736413,48,0,0.8007,0.6352,0.4890,0.4646,0.5007,0.4626,0.4043,0.6877,0.5876,0.8450,0.4614,0.4656,0.4909,0.4991
