schema=1
code_revision=64648d9
scenario_id=p4-defense-calibration-moderate
scenario_layout_fingerprint=7502803383825105874
scenario_resource_count=30
first_seed=42
seed_count=40
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=100
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=false
GradedFertilityStrength=3
ReproductionNeedFraction=0.7
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,neutral_marker
slope-off,42,18103564022399091201,100,0,0.7938,8.3092,0.8936,0.5297,0.5643,0.5245,0.4650,0.4567,0.5140,0.7530,0.6913,0.8768,0.4691,0.5192,0.5001,0.5055
slope-off,52,11878432402419279870,100,0,0.8081,8.6619,0.6143,0.5143,0.4920,0.4286,0.4571,0.4893,0.6102,0.7939,0.3420,0.9186,0.4857,0.5061,0.4826,0.5023
slope-off,53,4930697284047753153,100,0,0.8184,13.6147,0.4247,0.5061,0.5269,0.5046,0.5812,0.5088,0.5589,0.8357,0.4942,0.6664,0.4400,0.4906,0.4942,0.5193
slope-off,55,8551099797722466048,54,0,0.8354,5.3151,0.5036,0.3226,0.2065,0.5101,0.4553,0.5651,0.6505,0.9797,0.9109,0.2005,0.4208,0.5440,0.4802,0.6020
slope-off,58,9862998428135161831,99,0,0.8004,16.2784,0.4440,0.4202,0.4239,0.4885,0.4349,0.4565,0.6437,0.7360,0.5678,0.8863,0.4554,0.4566,0.4993,0.4904
slope-off,69,15454271771519002131,99,0,0.7971,3.7870,0.5247,0.6446,0.4142,0.3835,0.4783,0.5137,0.3688,0.7631,0.5452,0.8928,0.4651,0.4718,0.5025,0.4859
slope-off,74,14480534578687443872,100,0,0.8133,1.9225,0.5429,0.5472,0.5940,0.5594,0.5741,0.3853,0.5677,0.7443,0.6757,0.9121,0.4516,0.5004,0.4810,0.4920
slope-off,80,3365301316491721370,100,0,0.8078,7.4000,0.7925,0.5559,0.5322,0.5843,0.4554,0.5546,0.4689,0.7372,0.3154,0.7118,0.4672,0.5018,0.4917,0.5027
slope-off,98,14181361823814126420,100,0,0.8039,4.1548,0.3588,0.5486,0.5025,0.5129,0.5330,0.5642,0.5148,0.7333,0.3273,0.7411,0.4317,0.4893,0.5019,0.4864
slope-off,101,12365150967106143727,100,0,0.8015,1.4199,0.2073,0.4609,0.5614,0.5347,0.5608,0.4260,0.4933,0.6555,0.5999,0.6947,0.4400,0.4792,0.5110,0.4890
