schema=1
code_revision=64648d9
scenario_id=p4-defense-calibration-moderate
scenario_layout_fingerprint=7502803383825105874
scenario_resource_count=30
first_seed=42
seed_count=40
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=100
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=false
GradedFertilityStrength=3
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,neutral_marker
slope-off,42,1857283963068204959,100,0,0.7143,6.8596,0.8161,0.4391,0.6077,0.4590,0.4458,0.4255,0.5189,0.6412,0.8429,0.9232,0.4960,0.4978,0.4984,0.5258
slope-off,52,11359600080648221190,100,0,0.7331,6.3631,0.4609,0.4697,0.4678,0.4720,0.4524,0.5034,0.5607,0.7482,0.3182,0.9270,0.5065,0.4885,0.5043,0.5022
slope-off,53,3726060839150907475,100,0,0.6852,14.2010,0.4877,0.5381,0.4216,0.5412,0.5310,0.4780,0.5667,0.7765,0.3959,0.7397,0.4968,0.4903,0.4681,0.4943
slope-off,55,1142267637357230306,100,0,0.7521,10.4612,0.6620,0.4903,0.4711,0.5126,0.4876,0.5692,0.4992,0.8036,0.5899,0.8118,0.4868,0.5231,0.5329,0.5342
slope-off,58,2014621228707522353,100,0,0.7079,15.9928,0.4764,0.4497,0.4595,0.4695,0.4722,0.5187,0.5594,0.6989,0.5580,0.8932,0.5137,0.5012,0.5102,0.5048
slope-off,69,14693649013450341572,100,0,0.7341,1.6024,0.2398,0.5421,0.4678,0.4537,0.4559,0.5395,0.4007,0.7443,0.5995,0.8412,0.4705,0.4995,0.4932,0.4868
slope-off,74,7192062174463887462,100,0,0.7377,2.3644,0.3931,0.4552,0.5203,0.4431,0.5157,0.4042,0.5505,0.7008,0.5830,0.9039,0.4939,0.5082,0.4773,0.4978
slope-off,80,16286352510184424739,100,0,0.6979,16.4510,0.9469,0.4882,0.5071,0.5010,0.5095,0.5633,0.5779,0.7709,0.3298,0.6964,0.5015,0.4996,0.5097,0.5142
slope-off,98,5887770053833678323,99,0,0.7561,3.8860,0.3415,0.4967,0.5054,0.4964,0.4311,0.4813,0.4647,0.7186,0.4703,0.7313,0.4986,0.5376,0.5219,0.5112
slope-off,101,16614443615054283515,100,0,0.7055,1.6356,0.1989,0.6498,0.5316,0.5336,0.5272,0.4325,0.5065,0.6753,0.7105,0.9514,0.4910,0.5078,0.5019,0.4898
