schema=1
code_revision=5a089f1
scenario_id=p4-defense-calibration-moderate
scenario_layout_fingerprint=7502803383825105874
scenario_resource_count=30
first_seed=42
seed_count=60
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=200
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,neutral_marker
slope-off,42,16553143352668937308,33,0,0.7131,0.1160,0.1037,0.5202,0.6025,0.4925,0.4893,0.4867,0.5089,0.6915,0.5390,0.7877,0.4688,0.4740,0.5079,0.5149
slope-off,52,11171417710317104694,48,0,0.7133,12.0866,0.7017,0.5482,0.4766,0.3766,0.6018,0.5530,0.7035,0.8204,0.3132,0.8691,0.4840,0.4940,0.4831,0.4700
slope-off,53,7501162900642886986,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,55,8551099797722466048,54,0,0.8354,5.3151,0.5036,0.3226,0.2065,0.5101,0.4553,0.5651,0.6505,0.9797,0.9109,0.2005,0.4208,0.5440,0.4802,0.6020
slope-off,58,13260548344250260,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,69,2843479565861600761,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,74,3012799594602966402,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,80,3757055189528902713,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,98,623033689916199267,197,0,0.5273,3.7974,0.3405,0.5280,0.5108,0.5021,0.5333,0.5284,0.4937,0.7626,0.3594,0.6980,0.4432,0.5136,0.5043,0.4713
slope-off,101,7120807337620066900,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,107,16444850999700583491,24,0,0.5602,16.2639,0.7663,0.4879,0.5342,0.4986,0.4135,0.5269,0.5976,0.7251,0.9086,0.7100,0.4363,0.5205,0.5085,0.4802
slope-off,114,10817743983076928421,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,118,3438050627164778695,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,120,8901294587215534352,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,128,9145051183782515782,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,135,13125929812118996241,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,147,5579983981649799951,2,0,0.0000,10.6489,0.3158,0.2600,0.6762,0.4155,0.4294,0.5300,0.4721,0.9390,0.2451,0.6166,0.3744,0.5295,0.5175,0.4585
slope-off,148,9614656011202073293,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,150,16728148817888754969,1,0,0.1297,1.3359,0.1668,0.7176,0.5162,0.4575,0.7887,0.6568,0.5538,0.8697,0.7731,0.4081,0.4387,0.4460,0.4230,0.5947
slope-off,152,5769279632506655871,39,0,0.0003,0.0000,0.0000,0.6199,0.5237,0.4755,0.5029,0.6836,0.4897,0.8029,0.7550,0.7568,0.4151,0.4274,0.5663,0.5161
slope-off,153,14277097852855537627,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,167,6134708860573743470,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,176,6536151649000958411,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,187,8396787986309984779,200,0,0.7037,3.9959,0.3955,0.4058,0.4435,0.3779,0.5167,0.4398,0.4691,0.7974,0.5106,0.7616,0.4348,0.5404,0.5152,0.4703
slope-off,193,11116994463345871055,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,221,3215561302730526832,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,228,12350806544938588807,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,229,4319678451323762477,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,238,7006006378643107615,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,243,1880962522895028887,52,0,0.1190,24.8312,0.3092,0.4825,0.5729,0.4580,0.4533,0.5045,0.4623,0.8448,0.8540,0.8209,0.4621,0.4885,0.5075,0.5269
slope-off,262,10659815370127291356,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,283,969033458410062865,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,284,5433186353829123807,200,0,0.7886,0.6632,0.0891,0.4397,0.4682,0.3814,0.5112,0.5430,0.6461,0.7436,0.3287,0.8284,0.4156,0.5224,0.4638,0.4593
slope-off,304,9499066359558916088,52,0,0.0009,13.5403,0.5117,0.5314,0.4642,0.5055,0.5012,0.5481,0.5315,0.8442,0.3428,0.9485,0.4756,0.5176,0.4804,0.4830
slope-off,311,12247270534756670541,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,313,13092900000535834311,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
