schema=1
code_revision=9a7284d
scenario_id=p6-defense-calibration-regen1.50
scenario_layout_fingerprint=1832831231834620882
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=true
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,42,986588719784531341,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,52,10978070840259605040,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,53,15258700574418392542,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,55,7573282321285143176,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,58,16830289153599754397,69,0,0.6710,14.5267,0.5464,0.5118,0.5204,0.5086,0.4990,0.4531,0.4340,0.4987,0.4633,0.5734,0.4601,0.5519,0.4661,0.3094,0.5380,0.2358,0.6422,0.5810,0.7947,0.4877
slope-off,69,11485041585869518795,44,0,0.6082,4.3007,0.4392,0.5232,0.4727,0.5025,0.5123,0.5696,0.4660,0.4900,0.4614,0.5032,0.5193,0.4809,0.4635,0.6244,0.8497,0.0578,0.5266,0.1927,0.9113,0.5368
slope-off,74,7000174504341433793,235,0,0.5838,7.9342,0.5656,0.4986,0.4999,0.4980,0.5519,0.4948,0.5497,0.4634,0.4662,0.5169,0.4756,0.5276,0.4232,0.2404,0.8710,0.3491,0.2182,0.4386,0.2167,0.4952
slope-off,80,1443236728548834421,26,0,0.6367,10.9149,0.8661,0.5445,0.4614,0.4887,0.4475,0.5067,0.4959,0.4837,0.4464,0.4850,0.4641,0.5622,0.5016,0.6523,0.9008,0.3959,0.8402,0.5587,0.5541,0.5214
slope-off,98,6677391620938365092,304,0,0.6887,3.3700,0.3295,0.4895,0.4823,0.5156,0.4757,0.5141,0.5004,0.4812,0.5051,0.4906,0.4848,0.5090,0.4674,0.1669,0.7622,0.4750,0.4217,0.4180,0.8124,0.4858
slope-off,101,13402425975041416788,94,0,0.7147,0.3848,0.0658,0.5636,0.4982,0.4988,0.5181,0.4470,0.4466,0.5080,0.4808,0.5300,0.4701,0.5009,0.5044,0.2497,0.8091,0.5992,0.5844,0.7870,0.0764,0.4954
slope-off,107,2880453808635514090,329,0,0.0284,14.8538,0.6552,0.4351,0.4952,0.5362,0.4964,0.4910,0.5636,0.5284,0.5266,0.5052,0.4883,0.5114,0.4506,0.0628,0.5409,0.6170,0.1017,0.7911,0.7748,0.4973
slope-off,114,15792251082378994942,25,0,0.6481,23.1955,0.4125,0.5179,0.5572,0.4790,0.4632,0.4247,0.4764,0.4560,0.5121,0.5649,0.4763,0.5760,0.4833,0.8445,0.5244,0.6488,0.5583,0.5517,0.4640,0.5020
slope-off,118,10669891381922305679,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
