schema=1
code_revision=9631800
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=Legacy
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=false
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.7
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,42,13078395714660124299,374,0,0.4119,3.0487,0.7087,0.5104,0.5537,0.4648,0.4446,0.4023,0.5793,0.6985,0.6784,0.8084,0.4740,0.5165,0.5033,0.0414,0.0438,0.0458,0.0505,0.0552,0.0533,0.4997
slope-off,52,16515391590575597972,407,0,0.4742,11.7947,0.5138,0.5073,0.4660,0.5023,0.5005,0.4880,0.6084,0.8524,0.4034,0.8646,0.4889,0.4983,0.5097,0.0328,0.0461,0.0330,0.0424,0.0346,0.0518,0.5034
slope-off,53,5120579383086434702,5,0,0.7626,12.0534,0.4628,0.6807,0.4065,0.2814,0.3770,0.5549,0.8687,0.4300,0.8242,0.4161,0.5074,0.4686,0.5387,0.0434,0.0695,0.0084,0.0267,0.0272,0.0264,0.5089
slope-off,55,13816525989345218568,43,0,0.7718,0.5488,0.3527,0.4773,0.5790,0.4462,0.5219,0.5048,0.5553,0.0987,0.9177,0.8655,0.4784,0.4657,0.5093,0.0905,0.0584,0.0658,0.0744,0.0416,0.0499,0.5358
slope-off,58,11920476613919859888,200,0,0.7460,14.0519,0.6499,0.4082,0.4097,0.4435,0.3799,0.4436,0.6450,0.8749,0.7682,0.7202,0.5185,0.4800,0.5209,0.0461,0.0502,0.0547,0.0395,0.0493,0.0296,0.4969
slope-off,69,12216422573094140160,94,0,0.7077,1.4040,0.3516,0.4776,0.5147,0.5610,0.4566,0.4944,0.4463,0.8493,0.6055,0.5497,0.5081,0.5156,0.5242,0.0377,0.0359,0.0477,0.0445,0.0267,0.0435,0.4943
slope-off,74,4719207413059213811,89,0,0.7407,2.5563,0.3942,0.4251,0.5704,0.5695,0.4926,0.4138,0.6337,0.6831,0.5953,0.7922,0.4701,0.5120,0.4809,0.0442,0.0305,0.0412,0.0251,0.0243,0.0199,0.5212
slope-off,80,13189002322897598484,130,0,0.7062,7.2469,0.9277,0.6722,0.4777,0.4879,0.6048,0.5821,0.4936,0.7890,0.5301,0.7185,0.5074,0.4895,0.5101,0.0520,0.0564,0.0375,0.0415,0.0285,0.0402,0.5274
slope-off,98,13766626729075640473,295,0,0.6311,3.1035,0.2836,0.4732,0.4559,0.6012,0.4917,0.4699,0.5285,0.7145,0.5941,0.5933,0.4833,0.5142,0.5014,0.0531,0.0375,0.0558,0.0637,0.0528,0.0452,0.4987
slope-off,101,11746243052421105174,337,0,0.7158,0.1445,0.0266,0.4144,0.5364,0.5185,0.4785,0.4321,0.5948,0.7208,0.7042,0.7706,0.4879,0.5080,0.5244,0.0466,0.0494,0.0422,0.0481,0.0505,0.0424,0.4662
