schema=1
code_revision=1796381
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=Legacy
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=false
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,42,17411121561115833620,500,0,0.5666,10.1722,1.0278,0.4764,0.6219,0.4987,0.4396,0.4275,0.4954,0.7018,0.8386,0.8313,0.5396,0.5170,0.4893,0.0470,0.0358,0.0432,0.0433,0.0445,0.0530,0.4696
slope-off,52,14180642491733966363,497,0,0.4672,4.2407,0.5448,0.4948,0.5248,0.4624,0.4710,0.5381,0.6157,0.8230,0.4935,0.8642,0.4903,0.4642,0.4753,0.0396,0.0533,0.0450,0.0478,0.0359,0.0423,0.4939
slope-off,53,17621745404180368637,52,0,0.7119,12.6847,0.4379,0.5430,0.5183,0.5265,0.6215,0.4963,0.5491,0.5343,0.3043,0.6908,0.4578,0.5207,0.4503,0.0552,0.0220,0.0484,0.0263,0.0430,0.0816,0.5442
slope-off,55,14484833248321080317,167,0,0.7410,7.6689,0.5457,0.5626,0.4634,0.4286,0.4788,0.5421,0.4595,0.7177,0.4979,0.6950,0.4705,0.5028,0.4684,0.0392,0.0606,0.0558,0.0381,0.0495,0.0385,0.5108
slope-off,58,7257017629128484109,498,0,0.4277,15.5884,0.5625,0.5343,0.5186,0.4594,0.5348,0.5631,0.6100,0.9112,0.7323,0.6827,0.5090,0.5187,0.4869,0.0472,0.0468,0.0384,0.0451,0.0501,0.0388,0.4995
slope-off,69,2553861221118785601,438,0,0.5077,4.9277,0.6589,0.5426,0.4396,0.4298,0.3952,0.4365,0.4476,0.7877,0.6971,0.7944,0.4920,0.4771,0.4839,0.0492,0.0536,0.0519,0.0533,0.0389,0.0572,0.5147
slope-off,74,3061903439963550308,136,0,0.6287,5.9093,0.8661,0.4799,0.6367,0.4090,0.4986,0.4551,0.4981,0.7218,0.6315,0.6240,0.5279,0.5339,0.4574,0.0661,0.0562,0.0826,0.0533,0.0645,0.0462,0.5210
slope-off,80,16559236384608349326,117,0,0.6041,8.8882,0.6943,0.4375,0.5890,0.5074,0.5173,0.5385,0.6109,0.7841,0.3279,0.6137,0.5176,0.4970,0.5109,0.0513,0.0741,0.0524,0.0459,0.0313,0.0462,0.5314
slope-off,98,8635178655016770476,497,0,0.5339,4.0350,0.4014,0.3940,0.5275,0.5064,0.4596,0.6024,0.4748,0.8224,0.3893,0.5750,0.5096,0.4989,0.5003,0.0485,0.0458,0.0498,0.0518,0.0552,0.0551,0.5013
slope-off,101,3827321001831030646,470,0,0.3101,2.6085,0.3419,0.6652,0.5372,0.4883,0.5217,0.3895,0.5247,0.6962,0.5966,0.7605,0.5304,0.4924,0.5102,0.0417,0.0481,0.0521,0.0670,0.0537,0.0420,0.4965
slope-off,107,10216997848832307994,69,0,0.7225,11.5325,0.7538,0.5764,0.2314,0.3583,0.5181,0.4625,0.7257,0.3254,0.8957,0.6788,0.4280,0.5637,0.5189,0.0974,0.0988,0.0643,0.0488,0.0267,0.0557,0.4829
slope-off,114,3416675513750839288,157,0,0.1474,22.1220,0.3672,0.4737,0.5216,0.3919,0.5311,0.5464,0.5453,0.7865,0.6796,0.3342,0.4945,0.5305,0.4618,0.0424,0.0572,0.0512,0.0605,0.0472,0.0549,0.4904
slope-off,118,4791573156335085784,291,0,0.3816,6.9725,0.4368,0.5216,0.3988,0.4267,0.4565,0.4635,0.6147,0.7564,0.8809,0.6267,0.4871,0.4994,0.4638,0.0408,0.0354,0.0585,0.0490,0.0525,0.0619,0.4903
