schema=1
code_revision=0ef2e4e
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=Legacy
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=false
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=5
ReproductionNeedFraction=0.7
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,42,16363774473088769,17,0,0.7120,5.0462,1.4071,0.4062,0.5566,0.5242,0.3372,0.4192,0.4415,0.6670,0.8547,0.9046,0.4953,0.4995,0.4412,0.0194,0.0440,0.0406,0.0982,0.0352,0.0249,0.5252
slope-off,52,7450785388301767975,25,0,0.6591,6.3415,0.4740,0.4832,0.4688,0.5087,0.5251,0.5155,0.5597,0.8137,0.2881,0.8047,0.4838,0.5033,0.4462,0.0331,0.0397,0.0172,0.0217,0.0133,0.0417,0.5148
slope-off,53,16252560619005460949,11,0,0.7259,13.1648,0.4178,0.3463,0.8571,0.4122,0.5399,0.6308,0.6424,0.3904,0.9562,0.6539,0.4667,0.5195,0.5813,0.0297,0.0254,0.0387,0.0633,0.0875,0.0346,0.4922
slope-off,55,15253036951217865542,15,0,0.7232,0.7768,0.3620,0.4334,0.5344,0.4636,0.5260,0.3905,0.5077,0.0949,0.8802,0.7475,0.4684,0.4581,0.5490,0.0517,0.0507,0.1497,0.0782,0.0788,0.0345,0.5890
slope-off,58,4170048449418863028,27,0,0.8098,11.5509,0.9210,0.5232,0.5272,0.3643,0.5129,0.4445,0.6972,0.2577,0.6869,0.8028,0.5337,0.5521,0.4722,0.0509,0.0414,0.0516,0.0366,0.0556,0.0672,0.4945
slope-off,69,6029886643718626509,17,0,0.7719,1.1374,0.3154,0.6135,0.4913,0.5398,0.5395,0.4582,0.3434,0.5093,0.6218,0.8115,0.5075,0.4794,0.4587,0.0485,0.0124,0.0065,0.0383,0.0291,0.0414,0.4885
slope-off,74,16170494406966309627,1,0,0.8321,0.0000,0.0000,0.4741,0.4618,0.4378,0.4107,0.4589,0.7935,0.4494,0.2738,0.5421,0.4926,0.5599,0.4845,0.1162,0.0000,0.0863,0.0000,0.0814,0.1453,0.3298
slope-off,80,9839624850526520287,24,0,0.7260,10.3501,0.9213,0.6379,0.5815,0.4759,0.6094,0.5257,0.5231,0.7862,0.7232,0.7431,0.5254,0.5148,0.4603,0.0274,0.0189,0.0324,0.0597,0.0274,0.0305,0.4997
slope-off,98,9472773361447955281,4,0,0.8924,1.3620,0.2720,0.5267,0.2810,0.4317,0.4632,0.4426,0.5885,0.5926,0.5644,0.5150,0.5756,0.6188,0.4992,0.0678,0.0316,0.0354,0.0580,0.0298,0.0263,0.4533
slope-off,101,17537959814667717346,38,0,0.6110,1.9090,0.2458,0.5371,0.4999,0.5279,0.5983,0.4616,0.5096,0.5117,0.7713,0.8249,0.4660,0.4956,0.5425,0.0413,0.0524,0.0406,0.0337,0.0539,0.0356,0.4735
