schema=1
code_revision=9631800
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=Legacy
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=false
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=true
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.7
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,42,11683874916706855041,368,0,0.6245,2.7164,0.5862,0.4644,0.5553,0.4996,0.4143,0.4955,0.5156,0.7200,0.8187,0.8546,0.4885,0.5012,0.5128,0.0441,0.0439,0.0333,0.0444,0.0762,0.0607,0.4705
slope-off,52,3261549244093536485,430,0,0.5832,10.6185,0.5925,0.5134,0.4795,0.4912,0.4669,0.4777,0.6066,0.8331,0.3718,0.8486,0.4961,0.4856,0.4970,0.0404,0.0550,0.0357,0.0384,0.0316,0.0404,0.4929
slope-off,53,2915600593609057017,137,0,0.7003,12.3909,0.4777,0.3513,0.5542,0.4238,0.4242,0.5242,0.5690,0.4644,0.8420,0.7487,0.4966,0.4965,0.4588,0.0604,0.0381,0.0583,0.0361,0.0485,0.0389,0.4968
slope-off,55,9884877401589862269,43,0,0.6857,0.7090,0.4002,0.2694,0.6022,0.5078,0.5068,0.4872,0.5655,0.1462,0.4010,0.6881,0.5113,0.5437,0.5346,0.0326,0.0509,0.0447,0.0740,0.0470,0.0339,0.5326
slope-off,58,12380017752873399509,79,0,0.6947,15.7259,0.5081,0.4847,0.5625,0.4858,0.5373,0.4704,0.6111,0.7056,0.6556,0.7935,0.4908,0.4795,0.4549,0.0483,0.0538,0.0461,0.0422,0.0397,0.0407,0.5001
slope-off,69,14691999716584235804,20,0,0.6551,0.7724,0.2848,0.5309,0.5468,0.5244,0.4190,0.7197,0.4479,0.4750,0.5538,0.6815,0.4765,0.4857,0.4571,0.0325,0.0342,0.0346,0.0441,0.0409,0.0328,0.4742
slope-off,74,13582045641484721444,97,0,0.6416,0.7185,0.2408,0.4852,0.4483,0.3857,0.5407,0.4085,0.6051,0.5650,0.7110,0.6888,0.5112,0.5292,0.4493,0.0404,0.0396,0.0447,0.0364,0.0239,0.0230,0.5249
slope-off,80,9264697025063879131,140,0,0.7475,10.9284,0.8698,0.5807,0.4948,0.5357,0.4984,0.5250,0.5207,0.8155,0.2821,0.6749,0.5342,0.5261,0.5032,0.0441,0.0482,0.0316,0.0804,0.0310,0.0534,0.5273
slope-off,98,6150678583164619917,427,0,0.7164,3.0681,0.3131,0.4600,0.5799,0.5352,0.5706,0.4586,0.5621,0.6809,0.6426,0.5976,0.4933,0.5151,0.5025,0.0589,0.0393,0.0472,0.0587,0.0627,0.0471,0.4846
slope-off,101,9937786742576213223,128,0,0.8002,0.1912,0.0528,0.5145,0.5554,0.4384,0.5115,0.4138,0.8652,0.6719,0.8105,0.6251,0.5268,0.4995,0.5502,0.0302,0.0478,0.0421,0.0501,0.0417,0.0428,0.4913
slope-off,107,18238103781221873772,27,0,0.5043,11.7135,0.7844,0.4742,0.3891,0.4935,0.3688,0.5534,0.6101,0.3162,0.4832,0.7646,0.5023,0.4752,0.5220,0.1084,0.0278,0.0224,0.0217,0.0192,0.0287,0.4887
slope-off,114,6237341402069532435,81,0,0.7080,21.8608,0.4303,0.4636,0.4217,0.5161,0.4225,0.5355,0.5353,0.8051,0.7398,0.3806,0.4802,0.5544,0.5010,0.0514,0.0468,0.0348,0.0381,0.0458,0.0207,0.5125
slope-off,118,11843601239548645335,52,0,0.4494,6.7364,0.2998,0.6013,0.3336,0.4568,0.4925,0.2360,0.6449,0.5165,0.6283,0.7191,0.5009,0.4800,0.4876,0.0258,0.0618,0.0209,0.0569,0.0408,0.0562,0.4606
slope-off,120,15486844569575288486,32,0,0.4742,0.3785,0.0436,0.6300,0.5029,0.5985,0.4874,0.4283,0.5537,0.5004,0.4149,0.7109,0.4842,0.4224,0.5099,0.0378,0.0348,0.0351,0.0400,0.0312,0.0279,0.5358
slope-off,128,367498312851176936,202,0,0.7692,14.3039,1.0756,0.4794,0.4689,0.4372,0.5635,0.4723,0.6143,0.6879,0.7959,0.7712,0.5455,0.4988,0.5295,0.0425,0.0311,0.0417,0.0563,0.0523,0.0316,0.4546
slope-off,135,12527729507532150255,446,0,0.3829,5.1167,0.2706,0.4514,0.5208,0.4650,0.5650,0.4631,0.5146,0.7814,0.8111,0.6185,0.5739,0.5130,0.4705,0.0570,0.0376,0.0478,0.0429,0.0385,0.0727,0.5169
slope-off,147,13836170846670969432,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,148,16328502698704040943,215,0,0.6014,11.2890,0.3877,0.5760,0.5759,0.4840,0.4880,0.4941,0.6040,0.7124,0.6668,0.8000,0.4833,0.5133,0.4982,0.0501,0.0382,0.0463,0.0351,0.0412,0.0452,0.5263
slope-off,150,14958403154707241525,93,0,0.6085,4.6558,0.4468,0.4776,0.6452,0.5942,0.5592,0.6727,0.3541,0.6588,0.8104,0.6861,0.5230,0.5162,0.5167,0.0313,0.0382,0.0521,0.0574,0.0271,0.0605,0.4947
slope-off,152,961780993482147389,5,0,0.5668,0.0000,0.0000,0.6001,0.3890,0.3656,0.4853,0.5435,0.5669,0.5376,0.5135,0.6615,0.4800,0.4408,0.5864,0.0276,0.0304,0.0702,0.0519,0.0156,0.0219,0.5644
slope-off,153,8486520193248596303,300,0,0.5658,0.6324,0.2104,0.5128,0.5981,0.4473,0.4801,0.4772,0.6100,0.7135,0.9061,0.7566,0.4644,0.4862,0.4658,0.0568,0.0668,0.0685,0.0405,0.0304,0.0517,0.4911
slope-off,167,15188066930117978491,264,0,0.5544,3.8122,0.2986,0.5295,0.3700,0.4013,0.5681,0.4799,0.5218,0.6654,0.5239,0.7383,0.4958,0.5098,0.4906,0.0453,0.0387,0.0464,0.0494,0.0475,0.0531,0.4953
slope-off,176,12613441615184624145,226,0,0.7003,9.9478,0.2878,0.5518,0.5621,0.4005,0.4880,0.4553,0.5653,0.7484,0.4655,0.8250,0.4749,0.4920,0.4659,0.0352,0.0464,0.0377,0.0444,0.0480,0.0268,0.4892
slope-off,187,1269459652155470296,5,0,0.6287,0.0000,0.0000,0.5484,0.3761,0.5089,0.3532,0.5703,0.2982,0.8374,0.6362,0.9442,0.6023,0.5899,0.5159,0.0130,0.0640,0.0066,0.0340,0.0096,0.0951,0.4920
slope-off,193,10072319734174382455,245,0,0.6397,10.4066,0.7253,0.4832,0.4852,0.5550,0.5121,0.5001,0.4730,0.7490,0.5467,0.8107,0.4744,0.5018,0.5035,0.0368,0.0463,0.0352,0.0320,0.0403,0.0310,0.5105
slope-off,221,6170638416485817854,67,0,0.7139,7.0301,0.5531,0.5160,0.4180,0.4791,0.5060,0.4686,0.5366,0.6879,0.5581,0.8022,0.5594,0.4932,0.4733,0.0420,0.0273,0.0393,0.0220,0.0889,0.0342,0.5239
slope-off,228,4412209700394743441,32,0,0.5431,21.7252,0.4628,0.4448,0.5875,0.5325,0.4440,0.5200,0.7105,0.6445,0.3979,0.7476,0.4961,0.5458,0.4964,0.0271,0.0562,0.0312,0.0397,0.0663,0.0659,0.4930
slope-off,229,8023892760975220536,114,0,0.6916,18.5373,0.6060,0.4866,0.4122,0.5863,0.5389,0.3364,0.6467,0.8025,0.4119,0.8073,0.5072,0.5071,0.4705,0.0337,0.0272,0.0552,0.0503,0.0377,0.0487,0.4598
slope-off,238,2244839317031323223,30,0,0.7791,0.3122,0.1090,0.4397,0.4984,0.5079,0.5344,0.4512,0.5377,0.5078,0.5737,0.6748,0.5442,0.5447,0.4902,0.0250,0.0386,0.0333,0.0422,0.0638,0.0402,0.5508
