schema=1
code_revision=1796381
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=Legacy
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=false
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=true
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,42,7609572151794962818,499,0,0.4274,7.8011,0.8172,0.4379,0.6351,0.4482,0.5283,0.4730,0.5077,0.6674,0.7605,0.6240,0.5093,0.4682,0.4897,0.0470,0.0548,0.0483,0.0621,0.0457,0.0487,0.4764
slope-off,52,15542768802352435261,386,0,0.4350,4.9741,0.3737,0.4538,0.5226,0.4775,0.4824,0.5026,0.6419,0.7838,0.4700,0.8999,0.4844,0.4616,0.4652,0.0392,0.0664,0.0557,0.0466,0.0425,0.0512,0.4927
slope-off,53,9070313134008013949,214,0,0.6038,12.6833,0.4805,0.4725,0.6252,0.4435,0.5716,0.4479,0.5595,0.6210,0.6462,0.7067,0.5118,0.4790,0.4864,0.0467,0.0433,0.0530,0.0490,0.0429,0.0505,0.4830
slope-off,55,13573280168744401910,46,0,0.5869,4.7846,0.5074,0.5038,0.3806,0.4992,0.5642,0.5403,0.5016,0.5090,0.5069,0.5072,0.4934,0.4604,0.5449,0.0427,0.0308,0.0513,0.0528,0.0625,0.1011,0.5026
slope-off,58,10881860098404222851,456,0,0.4330,13.9668,0.6120,0.4937,0.5207,0.4468,0.4060,0.5198,0.6217,0.8658,0.7521,0.6952,0.5055,0.5124,0.5176,0.0629,0.0507,0.0511,0.0626,0.0510,0.0697,0.4847
slope-off,69,4643004439626753640,376,0,0.4833,5.3683,0.7388,0.5478,0.4806,0.4324,0.4274,0.4859,0.4627,0.7504,0.5681,0.6810,0.5017,0.4542,0.4776,0.0516,0.0626,0.0489,0.0449,0.0619,0.0529,0.4875
slope-off,74,6142577584565217713,159,0,0.4573,6.9056,0.8182,0.4443,0.5785,0.4252,0.5139,0.4626,0.5518,0.7167,0.8217,0.7827,0.4969,0.5256,0.5115,0.0379,0.0534,0.0588,0.0326,0.0576,0.1000,0.4853
slope-off,80,12471957216717922179,499,0,0.5968,11.9070,0.7477,0.4999,0.5343,0.5008,0.5435,0.5134,0.5724,0.7630,0.5472,0.7192,0.5175,0.5169,0.5063,0.0472,0.0501,0.0485,0.0565,0.0382,0.0560,0.5114
slope-off,98,8049165173704930597,500,0,0.4768,4.7372,0.3433,0.3844,0.5253,0.5004,0.4724,0.5444,0.4792,0.7608,0.5219,0.5600,0.5077,0.4837,0.5009,0.0659,0.0423,0.0526,0.0528,0.0530,0.0595,0.4981
slope-off,101,12024553120409361570,499,0,0.3595,2.0821,0.2578,0.5830,0.5455,0.5769,0.5082,0.4365,0.6258,0.7226,0.8162,0.8033,0.5159,0.5085,0.5162,0.0491,0.0625,0.0377,0.0455,0.0482,0.0423,0.5078
slope-off,107,1881744832304228546,49,0,0.6496,11.9161,0.7045,0.5502,0.3415,0.4033,0.5105,0.4854,0.7018,0.1965,0.6419,0.8757,0.4297,0.5627,0.4798,0.1183,0.0631,0.1257,0.0374,0.0343,0.0744,0.4578
slope-off,114,7417347022101072387,499,0,0.4003,22.4924,0.3840,0.4569,0.5222,0.5137,0.5114,0.5230,0.5752,0.7661,0.6852,0.4113,0.4925,0.5165,0.4786,0.0791,0.0485,0.0474,0.0545,0.0518,0.0456,0.5090
slope-off,118,7419816724386402272,330,0,0.2939,6.6778,0.3239,0.5061,0.4588,0.5886,0.4873,0.3902,0.5406,0.9116,0.8862,0.6423,0.5022,0.4826,0.5072,0.0476,0.0493,0.0640,0.0456,0.0566,0.0462,0.5243
slope-off,120,8998736235190300059,495,0,0.4773,5.3835,0.5395,0.5261,0.4850,0.4802,0.4630,0.4577,0.6071,0.7713,0.3090,0.7094,0.4956,0.5022,0.4834,0.0538,0.0372,0.0546,0.0538,0.0333,0.0396,0.5181
slope-off,128,16409381384663529320,322,0,0.4414,19.1683,0.6470,0.5459,0.5440,0.4061,0.4566,0.3847,0.6209,0.7156,0.8699,0.6855,0.5229,0.4981,0.4963,0.0525,0.0674,0.0526,0.0585,0.0478,0.0549,0.4529
slope-off,135,3118764174195845331,74,0,0.7008,1.7369,0.3936,0.3589,0.5833,0.5061,0.5969,0.4856,0.5383,0.8392,0.7859,0.6596,0.4529,0.4746,0.5106,0.0700,0.0326,0.0398,0.0773,0.0518,0.0689,0.5488
slope-off,147,10056641644067450241,229,0,0.3898,11.2362,0.3442,0.5635,0.4928,0.5230,0.5385,0.3770,0.4648,0.8396,0.8031,0.5723,0.4880,0.4738,0.4707,0.0587,0.0469,0.0587,0.0466,0.0675,0.0300,0.4656
slope-off,148,9076804828744004905,474,0,0.3494,9.2574,0.5374,0.5345,0.5522,0.4101,0.4043,0.4420,0.7023,0.7189,0.8353,0.6610,0.4978,0.5596,0.4842,0.0526,0.0555,0.0518,0.0666,0.0532,0.0714,0.5696
slope-off,150,9834128902863739079,328,0,0.2176,3.3552,0.4359,0.4533,0.6517,0.5822,0.4784,0.5105,0.4716,0.7295,0.7084,0.5760,0.5169,0.5237,0.4968,0.0466,0.0430,0.0472,0.0443,0.0628,0.0783,0.4982
slope-off,152,10656205163003099629,273,0,0.3637,2.8557,0.4653,0.5561,0.4613,0.4664,0.5087,0.5850,0.5478,0.8014,0.7639,0.5396,0.5088,0.4858,0.5092,0.0727,0.0578,0.0564,0.0395,0.0559,0.0539,0.5288
slope-off,153,966340960354922397,147,0,0.2703,0.0159,0.0063,0.5530,0.5319,0.5611,0.5350,0.5621,0.4938,0.7162,0.7495,0.6228,0.5164,0.4812,0.4779,0.0448,0.0567,0.0767,0.0517,0.0367,0.0814,0.5178
slope-off,167,2260894441370179214,500,0,0.4933,3.8120,0.2738,0.5727,0.5427,0.3812,0.5243,0.3406,0.5327,0.8516,0.5328,0.7489,0.5173,0.5242,0.4909,0.0516,0.0491,0.0421,0.0574,0.0536,0.0554,0.5004
slope-off,176,17605885635546259417,82,0,0.1576,7.7047,0.4895,0.4802,0.5541,0.4529,0.5545,0.4572,0.5500,0.7864,0.4765,0.7317,0.4647,0.5066,0.5157,0.0644,0.0518,0.0444,0.0731,0.0552,0.0577,0.5156
slope-off,187,2676086669362662441,500,0,0.7542,3.4450,0.3299,0.3806,0.5286,0.4365,0.4618,0.4143,0.5123,0.7420,0.4812,0.5067,0.4746,0.5116,0.5156,0.0530,0.0764,0.0488,0.0517,0.0670,0.0740,0.5094
slope-off,193,1621772558649040285,346,0,0.4424,12.5305,0.4824,0.5467,0.5346,0.6067,0.5093,0.4722,0.4903,0.8176,0.6026,0.5391,0.4426,0.5175,0.4954,0.0593,0.0536,0.0511,0.0446,0.0558,0.0552,0.5243
slope-off,221,17555138051039663002,499,0,0.3872,8.0876,0.5822,0.4670,0.5094,0.6261,0.5083,0.5122,0.5704,0.7732,0.4692,0.5737,0.5176,0.4568,0.4808,0.0346,0.0379,0.0604,0.0450,0.0504,0.0583,0.4985
slope-off,228,7108429702554537521,339,0,0.5775,19.8874,0.3888,0.4477,0.4687,0.4562,0.4376,0.4831,0.6700,0.8180,0.7820,0.6279,0.5064,0.5040,0.4634,0.0607,0.0539,0.0556,0.0535,0.0456,0.0556,0.5381
slope-off,229,15456768989148768465,12,0,0.0047,16.6244,0.4422,0.5901,0.5345,0.4647,0.4722,0.5427,0.6235,0.9046,0.5023,0.7593,0.4715,0.5257,0.5109,0.0502,0.0815,0.0909,0.0693,0.0532,0.0598,0.4573
slope-off,238,6338430873658845274,499,0,0.5453,2.1260,0.1204,0.4219,0.4595,0.4963,0.6949,0.4619,0.6323,0.6953,0.6812,0.5535,0.5243,0.4986,0.4851,0.0428,0.0605,0.0435,0.0572,0.0490,0.0364,0.5053
slope-off,243,2097706928430430797,370,0,0.4976,17.2780,0.7275,0.4669,0.4989,0.5952,0.3676,0.4925,0.5191,0.7585,0.9305,0.7127,0.4625,0.5581,0.4828,0.0379,0.0411,0.0360,0.0416,0.0547,0.0415,0.5432
slope-on,42,930386203644918412,265,0,0.5759,9.3191,0.5456,0.4194,0.5702,0.4856,0.4511,0.5920,0.5367,0.6669,0.9283,0.7171,0.5060,0.4871,0.4885,0.0442,0.0546,0.0724,0.0724,0.0515,0.0572,0.4852
slope-on,52,14802916477232823814,499,0,0.5365,7.3182,0.4732,0.4899,0.5308,0.4891,0.4218,0.5053,0.6142,0.7881,0.4410,0.8822,0.4982,0.4919,0.5113,0.0421,0.0511,0.0322,0.0428,0.0300,0.0394,0.4993
slope-on,53,14800356757270528700,362,0,0.2881,13.5250,0.3774,0.4089,0.4686,0.7085,0.5640,0.5052,0.6449,0.8163,0.6626,0.5842,0.4903,0.5749,0.5197,0.0509,0.0451,0.0599,0.0647,0.0480,0.0586,0.4987
slope-on,55,17049552843639798571,463,0,0.5015,10.4911,0.6521,0.3897,0.4426,0.4555,0.4012,0.5657,0.5454,0.7548,0.3693,0.7770,0.4723,0.4988,0.4985,0.0631,0.0573,0.0525,0.0647,0.0393,0.0436,0.5139
slope-on,58,5141821495685063979,254,0,0.6529,12.3547,0.6659,0.4663,0.5604,0.3939,0.3640,0.5535,0.5103,0.7088,0.7704,0.5172,0.5361,0.5486,0.4871,0.0453,0.0455,0.0340,0.0326,0.0500,0.0457,0.4857
slope-on,69,15489050437527022780,427,0,0.4593,2.9474,0.4111,0.5363,0.4767,0.4922,0.4439,0.5414,0.4367,0.7487,0.5967,0.7657,0.4257,0.4931,0.5106,0.0393,0.0475,0.0509,0.0468,0.0538,0.0499,0.4738
slope-on,74,17047002466006092142,83,0,0.5224,5.2828,0.8623,0.4295,0.6779,0.4654,0.4856,0.3998,0.5425,0.6981,0.8372,0.8412,0.4731,0.4917,0.4592,0.0446,0.0597,0.0707,0.0492,0.0479,0.0419,0.5068
slope-on,80,5626740603240774003,262,0,0.6492,15.9073,0.8581,0.3926,0.5088,0.4985,0.4704,0.5321,0.5307,0.8096,0.5662,0.6060,0.4831,0.4701,0.4674,0.0490,0.0524,0.0544,0.0376,0.0588,0.0414,0.5470
slope-on,98,12726171818912147783,316,0,0.2117,5.3435,0.3987,0.5390,0.5160,0.5930,0.5387,0.4771,0.5844,0.7522,0.4510,0.5575,0.4794,0.4996,0.5229,0.0695,0.0524,0.0485,0.0572,0.0712,0.0566,0.4612
