schema=1
code_revision=0ef2e4e
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=Legacy
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=false
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=true
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=5
ReproductionNeedFraction=0.7
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,42,9290881459559988509,14,0,0.7083,8.8961,1.3939,0.4547,0.6023,0.3779,0.2788,0.4168,0.5145,0.4295,0.8032,0.9131,0.5060,0.5233,0.4618,0.0258,0.0391,0.0498,0.1173,0.0391,0.0202,0.5303
slope-off,52,2046835273989800933,30,0,0.6404,3.7042,0.4091,0.5270,0.5167,0.5188,0.4794,0.5307,0.4974,0.8016,0.2473,0.8361,0.5017,0.4925,0.4595,0.0219,0.0775,0.0194,0.0208,0.0133,0.0186,0.5126
slope-off,53,11233906042246974459,13,0,0.8011,13.5616,0.4922,0.3739,0.5462,0.4603,0.3212,0.6239,0.8313,0.5774,0.6282,0.6636,0.4757,0.4725,0.5046,0.0499,0.0251,0.0113,0.0355,0.0309,0.0162,0.4706
slope-off,55,12227877653034050815,24,0,0.7431,0.6862,0.3828,0.4724,0.5160,0.5267,0.4790,0.4611,0.4923,0.1053,0.8820,0.7825,0.4590,0.4624,0.5440,0.0522,0.0568,0.1113,0.0513,0.0503,0.0341,0.5414
slope-off,58,3899723863993355514,7,0,0.6816,11.4951,0.8241,0.5419,0.3830,0.4370,0.5101,0.5452,0.6161,0.4334,0.6807,0.7241,0.5363,0.5343,0.5328,0.0592,0.0455,0.0499,0.0193,0.0255,0.0857,0.4933
slope-off,69,12710853839562677733,10,0,0.7572,1.2088,0.3541,0.4125,0.4340,0.5187,0.3779,0.6651,0.3733,0.2521,0.4491,0.7091,0.4697,0.4525,0.4899,0.0216,0.0228,0.0477,0.0282,0.0367,0.1098,0.5128
slope-off,74,11316263093226956835,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,80,13948648197431698281,20,0,0.7281,10.9732,0.8121,0.6410,0.5837,0.4067,0.5931,0.5666,0.5562,0.7752,0.6801,0.7548,0.5289,0.4996,0.4748,0.0319,0.0164,0.0544,0.0767,0.0211,0.0184,0.4872
slope-off,98,18193939322427985211,1,0,0.7878,0.0000,0.0000,0.3469,0.1924,0.5579,0.2762,0.5651,0.4600,0.3499,0.0340,0.4643,0.4983,0.4875,0.5515,0.0319,0.0000,0.0986,0.0992,0.0000,0.0163,0.5165
slope-off,101,2862457971810246327,82,0,0.6868,0.9471,0.1504,0.4658,0.5361,0.5304,0.5982,0.4651,0.5498,0.6132,0.7881,0.9036,0.5086,0.4917,0.5018,0.0371,0.0624,0.0407,0.0285,0.0664,0.0379,0.4829
slope-off,107,15187867567458782570,32,0,0.7199,12.1908,0.6834,0.3805,0.4933,0.4970,0.4366,0.3773,0.5124,0.2800,0.3979,0.8625,0.4736,0.4998,0.4554,0.0729,0.0362,0.0346,0.0409,0.0427,0.0364,0.4889
slope-off,114,10398769758766559319,5,0,0.8885,20.4123,0.4631,0.3885,0.4921,0.5934,0.4265,0.4035,0.6002,0.8667,0.4070,0.5840,0.4416,0.4778,0.5088,0.0948,0.0316,0.0181,0.0345,0.0197,0.0233,0.6014
slope-off,118,12954429782114338291,43,0,0.5488,6.7730,0.3199,0.4882,0.4458,0.5526,0.4906,0.4600,0.5453,0.5712,0.6896,0.8957,0.4486,0.4635,0.4515,0.0315,0.0379,0.0371,0.0413,0.0392,0.0417,0.4735
slope-off,120,2094562554822896397,11,0,0.6234,0.0000,0.0000,0.4108,0.5258,0.4980,0.5453,0.4609,0.4620,0.1544,0.6776,0.6560,0.5091,0.5321,0.4926,0.0519,0.0678,0.0217,0.0358,0.0472,0.0365,0.5093
slope-off,128,17947996486043034128,18,0,0.7751,16.3928,1.1207,0.3789,0.6012,0.3467,0.5281,0.5926,0.6857,0.5032,0.2772,0.7526,0.5082,0.5065,0.4743,0.0256,0.0183,0.0224,0.0390,0.1002,0.0414,0.4897
slope-off,135,11131003003645870203,25,0,0.7479,4.7623,0.2288,0.2895,0.4541,0.5281,0.5244,0.4009,0.3941,0.3503,0.8480,0.6627,0.5058,0.4704,0.4790,0.0551,0.0738,0.0373,0.0235,0.0499,0.0180,0.5112
slope-off,147,6674470426729213435,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,148,12127993062499297745,22,0,0.7010,13.9118,0.3071,0.6343,0.5674,0.4389,0.5376,0.4212,0.5476,0.3496,0.5867,0.7292,0.5337,0.5497,0.5423,0.0488,0.0445,0.0310,0.0547,0.0336,0.0391,0.5311
slope-off,150,1468673486918777996,2,0,0.4622,4.1275,0.3712,0.3881,0.7462,0.5946,0.2292,0.2687,0.1991,0.8015,0.4998,0.7908,0.4218,0.5027,0.5329,0.0421,0.0110,0.0236,0.0200,0.0830,0.0212,0.4377
slope-off,152,9996347461596073808,30,0,0.6484,0.0000,0.0000,0.5608,0.5215,0.3360,0.3388,0.6292,0.3447,0.1069,0.7447,0.9671,0.4941,0.5268,0.4847,0.0185,0.0213,0.0635,0.0287,0.0152,0.0637,0.5160
slope-off,153,13031090148512285575,51,0,0.7038,0.0367,0.0151,0.5666,0.4678,0.5355,0.5574,0.3316,0.5345,0.6467,0.8062,0.7024,0.5148,0.4972,0.4681,0.0489,0.0547,0.0383,0.0390,0.0139,0.0318,0.4951
slope-off,167,6918406548854351239,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,176,2916258865879425044,55,0,0.4215,10.6094,0.2501,0.4855,0.4695,0.4254,0.4596,0.4896,0.6083,0.5077,0.5820,0.8126,0.4664,0.4190,0.5304,0.0486,0.0322,0.0245,0.0477,0.0300,0.0348,0.4851
slope-off,187,9624065834519353203,8,0,0.6906,1.1717,0.0433,0.3740,0.6696,0.5197,0.3785,0.4523,0.4456,0.3825,0.1449,0.8847,0.5321,0.5026,0.5320,0.0200,0.0873,0.0028,0.0231,0.0147,0.0177,0.4735
slope-off,193,1808937922579845643,34,0,0.6639,11.0817,0.5910,0.5896,0.5187,0.5461,0.4829,0.4432,0.4969,0.6186,0.6522,0.8449,0.4969,0.4245,0.5147,0.0358,0.0470,0.0250,0.0371,0.0399,0.0425,0.5081
slope-off,221,2645562228072455900,8,0,0.7072,0.9403,0.1142,0.4315,0.4890,0.3836,0.4971,0.5820,0.5490,0.4994,0.4491,0.7289,0.4681,0.4815,0.5100,0.0074,0.0022,0.0265,0.0110,0.0125,0.0749,0.4571
slope-off,228,4405719259451944973,21,0,0.7195,22.3067,0.6019,0.5377,0.4841,0.5285,0.5117,0.3660,0.5651,0.4891,0.7015,0.6953,0.4694,0.5025,0.5605,0.0735,0.0523,0.0202,0.0312,0.0255,0.0467,0.5743
slope-off,229,8670438639897424666,41,0,0.6389,17.5143,0.5255,0.5151,0.3863,0.5386,0.4740,0.3866,0.5886,0.7075,0.7631,0.7554,0.5065,0.5224,0.4659,0.0359,0.0287,0.0326,0.0605,0.0462,0.0361,0.4953
slope-off,238,13074024072705193343,9,0,0.6465,0.0000,0.0000,0.4273,0.3815,0.5031,0.7955,0.5278,0.6085,0.1182,0.2775,0.9057,0.4964,0.4626,0.4932,0.0478,0.0157,0.0372,0.0693,0.0560,0.0248,0.4994
slope-off,243,9308697229590189803,33,0,0.4261,16.2744,0.7155,0.4862,0.4781,0.5084,0.4428,0.4510,0.4508,0.1947,0.5422,0.8688,0.5203,0.4843,0.5118,0.0157,0.0360,0.0412,0.0214,0.0514,0.0333,0.5022
slope-on,42,7390549525299913426,15,0,0.7308,10.2344,1.7997,0.5040,0.6389,0.3269,0.5703,0.5458,0.6640,0.2174,0.8626,0.9607,0.5635,0.5860,0.4434,0.0194,0.0375,0.0283,0.0735,0.0551,0.0126,0.5322
slope-on,52,9186407184486038423,44,0,0.6979,4.8368,0.4733,0.5939,0.5049,0.5175,0.4468,0.4803,0.5648,0.6948,0.5053,0.9124,0.4922,0.5016,0.4778,0.0274,0.0460,0.0343,0.0451,0.0142,0.0446,0.4731
slope-on,53,3388246980948258985,15,0,0.6729,12.8724,0.5334,0.4520,0.5244,0.5347,0.5508,0.5070,0.4130,0.5052,0.7655,0.7227,0.4864,0.5360,0.5287,0.0512,0.0395,0.0178,0.0189,0.0375,0.0398,0.4594
slope-on,55,13228309003843042110,6,0,0.4549,1.5287,0.5350,0.5149,0.3299,0.5461,0.6955,0.4624,0.5517,0.1771,0.5398,0.7417,0.4647,0.5835,0.4624,0.0498,0.0695,0.0435,0.0445,0.0834,0.0798,0.5639
slope-on,58,18055773429581194844,6,0,0.7428,11.9453,0.9390,0.3843,0.3882,0.4822,0.6229,0.4850,0.7729,0.1895,0.7695,0.9388,0.5157,0.5025,0.5138,0.0478,0.0766,0.0698,0.0820,0.1055,0.0205,0.5229
slope-on,69,16532165846246374851,41,0,0.7031,0.8096,0.2471,0.5854,0.4485,0.6063,0.5174,0.6292,0.3905,0.5439,0.6675,0.9245,0.4950,0.4633,0.4719,0.0372,0.0264,0.0217,0.0349,0.0288,0.0459,0.4771
slope-on,74,3491157449408223213,2,0,0.7948,2.3548,0.5125,0.5318,0.3595,0.4717,0.3641,0.2627,0.6221,0.7651,0.5411,0.9726,0.5647,0.5414,0.4827,0.0113,0.0372,0.0398,0.0620,0.0759,0.0123,0.5019
slope-on,80,9937048972668481863,8,0,0.5105,12.5911,0.8253,0.5151,0.5538,0.4795,0.5754,0.5734,0.4928,0.5728,0.8850,0.7080,0.5472,0.5090,0.4555,0.0206,0.0125,0.0505,0.0343,0.0329,0.0322,0.5451
slope-on,98,14597201848646181852,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,101,11019121685099740418,79,0,0.6036,0.3324,0.0945,0.5442,0.4287,0.4650,0.5446,0.4282,0.5564,0.6079,0.7545,0.7544,0.5464,0.5115,0.5363,0.0519,0.0429,0.0631,0.0315,0.0539,0.0430,0.4840
slope-on,107,14525849953157829189,12,0,0.4661,11.8019,0.7183,0.6523,0.3650,0.6232,0.3903,0.5238,0.7104,0.1012,0.4596,0.8215,0.5380,0.5010,0.4082,0.0471,0.0444,0.0509,0.0475,0.0387,0.0408,0.5042
slope-on,114,5951405999538934204,12,0,0.7000,19.9102,0.5149,0.3787,0.3432,0.5718,0.6996,0.5324,0.6388,0.8220,0.5390,0.5222,0.4896,0.4033,0.5191,0.0820,0.0456,0.0328,0.0541,0.0301,0.0156,0.5896
slope-on,118,8845329466044330466,28,0,0.7004,6.4274,0.3311,0.4725,0.5207,0.4428,0.4338,0.4383,0.6456,0.2805,0.6169,0.8032,0.4483,0.4550,0.5008,0.0336,0.0253,0.0490,0.0324,0.0430,0.0700,0.4869
slope-on,120,5159440871187695911,31,0,0.6710,0.0000,0.0000,0.3437,0.5238,0.5492,0.5528,0.5024,0.4882,0.1895,0.5946,0.7374,0.5601,0.4651,0.4876,0.0186,0.0301,0.0250,0.0404,0.0355,0.0190,0.5905
slope-on,128,9886284084020400403,11,0,0.7409,16.0827,1.1715,0.4877,0.4509,0.4249,0.3645,0.6140,0.7107,0.5088,0.7682,0.9210,0.5341,0.5421,0.4620,0.0654,0.0169,0.0299,0.0119,0.0563,0.0278,0.4995
slope-on,135,15098550651612054000,17,0,0.7782,5.0361,0.2525,0.5040,0.5586,0.4402,0.5716,0.3956,0.4889,0.4164,0.7026,0.8210,0.5635,0.5237,0.5483,0.0270,0.0271,0.0517,0.0298,0.0209,0.0381,0.4836
slope-on,147,14874466057913123948,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,148,17291496621236485484,15,0,0.7207,13.3067,0.3523,0.5267,0.6834,0.3916,0.4019,0.5143,0.6266,0.5617,0.7217,0.6515,0.5236,0.4633,0.4949,0.0506,0.0365,0.0537,0.0555,0.0489,0.0725,0.5379
slope-on,150,14985592370428741651,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,152,9996347461596073808,30,0,0.6484,0.0000,0.0000,0.5608,0.5215,0.3360,0.3388,0.6292,0.3447,0.1069,0.7447,0.9671,0.4941,0.5268,0.4847,0.0185,0.0213,0.0635,0.0287,0.0152,0.0637,0.5160
slope-on,153,10130236492708757113,51,0,0.7037,0.0367,0.0151,0.5666,0.4678,0.5355,0.5574,0.3316,0.5345,0.6467,0.8062,0.7024,0.5148,0.4972,0.4681,0.0489,0.0547,0.0383,0.0390,0.0139,0.0318,0.4951
slope-on,167,7448342733169697374,6,0,0.8339,4.0905,0.3159,0.6776,0.4451,0.3921,0.5341,0.5231,0.4481,0.8714,0.6033,0.8286,0.5770,0.5653,0.5455,0.0393,0.0092,0.0317,0.0231,0.0435,0.0491,0.4908
slope-on,176,15950706464462778816,17,0,0.7119,10.7310,0.2230,0.4729,0.4388,0.4870,0.5679,0.5104,0.4611,0.3133,0.5871,0.7477,0.4821,0.5139,0.5427,0.0364,0.0364,0.0264,0.0344,0.0517,0.0448,0.5326
slope-on,187,13467959284050013038,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,193,15517575624793595266,12,0,0.5691,10.9199,0.5243,0.4847,0.3980,0.5744,0.3060,0.5558,0.5710,0.6027,0.3210,0.7350,0.4764,0.4642,0.5297,0.0444,0.0334,0.0458,0.0239,0.0450,0.0193,0.5146
slope-on,221,11691723679662758756,13,0,0.5707,0.4764,0.0665,0.6622,0.6328,0.7556,0.4755,0.4080,0.6406,0.3811,0.7731,0.8104,0.5339,0.5106,0.4947,0.0281,0.0027,0.0215,0.0137,0.0227,0.0453,0.4385
slope-on,228,9771612955189260787,7,0,0.5832,21.6689,0.6003,0.5102,0.5913,0.5341,0.3913,0.4353,0.7263,0.3754,0.7109,0.7366,0.5249,0.5003,0.5797,0.0702,0.0112,0.0281,0.0095,0.0149,0.0345,0.5055
slope-on,229,12801739435812559298,23,0,0.7500,17.7668,0.5056,0.5765,0.5124,0.4887,0.4688,0.4109,0.6109,0.7510,0.2950,0.9007,0.5190,0.4878,0.5053,0.0325,0.0125,0.0602,0.0555,0.0495,0.0412,0.4928
slope-on,238,4750821590184368477,12,0,0.7153,0.0000,0.0000,0.4387,0.5268,0.5450,0.7881,0.4847,0.5567,0.2426,0.6805,0.9575,0.4876,0.4783,0.4751,0.0228,0.0231,0.0516,0.0585,0.0640,0.0164,0.5516
slope-on,243,10464133325123233110,3,0,0.6520,24.7528,0.2959,0.6559,0.5650,0.3492,0.5506,0.4110,0.4917,0.7618,0.8180,0.7543,0.5362,0.6019,0.5431,0.0390,0.0175,0.0064,0.0272,0.0223,0.0098,0.5329
