schema=1
code_revision=9631800
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=Legacy
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=false
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,42,16793823729322178914,1,0,0.8795,6.8650,1.2731,0.3693,0.4405,0.4583,0.4753,0.4796,0.6153,0.6211,0.3410,0.4618,0.4227,0.4326,0.3766,0.8338,0.9939,0.8829,0.9743,0.5846,0.1398,0.4081
slope-off,52,7252126923390304742,46,0,0.6446,1.1192,0.3645,0.4039,0.4512,0.5089,0.4638,0.6044,0.5197,0.5195,0.4763,0.6287,0.4949,0.5452,0.5108,0.6316,0.9618,0.2461,0.8507,0.8911,0.1565,0.5805
slope-off,53,8077058278624504554,29,0,0.5418,12.5011,0.4894,0.4711,0.5682,0.4870,0.5638,0.5002,0.5784,0.5027,0.4433,0.5509,0.5035,0.4931,0.4056,0.8080,0.9359,0.1048,0.6212,0.9562,0.2043,0.5327
slope-off,55,9302527511771986017,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,58,2895752796773028235,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,69,14546059673942000398,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,74,10018614264468058407,100,0,0.2658,0.3062,0.0349,0.4536,0.5242,0.4943,0.4614,0.5013,0.5016,0.5245,0.4711,0.5186,0.5480,0.5514,0.4195,0.9109,0.8478,0.5055,0.1336,0.3572,0.0523,0.5309
slope-off,80,15257200083152575175,77,0,0.5222,10.8124,0.8106,0.4932,0.5401,0.4856,0.5301,0.4912,0.4776,0.5431,0.4936,0.4747,0.5161,0.4868,0.4841,0.7254,0.3525,0.1903,0.1073,0.5562,0.1238,0.5430
slope-off,98,840015465292617831,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,101,5493899093489221106,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
