schema=1
code_revision=9631800
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=Legacy
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=false
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=true
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,42,6379052620196606493,164,0,0.5691,9.6127,1.3488,0.5039,0.5125,0.4856,0.4750,0.4836,0.5390,0.5319,0.4442,0.5208,0.5063,0.4505,0.4831,0.5162,0.8261,0.6508,0.1940,0.9004,0.0936,0.5050
slope-off,52,14124015972651423238,56,0,0.6101,2.2989,0.3767,0.4310,0.5562,0.4800,0.4913,0.5526,0.4513,0.5902,0.5019,0.6063,0.4721,0.5155,0.5225,0.6777,0.9814,0.2753,0.9107,0.9407,0.1505,0.5063
slope-off,53,1359257028801108979,83,0,0.3709,10.9594,0.5798,0.4964,0.5431,0.5488,0.4428,0.4526,0.5138,0.4670,0.4948,0.5235,0.5218,0.4891,0.4446,0.4799,0.7623,0.0875,0.7169,0.9622,0.2245,0.4969
slope-off,55,3864079103335126659,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,58,17295661057971879984,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,69,12684528163448156314,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,74,8737779714912326852,86,0,0.5395,0.6290,0.1479,0.5023,0.5373,0.5007,0.4439,0.5130,0.5063,0.5613,0.4698,0.5187,0.5185,0.5572,0.4120,0.9421,0.8760,0.5461,0.1464,0.5059,0.0734,0.5150
slope-off,80,4453840601195067468,53,0,0.5392,11.9618,0.8273,0.4816,0.4822,0.4653,0.5413,0.5089,0.5086,0.5670,0.4505,0.4969,0.4757,0.5119,0.4650,0.5932,0.6083,0.1975,0.1663,0.2683,0.0744,0.5174
slope-off,98,5255330173670477267,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,101,16114219022157316003,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,107,6152826975906934711,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,114,1310483576154653625,169,0,0.4260,20.9964,0.4130,0.4430,0.4657,0.4687,0.4763,0.4671,0.4719,0.5822,0.5160,0.5491,0.5347,0.5206,0.5027,0.3528,0.7344,0.5907,0.3447,0.7586,0.2422,0.5133
slope-off,118,11479758510030585744,7,0,0.6195,6.1942,0.2723,0.3671,0.5794,0.5003,0.4663,0.4346,0.3945,0.4445,0.5651,0.5456,0.4713,0.2391,0.5523,0.9500,0.9658,0.5703,0.6788,0.2621,0.1283,0.4434
slope-off,120,2745777922544005151,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,128,1331259176711826802,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,135,2616218100886302103,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,147,11078454361508616891,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,148,16765608763758951096,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,150,5576199727141454544,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,152,217615188542492644,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,153,10993773104486523281,136,0,0.7075,0.1956,0.0559,0.5147,0.5072,0.4351,0.4718,0.5467,0.5218,0.5767,0.5179,0.5106,0.5320,0.4864,0.5071,0.5538,0.7298,0.2445,0.1635,0.5749,0.1275,0.4541
slope-off,167,5114403508765702604,52,0,0.7135,3.0711,0.2153,0.4528,0.4832,0.5078,0.3929,0.4183,0.4684,0.5166,0.4888,0.4639,0.5062,0.5519,0.4996,0.3085,0.7622,0.8232,0.4166,0.7942,0.2131,0.5348
slope-off,176,2977888986707401497,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,187,2514816159874642556,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,193,11910849299573002077,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,221,7524338414012120026,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,228,14095308100863730310,78,0,0.5028,22.8583,0.5267,0.4670,0.5283,0.5300,0.4668,0.5664,0.5298,0.5362,0.5179,0.5183,0.4524,0.5355,0.5499,0.1599,0.5920,0.4156,0.4628,0.2375,0.1103,0.5424
slope-off,229,1830897975347145564,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,238,15312454384653561420,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,243,11918072476033650373,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,42,15471747261070200222,180,0,0.7367,2.3501,0.7673,0.4524,0.4732,0.4776,0.4891,0.5192,0.5543,0.6361,0.4854,0.5183,0.5165,0.4888,0.4872,0.2315,0.7473,0.7390,0.3022,0.9518,0.0565,0.5190
slope-on,52,16114021808816479481,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,53,15280700754106273739,17,0,0.5751,12.2140,0.4194,0.4535,0.5968,0.4961,0.5467,0.5256,0.4811,0.4536,0.5189,0.5028,0.5842,0.4523,0.3762,0.7513,0.9167,0.1306,0.5340,0.2374,0.2743,0.5803
slope-on,55,14619198180180187730,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,58,1019505658907480078,36,0,0.5224,11.4998,0.8817,0.4047,0.5307,0.5095,0.4769,0.4796,0.5360,0.5179,0.4344,0.4996,0.4875,0.4650,0.4489,0.4125,0.2164,0.3272,0.5789,0.8012,0.0665,0.4079
slope-on,69,9617213747456274213,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,74,6999037443413374138,99,0,0.6448,0.3994,0.1010,0.3535,0.5320,0.5049,0.4986,0.5143,0.5017,0.5330,0.4937,0.5116,0.4913,0.4919,0.4473,0.9267,0.9582,0.4695,0.2721,0.6540,0.1097,0.5181
slope-on,80,12259763421458427849,173,0,0.6199,13.9128,0.8441,0.5121,0.4635,0.5167,0.5723,0.5530,0.4951,0.5552,0.4970,0.5063,0.4924,0.4963,0.5152,0.6877,0.6584,0.2216,0.1489,0.4762,0.0644,0.5641
slope-on,98,9782098454963626839,75,0,0.3786,3.0744,0.4064,0.5243,0.4948,0.4438,0.4413,0.4680,0.4910,0.4884,0.5124,0.4548,0.4578,0.5099,0.5220,0.1590,0.9153,0.0491,0.4397,0.6313,0.8015,0.4964
slope-on,101,16592131454415310150,148,0,0.5591,1.4601,0.2038,0.5089,0.5396,0.5203,0.5240,0.4088,0.5411,0.5075,0.4622,0.5266,0.5018,0.5260,0.4474,0.8695,0.9439,0.2770,0.4940,0.6173,0.0924,0.4964
slope-on,107,11359462013635749668,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,114,3850166568469628995,216,0,0.5562,21.0074,0.4134,0.4603,0.5042,0.4883,0.4961,0.4935,0.4861,0.5786,0.4930,0.5126,0.4827,0.4925,0.4966,0.4185,0.7018,0.2592,0.5100,0.7972,0.2402,0.5591
slope-on,118,6597792325985532929,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,120,2993062615679493876,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,128,9181935716057380774,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,135,11971515878989310118,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,147,17293914485940148613,6,0,0.6697,11.2142,0.2561,0.5336,0.5167,0.5327,0.5618,0.5029,0.5124,0.4961,0.4008,0.5595,0.5075,0.3849,0.5339,0.5271,0.9704,0.6067,0.7495,0.8316,0.1287,0.4660
slope-on,148,4291208044726096908,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,150,8785877088460498980,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
