schema=1
code_revision=0ef2e4e
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=false
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=4.5
ReproductionNeedFraction=0.7
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,42,1898011967837843514,54,0,0.7530,6.1002,1.0005,0.5053,0.4546,0.4875,0.4869,0.4451,0.6178,0.6013,0.7825,0.6791,0.5062,0.4925,0.5171,0.0316,0.0484,0.0811,0.0371,0.0735,0.0236,0.4862
slope-off,52,10946673598749008419,190,0,0.7727,10.3071,0.4671,0.4803,0.4915,0.4418,0.4133,0.5542,0.6223,0.7769,0.4918,0.8629,0.5167,0.5112,0.4634,0.0455,0.0769,0.0270,0.0408,0.0496,0.0408,0.4927
slope-off,53,4508913965890440337,109,0,0.7543,13.3662,0.4282,0.5804,0.6091,0.5195,0.3995,0.5004,0.6014,0.6160,0.8078,0.6103,0.5255,0.4743,0.5027,0.0668,0.0349,0.0603,0.0550,0.0365,0.0397,0.5186
slope-off,55,5014634949209344253,11,0,0.7731,5.1882,0.5058,0.5446,0.4818,0.5686,0.5790,0.3475,0.5099,0.7715,0.2274,0.7325,0.4774,0.4813,0.5244,0.0667,0.0251,0.0541,0.0609,0.0624,0.0267,0.5988
slope-off,58,15462154952031413623,228,0,0.7773,15.9049,0.4795,0.4997,0.4561,0.4712,0.3173,0.4579,0.4327,0.8171,0.6522,0.8334,0.4898,0.5052,0.5126,0.0380,0.0479,0.0436,0.0390,0.0510,0.0427,0.4852
slope-off,69,17283285777412712259,74,0,0.8080,1.1403,0.3034,0.4846,0.5301,0.4455,0.4068,0.7073,0.5733,0.7241,0.6373,0.7842,0.4780,0.4636,0.4872,0.0289,0.0389,0.0210,0.0370,0.0529,0.0388,0.4669
slope-off,74,633777925763398137,298,0,0.7578,3.3401,0.4274,0.4987,0.4363,0.4469,0.5038,0.5325,0.4582,0.6402,0.8282,0.8295,0.4885,0.5276,0.4626,0.0294,0.0443,0.0480,0.0362,0.0463,0.0317,0.5146
slope-off,80,13233497293404134595,123,0,0.7656,9.4507,0.8244,0.5131,0.4813,0.5340,0.4936,0.4977,0.4773,0.7786,0.6760,0.6657,0.5215,0.4832,0.5283,0.0247,0.0604,0.0362,0.0631,0.0294,0.0503,0.5707
slope-off,98,2688208096374230481,32,0,0.8018,3.0192,0.3023,0.5398,0.5118,0.5542,0.4788,0.5776,0.4861,0.6633,0.2792,0.8044,0.4363,0.5261,0.5118,0.0490,0.0282,0.0519,0.1034,0.0303,0.0224,0.4997
slope-off,101,10586817118203253806,307,0,0.7301,0.8972,0.1188,0.6730,0.5319,0.5188,0.6342,0.4519,0.6079,0.5792,0.8055,0.7445,0.4956,0.5232,0.5087,0.0532,0.0597,0.0490,0.0404,0.0393,0.0421,0.4924
