schema=1
code_revision=0ef2e4e
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=false
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=6
ReproductionNeedFraction=0.7
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,42,13872325294211065765,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,52,1556937539969195240,57,0,0.7775,7.5372,0.4075,0.4473,0.4751,0.5342,0.3606,0.5819,0.6031,0.7979,0.5233,0.7819,0.4891,0.5230,0.5176,0.0369,0.0902,0.0297,0.0368,0.0195,0.0449,0.4730
slope-off,53,976757057677838059,19,0,0.7938,12.8652,0.4761,0.4430,0.6591,0.4571,0.3964,0.5123,0.6878,0.6966,0.4983,0.7846,0.4734,0.4431,0.4901,0.0464,0.0249,0.0474,0.0359,0.0462,0.0240,0.5313
slope-off,55,7923822493828687613,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,58,13823114091164861223,122,0,0.7758,15.7641,0.4598,0.4817,0.4116,0.4777,0.2679,0.4892,0.4689,0.7106,0.7526,0.7889,0.5076,0.4974,0.4741,0.0395,0.0751,0.0310,0.0437,0.0473,0.0371,0.4949
slope-off,69,4109790770111951140,23,0,0.7425,1.4561,0.3052,0.5932,0.4969,0.6007,0.4665,0.5002,0.4668,0.5275,0.5518,0.8565,0.5140,0.4881,0.4262,0.0283,0.0212,0.0128,0.0453,0.0289,0.0561,0.5254
slope-off,74,11606604015182176291,86,0,0.7729,2.9535,0.3537,0.5479,0.4413,0.5061,0.4673,0.4399,0.5801,0.5856,0.7070,0.7985,0.4889,0.5155,0.4543,0.0286,0.0381,0.0442,0.0436,0.0374,0.0265,0.5152
slope-off,80,7774459477254810922,40,0,0.7478,12.0915,0.8615,0.6070,0.4794,0.5845,0.4076,0.4471,0.5317,0.4395,0.6627,0.5137,0.5588,0.5188,0.5056,0.0226,0.0250,0.0262,0.0464,0.0168,0.0477,0.5335
slope-off,98,833043464576513142,4,0,0.7581,2.3915,0.2318,0.5395,0.4462,0.7935,0.5097,0.5405,0.2390,0.5782,0.5547,0.7574,0.4888,0.5473,0.4595,0.0116,0.0029,0.0319,0.0690,0.0097,0.0301,0.5051
slope-off,101,11297635187500926805,55,0,0.7182,1.3404,0.2769,0.6061,0.5716,0.4732,0.6329,0.4780,0.6583,0.5097,0.7521,0.8994,0.5571,0.5106,0.5332,0.0455,0.0803,0.0537,0.0219,0.0591,0.0276,0.5006
slope-off,107,15635583289250837996,11,0,0.7065,12.7044,0.7554,0.4385,0.4348,0.4949,0.4664,0.5912,0.5927,0.3280,0.8932,0.7373,0.4960,0.4568,0.4912,0.1217,0.0210,0.0430,0.0755,0.0250,0.0495,0.5264
slope-off,114,6293245716845216618,35,0,0.7590,21.3423,0.4795,0.5652,0.2406,0.4864,0.4345,0.4641,0.6531,0.8029,0.8044,0.5378,0.4936,0.5526,0.4870,0.0478,0.0590,0.0484,0.0431,0.0392,0.0191,0.5209
slope-off,118,7038257969488246101,61,0,0.7810,8.1952,0.2530,0.4894,0.5103,0.6466,0.4324,0.4454,0.5441,0.7748,0.7052,0.8342,0.4618,0.4201,0.4735,0.0318,0.0541,0.0551,0.0417,0.0477,0.0500,0.4381
slope-off,120,6142278785564341223,10,0,0.7851,0.5462,0.1940,0.3368,0.5861,0.5843,0.5039,0.4428,0.4982,0.2451,0.6279,0.3218,0.5163,0.4577,0.4703,0.1059,0.0106,0.0393,0.0497,0.0509,0.0251,0.5717
slope-off,128,8013601870148460655,109,0,0.8236,14.3898,0.8805,0.4430,0.4609,0.5139,0.4747,0.3991,0.6225,0.5975,0.8181,0.8239,0.4575,0.4941,0.5271,0.0337,0.0312,0.0465,0.0318,0.0451,0.0463,0.4981
slope-off,135,2748432114570046959,59,0,0.7725,4.7238,0.3125,0.4057,0.4951,0.5802,0.5162,0.4055,0.5639,0.6341,0.8276,0.7948,0.5387,0.4726,0.5016,0.0409,0.0647,0.0365,0.0202,0.0323,0.0629,0.4775
slope-off,147,12681410157283851513,14,0,0.8101,12.1332,0.2428,0.6451,0.5201,0.6268,0.6415,0.4463,0.3305,0.9190,0.8402,0.5869,0.4574,0.5502,0.4482,0.1101,0.0523,0.0384,0.0570,0.0372,0.0133,0.4789
slope-off,148,1892491020810798117,49,0,0.7719,10.1738,0.4411,0.5724,0.5651,0.4778,0.4945,0.5014,0.5272,0.6472,0.6531,0.6844,0.4741,0.4961,0.5052,0.0459,0.0258,0.0438,0.0457,0.0271,0.0451,0.5234
slope-off,150,3569952925623907436,65,0,0.7638,4.5219,0.4334,0.5248,0.6353,0.5773,0.4511,0.5118,0.3170,0.5098,0.8520,0.7224,0.4771,0.5559,0.4971,0.0619,0.0354,0.0325,0.0734,0.0202,0.0981,0.4828
slope-off,152,13932412593477613331,15,0,0.7209,0.0000,0.0000,0.6196,0.5048,0.3615,0.2023,0.5557,0.5114,0.2407,0.9749,0.8154,0.5041,0.4536,0.5562,0.0350,0.0164,0.0816,0.0423,0.0124,0.0352,0.5158
slope-off,153,16905440684683633992,134,0,0.7750,0.0396,0.0153,0.5445,0.5579,0.4425,0.5664,0.5890,0.5264,0.6450,0.7610,0.8041,0.4981,0.4856,0.4637,0.0561,0.0521,0.0523,0.0431,0.0407,0.0389,0.4813
