schema=1
code_revision=3da097c
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=false
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
EvasiveFleeingEnabled=true
EvasiveFleeingStrength=0.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,42,16668896234988217794,90,0,0.1570,1.0932,0.3332,0.4566,0.4849,0.4909,0.4741,0.4785,0.5109,0.5035,0.5040,0.5064,0.5199,0.4955,0.4457,0.2955,0.6766,0.4157,0.5636,0.8069,0.7593,0.4543
slope-off,52,3696576452715246161,499,0,0.4619,6.6443,0.5124,0.4621,0.5162,0.4790,0.4660,0.5233,0.4943,0.5135,0.5174,0.5458,0.5072,0.5208,0.4833,0.3423,0.7240,0.3013,0.6000,0.7145,0.4600,0.5131
slope-off,53,10709309802110964743,220,0,0.5763,12.8427,0.4024,0.5117,0.5247,0.5061,0.4933,0.4617,0.5277,0.4763,0.5458,0.4769,0.5041,0.5233,0.4262,0.4748,0.7219,0.5518,0.4276,0.4904,0.5589,0.5094
slope-off,55,6512058110712112069,253,0,0.5381,9.3333,0.6146,0.5044,0.5113,0.4754,0.5193,0.5045,0.5086,0.4803,0.5570,0.5284,0.4675,0.5384,0.4612,0.5527,0.6361,0.5622,0.2838,0.6490,0.7281,0.5034
slope-off,58,406844436911142441,227,0,0.6450,13.1941,0.5749,0.4866,0.5510,0.5032,0.4302,0.4856,0.4861,0.5057,0.4851,0.5258,0.4742,0.5098,0.4373,0.2919,0.3814,0.3364,0.4865,0.6796,0.8201,0.5181
slope-off,69,15071494990566331285,444,0,0.5016,3.8056,0.4564,0.5684,0.5104,0.5127,0.5456,0.5199,0.4766,0.4172,0.4999,0.5156,0.4844,0.4588,0.4559,0.4840,0.9182,0.1280,0.5510,0.2452,0.7563,0.4769
slope-off,74,895563598348581468,67,0,0.1413,5.8144,0.5944,0.5041,0.5014,0.4743,0.4920,0.4978,0.5140,0.4916,0.4902,0.5453,0.5136,0.5295,0.4055,0.3744,0.9425,0.5818,0.4898,0.8058,0.3719,0.5357
slope-off,80,359372126055372556,497,0,0.3187,7.7435,0.6117,0.5103,0.4740,0.5405,0.5248,0.5175,0.4840,0.5010,0.5073,0.4877,0.5241,0.4877,0.5218,0.2907,0.9113,0.3791,0.8243,0.7724,0.4123,0.4897
slope-off,98,14675298969155664932,498,0,0.5588,3.3736,0.3082,0.5363,0.5016,0.4848,0.4813,0.4982,0.4731,0.4620,0.5116,0.5029,0.4711,0.4990,0.4944,0.4857,0.8212,0.3365,0.2821,0.5926,0.7686,0.4951
slope-off,101,13703579694502508226,434,0,0.5410,1.8641,0.2104,0.5410,0.5105,0.4942,0.5309,0.4578,0.5062,0.4574,0.5176,0.5519,0.4780,0.4717,0.5225,0.5025,0.8430,0.0989,0.6008,0.4734,0.1467,0.5061
