schema=1
code_revision=3da097c
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=false
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=true
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
EvasiveFleeingEnabled=true
EvasiveFleeingStrength=0.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,42,13051985348804424033,463,0,0.6469,6.6424,0.7796,0.5017,0.4857,0.5155,0.5126,0.5280,0.5222,0.4878,0.4943,0.5139,0.4924,0.4904,0.4715,0.2501,0.5527,0.4871,0.3341,0.7300,0.4387,0.4644
slope-off,52,1229089744009082254,500,0,0.5456,6.9748,0.5342,0.4841,0.5193,0.4759,0.4993,0.5332,0.5172,0.5143,0.5220,0.5492,0.4997,0.4854,0.4591,0.3962,0.7452,0.4436,0.8137,0.7830,0.5285,0.5208
slope-off,53,16703881719117474283,107,0,0.5139,11.7335,0.4210,0.4854,0.5099,0.5211,0.4844,0.4721,0.5489,0.4766,0.5049,0.5056,0.4658,0.5198,0.4724,0.5459,0.7108,0.6098,0.3962,0.4587,0.3740,0.4981
slope-off,55,8403268369816573704,359,0,0.5400,7.4429,0.5657,0.5083,0.5148,0.5036,0.5165,0.4870,0.4924,0.5183,0.5279,0.5220,0.4630,0.4730,0.4852,0.5425,0.7344,0.7437,0.1852,0.6719,0.7137,0.5322
slope-off,58,858076764090345726,356,0,0.6519,14.0524,0.5135,0.5008,0.5305,0.4935,0.5484,0.5441,0.5125,0.4655,0.4901,0.5243,0.4953,0.5450,0.5082,0.1976,0.3741,0.3061,0.2708,0.5901,0.6414,0.4984
slope-off,69,16698873686077367388,61,0,0.0218,2.2946,0.2756,0.5701,0.5116,0.5070,0.5160,0.5057,0.5094,0.4972,0.4863,0.5227,0.5022,0.4745,0.4400,0.4041,0.8644,0.1839,0.5110,0.3936,0.6231,0.5049
slope-off,74,16909927504014524562,491,0,0.3544,3.5913,0.4535,0.5033,0.5191,0.4824,0.5160,0.5085,0.5303,0.4632,0.4887,0.5244,0.5103,0.5240,0.3958,0.4377,0.8617,0.5826,0.4420,0.8277,0.4956,0.4863
slope-off,80,5355000733484262487,111,0,0.4961,4.5736,0.6653,0.5053,0.4822,0.5367,0.5045,0.5075,0.5066,0.5173,0.4982,0.4920,0.5245,0.4872,0.4978,0.3287,0.7489,0.3691,0.8122,0.8091,0.5647,0.5177
slope-off,98,18413415526794213535,478,0,0.4247,3.7176,0.3116,0.5063,0.5071,0.4844,0.4697,0.5204,0.4960,0.4831,0.5105,0.5027,0.4968,0.5369,0.4988,0.3394,0.8154,0.3824,0.2619,0.6673,0.6879,0.4839
slope-off,101,6978467130775420417,500,0,0.5745,1.5426,0.2494,0.5282,0.4955,0.4930,0.5546,0.4984,0.5007,0.4859,0.4891,0.5119,0.5121,0.4829,0.4970,0.5010,0.7662,0.0802,0.7546,0.4924,0.3355,0.5148
slope-off,107,9422763201526563646,500,0,0.7095,16.8214,0.6416,0.4240,0.5135,0.5135,0.4671,0.4988,0.5124,0.5092,0.5192,0.4437,0.4565,0.5120,0.3851,0.1382,0.5188,0.3878,0.3472,0.2352,0.3423,0.5353
slope-off,114,5426056026114057938,23,0,0.3058,22.2774,0.3576,0.5297,0.5175,0.4737,0.5234,0.4989,0.4813,0.4923,0.4996,0.5168,0.4823,0.5203,0.3962,0.4575,0.8954,0.7872,0.7402,0.5384,0.4645,0.4928
slope-off,118,13651665221040642857,154,0,0.1640,6.9973,0.3364,0.4557,0.5201,0.4723,0.5092,0.4742,0.5248,0.4904,0.5112,0.5220,0.4817,0.4314,0.4417,0.3096,0.5895,0.6696,0.5700,0.5128,0.4728,0.4862
slope-off,120,815884506836999507,423,0,0.1849,7.0711,0.9333,0.5030,0.5251,0.5605,0.5273,0.5076,0.5408,0.4944,0.5117,0.5097,0.4827,0.5043,0.4864,0.3162,0.7796,0.3736,0.6300,0.3473,0.3560,0.5427
