schema=1
code_revision=3da097c
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=false
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
EvasiveFleeingEnabled=true
EvasiveFleeingStrength=4
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,42,7397808681279128445,499,0,0.4248,4.4097,0.5667,0.4599,0.4977,0.4453,0.4724,0.5192,0.5537,0.5190,0.4434,0.5286,0.5347,0.4787,0.4758,0.1914,0.6117,0.4641,0.6364,0.6887,0.5945,0.4824
slope-off,52,1530267805642986571,280,0,0.5786,6.2881,0.3996,0.4850,0.4651,0.5060,0.5104,0.5141,0.5172,0.4691,0.5055,0.5196,0.5298,0.5182,0.4420,0.4279,0.7759,0.2900,0.6270,0.5950,0.6243,0.5085
slope-off,53,15631834847267838421,458,0,0.2823,12.4977,0.3965,0.4978,0.5282,0.5088,0.4962,0.5148,0.5023,0.4590,0.4890,0.4959,0.4841,0.4464,0.4746,0.3347,0.7355,0.3326,0.3416,0.5283,0.4639,0.5061
slope-off,55,4602847725795083599,315,0,0.5434,7.8837,0.5841,0.5257,0.5277,0.4915,0.5118,0.5166,0.5030,0.4845,0.5706,0.5154,0.4772,0.5350,0.4808,0.4190,0.6437,0.7187,0.2466,0.5886,0.7696,0.5092
slope-off,58,5730830221997649922,425,0,0.1034,14.6245,0.5331,0.4798,0.5647,0.4926,0.5206,0.4941,0.5280,0.4723,0.4900,0.5137,0.4632,0.4827,0.4462,0.2076,0.3906,0.3244,0.4363,0.6945,0.4174,0.4823
slope-off,69,11224578732802154085,444,0,0.5015,3.8056,0.4575,0.5684,0.5104,0.5127,0.5456,0.5199,0.4766,0.4172,0.4999,0.5156,0.4844,0.4588,0.4559,0.4840,0.9182,0.1280,0.5510,0.2452,0.7563,0.4769
slope-off,74,15782419842889153391,43,0,0.1861,5.7232,0.7161,0.5010,0.5100,0.4752,0.5279,0.4997,0.5345,0.5159,0.4706,0.5316,0.5181,0.5147,0.4019,0.3656,0.9443,0.5912,0.3951,0.8280,0.3914,0.5200
slope-off,80,17881826165122451534,498,0,0.2824,9.6488,0.6334,0.4971,0.4605,0.5252,0.5284,0.5197,0.4869,0.4926,0.5204,0.4960,0.5216,0.4969,0.5124,0.2779,0.9102,0.4063,0.8168,0.7983,0.4964,0.4949
slope-off,98,1563286832471979621,500,0,0.4935,3.9616,0.3180,0.5255,0.4814,0.4911,0.4803,0.5032,0.4601,0.4609,0.5055,0.5146,0.4685,0.5074,0.5040,0.4567,0.7932,0.3928,0.2576,0.5814,0.7360,0.5233
slope-off,101,9624814007921381334,93,0,0.5444,1.9795,0.1862,0.5064,0.4927,0.5301,0.5330,0.4490,0.4992,0.4780,0.5005,0.5331,0.5070,0.5017,0.4818,0.5349,0.8843,0.5434,0.5434,0.6366,0.2721,0.5128
