schema=1
code_revision=3da097c
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=false
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=true
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
EvasiveFleeingEnabled=true
EvasiveFleeingStrength=4
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,42,12049567463535713392,499,0,0.3257,7.1596,0.9530,0.4781,0.4972,0.5139,0.4700,0.4934,0.5323,0.5052,0.4868,0.5263,0.5009,0.4974,0.4735,0.1973,0.6623,0.5605,0.4373,0.6876,0.4823,0.4993
slope-off,52,15986866089025303370,406,0,0.5325,9.5490,0.5423,0.4760,0.5162,0.5313,0.4856,0.5075,0.5334,0.5218,0.5220,0.5496,0.5068,0.4868,0.4393,0.4300,0.8132,0.3034,0.6302,0.4866,0.6571,0.5090
slope-off,53,5707911768500859978,167,0,0.5421,12.6708,0.4498,0.4998,0.5507,0.4753,0.4606,0.4909,0.5520,0.4715,0.5417,0.4995,0.5004,0.4718,0.4329,0.5628,0.7617,0.3787,0.4476,0.4848,0.5204,0.4689
slope-off,55,9305212431524126251,190,0,0.5061,7.8445,0.5625,0.5151,0.5418,0.5016,0.4990,0.5000,0.5158,0.5057,0.5492,0.5114,0.4680,0.4674,0.4595,0.6756,0.7700,0.6247,0.1874,0.6995,0.7003,0.5165
slope-off,58,13814362000598418601,475,0,0.5660,14.8391,0.5265,0.4787,0.5245,0.5097,0.4873,0.5145,0.5087,0.4686,0.4762,0.5208,0.4692,0.5206,0.4548,0.2069,0.3689,0.4373,0.4848,0.5538,0.4589,0.5014
slope-off,69,6577934189653788129,59,0,0.0625,1.9421,0.3315,0.5782,0.5103,0.5008,0.5296,0.4997,0.5052,0.5020,0.4956,0.5135,0.4917,0.4864,0.4511,0.4782,0.8555,0.1919,0.5250,0.4015,0.6709,0.4996
slope-off,74,14031226604756998853,500,0,0.4740,3.2135,0.3004,0.5056,0.5251,0.4797,0.5123,0.5091,0.5233,0.4666,0.4866,0.5442,0.5097,0.5249,0.4018,0.4440,0.8645,0.6024,0.4095,0.8343,0.4542,0.4857
slope-off,80,7527661627258193054,500,0,0.4399,10.3230,0.7434,0.4943,0.4764,0.5425,0.5002,0.5265,0.4930,0.5031,0.4992,0.4937,0.5094,0.4985,0.5191,0.3301,0.7850,0.3635,0.7880,0.7895,0.6485,0.5155
slope-off,98,713082073660049194,471,0,0.3744,3.6001,0.3026,0.5070,0.5102,0.4847,0.4743,0.5221,0.4938,0.4805,0.5089,0.5022,0.4942,0.5317,0.5000,0.3235,0.8172,0.3788,0.2472,0.6610,0.7027,0.4860
slope-off,101,932774628849768568,213,0,0.5091,2.5413,0.2645,0.5396,0.4970,0.5168,0.5142,0.4768,0.5020,0.4338,0.5059,0.5403,0.4964,0.4788,0.4970,0.7843,0.6829,0.1448,0.5879,0.6780,0.3403,0.5119
slope-off,107,8303717098849336189,21,0,0.2587,16.0736,0.6084,0.4721,0.5099,0.5144,0.4749,0.4965,0.5669,0.5306,0.5351,0.4856,0.4849,0.5018,0.3872,0.1102,0.3986,0.6446,0.5526,0.8939,0.4722,0.5100
slope-off,114,4978894736504368421,37,0,0.3273,22.3717,0.4144,0.4957,0.5060,0.4475,0.4920,0.4927,0.4504,0.5009,0.5122,0.5407,0.4419,0.5108,0.4271,0.3500,0.7909,0.5938,0.6536,0.6312,0.4853,0.5081
slope-off,118,16270328967237410087,297,0,0.0762,6.7368,0.3563,0.4730,0.5308,0.4784,0.4964,0.4650,0.5141,0.4901,0.4995,0.5378,0.4903,0.4594,0.4539,0.2810,0.5781,0.5710,0.4372,0.5390,0.5475,0.4772
slope-off,120,14547601546534989426,276,0,0.0781,7.7522,0.8230,0.5000,0.5648,0.5368,0.5243,0.5276,0.5596,0.5001,0.5217,0.5273,0.4924,0.5235,0.4517,0.2671,0.7975,0.3962,0.6127,0.3188,0.3153,0.5380
slope-off,128,16170893978844405630,287,0,0.0835,7.0417,0.6608,0.4951,0.5058,0.5440,0.4626,0.4688,0.5050,0.5021,0.5229,0.4935,0.5204,0.5116,0.4805,0.3576,0.8342,0.2200,0.3688,0.5244,0.5767,0.4928
slope-off,135,15588368105751061303,151,0,0.0798,3.9628,0.3328,0.4542,0.5414,0.4980,0.5180,0.4809,0.4871,0.5172,0.4619,0.5327,0.4958,0.5151,0.4586,0.1788,0.6800,0.5483,0.5515,0.5301,0.4094,0.4950
slope-off,147,15515933905100502436,40,0,0.2615,10.4033,0.3460,0.5107,0.4882,0.5454,0.5311,0.4410,0.4838,0.4894,0.5074,0.4901,0.4699,0.5014,0.4418,0.3045,0.8046,0.6198,0.6327,0.7725,0.3174,0.5047
slope-off,148,15598482353041540002,493,0,0.2738,9.9603,0.4195,0.5426,0.5065,0.4431,0.4585,0.5192,0.4961,0.4474,0.5218,0.4851,0.4960,0.5183,0.4898,0.4548,0.8679,0.2580,0.3646,0.8298,0.7261,0.4807
slope-off,150,1339052221219956538,300,0,0.5603,4.6241,0.4174,0.4706,0.4991,0.5200,0.5102,0.5020,0.4807,0.4844,0.4870,0.5180,0.4918,0.5069,0.4654,0.3409,0.6691,0.6390,0.8092,0.7377,0.8595,0.5080
slope-off,152,6724217308567144318,149,0,0.0703,3.9538,0.4746,0.5329,0.5235,0.4834,0.4892,0.4918,0.4931,0.4965,0.5316,0.5064,0.4700,0.4937,0.4894,0.2895,0.7033,0.5288,0.3069,0.5532,0.5470,0.5072
slope-off,153,16563324421664108925,500,0,0.4190,0.6688,0.1247,0.5174,0.5409,0.4861,0.4772,0.5448,0.4705,0.4621,0.5126,0.5115,0.4962,0.4833,0.4511,0.4146,0.8657,0.5518,0.6395,0.5600,0.5947,0.4784
slope-off,167,9466678144329281846,379,0,0.5581,4.4689,0.4042,0.4943,0.5012,0.4918,0.4793,0.5003,0.5090,0.5036,0.5083,0.4915,0.5068,0.5011,0.4966,0.3645,0.7132,0.3241,0.4906,0.5386,0.3940,0.5000
slope-off,176,15845917872347800002,20,0,0.0774,6.7189,0.4326,0.5713,0.4843,0.4897,0.5111,0.4557,0.5215,0.4644,0.5542,0.4736,0.4657,0.5050,0.4235,0.2073,0.8810,0.4926,0.5331,0.3780,0.5374,0.4994
slope-off,187,4216930094173697885,82,0,0.5592,3.2082,0.3031,0.4682,0.5086,0.5038,0.5134,0.5295,0.4988,0.5352,0.5113,0.4870,0.5159,0.5331,0.5122,0.2792,0.2945,0.6031,0.5049,0.8656,0.4506,0.4799
