schema=1
code_revision=9631800
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=false
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=true
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.7
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,42,11414202628141573695,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,52,13058207318091001267,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,53,1353691890149786687,38,0,0.0332,15.3253,0.2609,0.4453,0.5367,0.4517,0.4930,0.5249,0.6016,0.8266,0.6754,0.5622,0.4929,0.4855,0.4638,0.0458,0.0474,0.0420,0.0491,0.0456,0.0511,0.4902
slope-off,55,2947197799855147588,12,0,0.0656,9.4843,0.6548,0.4993,0.4544,0.4410,0.4980,0.5567,0.6736,0.7418,0.8176,0.8025,0.4222,0.5238,0.4946,0.0324,0.0420,0.0490,0.0411,0.0435,0.0447,0.4992
slope-off,58,5757711713901331537,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,69,9614228863594243314,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,74,9857854706873862880,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,80,3360689139874178444,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,98,11979888352602392613,46,0,0.0006,2.1051,0.3194,0.5107,0.4985,0.4581,0.4888,0.5457,0.5067,0.7028,0.5816,0.5907,0.4603,0.4817,0.4930,0.0560,0.0606,0.0441,0.0709,0.0504,0.0439,0.4902
slope-off,101,17337749225034803587,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
