schema=1
code_revision=0ef2e4e
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=false
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=true
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=4.5
ReproductionNeedFraction=0.7
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,42,2909685717329865141,71,0,0.6602,6.3846,0.8386,0.4831,0.4456,0.4365,0.4304,0.4116,0.5809,0.4144,0.7167,0.6810,0.5479,0.4870,0.5016,0.0378,0.0525,0.0415,0.0436,0.0571,0.0496,0.4433
slope-off,52,2359909516283991367,198,0,0.7873,10.2959,0.4692,0.4913,0.4820,0.4101,0.4049,0.5379,0.6234,0.7655,0.5053,0.8788,0.5088,0.5242,0.5024,0.0306,0.0708,0.0259,0.0561,0.0386,0.0426,0.4945
slope-off,53,14523176840226802166,140,0,0.7607,13.3304,0.4463,0.4729,0.4275,0.5471,0.4350,0.5053,0.6490,0.4642,0.7267,0.7618,0.4871,0.5396,0.4884,0.0720,0.0449,0.0495,0.0458,0.0441,0.0483,0.5246
slope-off,55,3621158789349304811,135,0,0.6951,8.1342,0.5698,0.5492,0.4413,0.4871,0.4981,0.4630,0.4840,0.5356,0.7924,0.8632,0.4882,0.5497,0.4660,0.0432,0.0443,0.0699,0.0450,0.0365,0.0487,0.5468
slope-off,58,18222906692230693961,247,0,0.7767,15.5127,0.4998,0.4917,0.4671,0.4741,0.2899,0.5020,0.5706,0.6618,0.6943,0.8576,0.4660,0.5091,0.5009,0.0445,0.0545,0.0482,0.0302,0.0369,0.0473,0.4963
slope-off,69,1288979468901495480,129,0,0.7596,1.0156,0.3028,0.4395,0.4797,0.4759,0.4750,0.6016,0.5019,0.6409,0.5207,0.7591,0.4649,0.4766,0.4859,0.0344,0.0409,0.0342,0.0474,0.0365,0.0332,0.4962
slope-off,74,8202506402864244102,366,0,0.7318,5.2133,0.4564,0.5133,0.5116,0.4713,0.4909,0.5331,0.5575,0.5961,0.7771,0.8389,0.4967,0.5198,0.4684,0.0367,0.0387,0.0660,0.0426,0.0469,0.0422,0.5217
slope-off,80,6026417901627131825,143,0,0.7569,9.8179,0.8492,0.5111,0.4862,0.4994,0.4720,0.4683,0.4776,0.7599,0.6864,0.6659,0.5109,0.5090,0.5310,0.0302,0.0488,0.0536,0.0678,0.0254,0.0368,0.5415
slope-off,98,10480910708822758682,117,0,0.7746,2.1263,0.2912,0.5149,0.4286,0.5814,0.4976,0.5293,0.4973,0.4017,0.6629,0.5822,0.4660,0.5389,0.5211,0.0546,0.0469,0.0436,0.0563,0.0497,0.0538,0.5051
slope-off,101,6662113979137526220,412,0,0.7459,1.0964,0.1572,0.5842,0.5322,0.4500,0.5857,0.4042,0.6890,0.6373,0.7867,0.7669,0.5153,0.5212,0.5130,0.0527,0.0517,0.0482,0.0419,0.0527,0.0351,0.5058
