schema=1
code_revision=0ef2e4e
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=false
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=true
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=6
ReproductionNeedFraction=0.7
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,42,2972825928716614842,11,0,0.7589,4.2447,1.3394,0.2663,0.6755,0.5444,0.4747,0.7664,0.5400,0.5104,0.9217,0.7007,0.5111,0.4566,0.4410,0.1127,0.1213,0.0487,0.0350,0.0413,0.0247,0.4820
slope-off,52,17854768098715153684,70,0,0.8010,11.7396,0.5280,0.4423,0.4918,0.4849,0.4471,0.5013,0.5946,0.6559,0.4375,0.8238,0.4709,0.5178,0.4750,0.0464,0.0647,0.0363,0.0485,0.0240,0.0510,0.4843
slope-off,53,15065855006359799975,73,0,0.6144,13.4517,0.4914,0.4623,0.5138,0.4664,0.5969,0.4671,0.6164,0.4377,0.8695,0.7344,0.4790,0.5409,0.4805,0.0453,0.0382,0.0433,0.0481,0.0506,0.0512,0.5054
slope-off,55,12800351760424615810,54,0,0.7548,5.3496,0.4993,0.5390,0.4854,0.4625,0.4742,0.5010,0.5175,0.2854,0.7971,0.7847,0.4477,0.5187,0.5215,0.0475,0.0421,0.0737,0.0587,0.0630,0.0659,0.5610
slope-off,58,13801153551181405801,131,0,0.7788,15.3112,0.5470,0.4902,0.4758,0.4805,0.3700,0.4613,0.5128,0.7384,0.7342,0.8241,0.4910,0.5361,0.4932,0.0457,0.0401,0.0385,0.0373,0.0407,0.0390,0.5211
slope-off,69,8611307643241635023,42,0,0.6984,1.0658,0.2973,0.4948,0.4395,0.5895,0.4961,0.6539,0.5174,0.2720,0.3694,0.7504,0.5075,0.5010,0.4890,0.0244,0.0232,0.0351,0.0522,0.0317,0.0338,0.4499
slope-off,74,15868213156172726189,136,0,0.7195,4.7857,0.3674,0.5712,0.4359,0.4890,0.4621,0.4921,0.5614,0.6253,0.8551,0.8803,0.4756,0.5380,0.4414,0.0313,0.0500,0.0535,0.0566,0.0323,0.0330,0.5103
slope-off,80,11161353860029752125,37,0,0.7359,11.4897,0.8119,0.6563,0.4690,0.5665,0.3178,0.4731,0.5092,0.3703,0.6498,0.4813,0.5653,0.5220,0.5119,0.0212,0.0312,0.0269,0.0736,0.0335,0.0459,0.5247
slope-off,98,13773127078823905884,36,0,0.8048,1.9941,0.2606,0.4482,0.4557,0.5999,0.5145,0.6250,0.4053,0.5472,0.5090,0.6828,0.4787,0.5547,0.4853,0.0654,0.0261,0.0285,0.1555,0.0516,0.0164,0.4674
slope-off,101,6703511930957407547,135,0,0.7514,1.3607,0.1712,0.5738,0.5515,0.4892,0.6390,0.4717,0.7252,0.5396,0.7890,0.8592,0.4784,0.5174,0.5337,0.0588,0.0530,0.0518,0.0358,0.0453,0.0382,0.5181
slope-off,107,7095639058032892076,47,0,0.6669,13.4453,0.6920,0.5275,0.5007,0.4442,0.3917,0.5187,0.5470,0.4243,0.7528,0.7179,0.4592,0.5734,0.4808,0.0690,0.0312,0.0569,0.0307,0.0641,0.0732,0.5030
slope-off,114,17032041030968752022,38,0,0.7796,21.1225,0.4791,0.5948,0.3329,0.5016,0.4067,0.4909,0.4881,0.6587,0.7288,0.4837,0.4702,0.5169,0.4891,0.0577,0.0367,0.0414,0.0333,0.0274,0.0369,0.4262
slope-off,118,4536066122057598897,82,0,0.7807,7.9708,0.2650,0.5007,0.5459,0.6706,0.3901,0.5040,0.5401,0.6185,0.6207,0.7784,0.4883,0.4491,0.4851,0.0305,0.0429,0.0579,0.0412,0.0487,0.0458,0.4742
slope-off,120,11469162889698529336,43,0,0.5288,0.0000,0.0000,0.5045,0.4696,0.5301,0.5560,0.4825,0.5758,0.2328,0.6157,0.5638,0.4388,0.4790,0.4668,0.0458,0.0288,0.0573,0.0491,0.0294,0.0433,0.5885
slope-off,128,14535430610235862764,94,0,0.7184,15.4239,1.0403,0.4783,0.4715,0.5119,0.5072,0.3786,0.6108,0.4333,0.7814,0.8653,0.5061,0.5022,0.5489,0.0333,0.0363,0.0358,0.0378,0.0582,0.0437,0.4608
slope-off,135,7311395643497340347,42,0,0.7566,4.4210,0.3030,0.3843,0.5533,0.5678,0.5298,0.3832,0.4383,0.5326,0.5523,0.7211,0.5249,0.4794,0.5052,0.0335,0.0402,0.0345,0.0154,0.0466,0.0567,0.5027
slope-off,147,12588512985879228630,21,0,0.7231,11.3072,0.2924,0.5173,0.4398,0.4649,0.4856,0.3972,0.3018,0.3767,0.8409,0.6127,0.4902,0.5492,0.4677,0.0496,0.0397,0.0247,0.0886,0.0503,0.0537,0.5084
slope-off,148,17592236279951478198,81,0,0.7752,10.8492,0.3493,0.5481,0.5580,0.4843,0.4494,0.4259,0.5058,0.6426,0.6835,0.7514,0.4745,0.5123,0.5252,0.0486,0.0484,0.0387,0.0493,0.0435,0.0588,0.5038
slope-off,150,1259416688279295615,35,0,0.7911,4.5368,0.5171,0.4648,0.6673,0.5681,0.4294,0.4963,0.4808,0.4975,0.6638,0.7088,0.4512,0.4826,0.4642,0.0329,0.0442,0.0314,0.0833,0.0212,0.0634,0.5137
slope-off,152,10838479715908865852,32,0,0.6900,0.0000,0.0000,0.5849,0.5155,0.4069,0.4170,0.5685,0.4380,0.2503,0.8542,0.6739,0.4926,0.5443,0.5141,0.0512,0.0226,0.0780,0.0429,0.0277,0.0456,0.5251
slope-off,153,13556276652531540133,148,0,0.7722,0.0489,0.0193,0.5493,0.5358,0.4390,0.5855,0.5964,0.5252,0.5855,0.8232,0.8235,0.4870,0.4721,0.4912,0.0599,0.0479,0.0537,0.0480,0.0439,0.0578,0.4903
slope-off,167,1543387908957948224,42,0,0.7774,3.8493,0.2735,0.3820,0.4606,0.4509,0.4876,0.4938,0.5801,0.6846,0.7037,0.8341,0.4747,0.5245,0.5033,0.0387,0.0615,0.0403,0.0471,0.0369,0.0889,0.5009
slope-off,176,10040804792062828218,147,0,0.7020,10.0087,0.2714,0.5428,0.5769,0.4306,0.5491,0.4508,0.5169,0.6566,0.8456,0.8155,0.4783,0.4786,0.4751,0.0483,0.0384,0.0287,0.0397,0.0509,0.0261,0.5059
slope-off,187,16932746201357636842,9,0,0.8332,0.5408,0.1237,0.2700,0.5270,0.5052,0.5617,0.4446,0.2820,0.7304,0.7781,0.3912,0.4564,0.5649,0.5332,0.0180,0.1453,0.0272,0.0244,0.0481,0.0576,0.5676
slope-off,193,3676985412578678529,88,0,0.7121,10.5391,0.7225,0.6859,0.5471,0.6203,0.4804,0.4655,0.4627,0.6301,0.7129,0.8034,0.4639,0.4817,0.5051,0.0377,0.0274,0.0459,0.0535,0.0631,0.0252,0.5100
slope-off,221,9639483848294706482,24,0,0.7420,1.6603,0.2063,0.4640,0.5168,0.5374,0.6689,0.4771,0.5526,0.3408,0.3012,0.8492,0.5410,0.4828,0.5248,0.0293,0.0158,0.0374,0.0238,0.0506,0.0233,0.4990
slope-off,228,17736746430732601733,93,0,0.7591,23.0545,0.5903,0.4675,0.4560,0.4968,0.4534,0.5051,0.4769,0.5524,0.6825,0.6785,0.5076,0.5217,0.5461,0.0386,0.0731,0.0457,0.0532,0.0540,0.0452,0.5209
slope-off,229,9018415896279971877,72,0,0.7661,18.0428,0.5461,0.5738,0.3838,0.4924,0.5108,0.3489,0.5388,0.6906,0.6001,0.8486,0.5423,0.5143,0.4835,0.0307,0.0394,0.0509,0.0534,0.0731,0.0399,0.4667
slope-off,238,4491679624459018820,29,0,0.5602,0.7132,0.1019,0.4869,0.4467,0.5129,0.6503,0.4730,0.6148,0.3252,0.4946,0.8679,0.5320,0.5362,0.4532,0.0226,0.0330,0.0517,0.0611,0.0296,0.0309,0.5351
slope-off,243,15139878530272887748,52,0,0.7529,15.7079,0.6444,0.4747,0.5045,0.4837,0.4529,0.5919,0.4381,0.3890,0.8017,0.5776,0.5014,0.4673,0.4968,0.0389,0.0262,0.0364,0.0337,0.0616,0.0354,0.5211
slope-on,42,6640410551936579526,33,0,0.7913,5.5943,0.9016,0.6006,0.4981,0.3931,0.2737,0.4398,0.5435,0.7748,0.5592,0.9191,0.4905,0.4885,0.4253,0.0284,0.0382,0.0633,0.0856,0.0459,0.0240,0.5086
slope-on,52,6109555399748543552,103,0,0.7898,5.5439,0.4140,0.6064,0.4981,0.5126,0.3967,0.4753,0.5113,0.8437,0.3876,0.8610,0.4798,0.4830,0.5031,0.0403,0.0796,0.0336,0.0298,0.0299,0.0476,0.5120
slope-on,53,8898554100656487575,58,0,0.6538,11.9081,0.5228,0.3866,0.3112,0.3737,0.4680,0.4844,0.5485,0.3990,0.7777,0.7450,0.5077,0.4943,0.4875,0.0401,0.0381,0.0343,0.0615,0.0449,0.0557,0.5450
slope-on,55,5370049585028398966,25,0,0.7153,6.1038,0.5964,0.5920,0.4359,0.4603,0.5203,0.4176,0.5865,0.2755,0.6872,0.8652,0.4805,0.5042,0.5078,0.0493,0.0368,0.0688,0.0665,0.0408,0.0351,0.5364
slope-on,58,2851874439107775512,116,0,0.7613,15.1090,0.5157,0.5491,0.4286,0.4333,0.4619,0.5188,0.5269,0.6530,0.8115,0.7637,0.4993,0.4837,0.5220,0.0607,0.0405,0.0412,0.0366,0.0498,0.0390,0.4978
slope-on,69,13240167933366512703,58,0,0.6324,1.9548,0.4462,0.4723,0.4790,0.5271,0.4817,0.6216,0.4281,0.3846,0.6384,0.7848,0.4751,0.4519,0.4898,0.0384,0.0233,0.0248,0.0454,0.0398,0.0524,0.4873
