schema=1
code_revision=9631800
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=false
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,42,2249945369697714249,152,0,0.5614,5.7356,0.6697,0.4761,0.4982,0.5231,0.4651,0.4969,0.5360,0.4736,0.5321,0.5136,0.4820,0.5096,0.4451,0.6666,0.6420,0.3252,0.4624,0.7093,0.4719,0.4977
slope-off,52,4949946172840170816,336,0,0.5596,6.2311,0.4889,0.4964,0.5228,0.4304,0.4896,0.5232,0.4774,0.4943,0.4854,0.5329,0.4810,0.4911,0.4645,0.3960,0.7888,0.3938,0.6266,0.7004,0.5924,0.5273
slope-off,53,15554565942263445581,292,0,0.6067,12.6546,0.3937,0.4950,0.4938,0.5043,0.4925,0.4557,0.5429,0.4884,0.5296,0.4725,0.4973,0.5057,0.4501,0.3514,0.6957,0.5196,0.3988,0.6052,0.6301,0.5260
slope-off,55,2726501144693432292,401,0,0.5796,9.9528,0.5937,0.5384,0.5253,0.4897,0.5134,0.5172,0.5174,0.4742,0.5656,0.4911,0.4631,0.5354,0.5001,0.3496,0.6391,0.7143,0.2583,0.6005,0.7364,0.5229
slope-off,58,6965546127313961319,155,0,0.1104,15.7374,0.4536,0.4779,0.5581,0.5003,0.4947,0.5424,0.5175,0.4828,0.4852,0.5293,0.4895,0.5205,0.4477,0.2350,0.6563,0.2902,0.7489,0.4945,0.5753,0.5291
slope-off,69,16836288059419737392,432,0,0.4311,3.1818,0.4197,0.5690,0.5099,0.5113,0.5504,0.5226,0.4815,0.4129,0.5015,0.5165,0.4864,0.4582,0.4530,0.4935,0.9106,0.1241,0.5558,0.2489,0.7586,0.4754
slope-off,74,12089572512814646285,51,0,0.1222,5.6817,0.6477,0.5024,0.5067,0.4761,0.5021,0.5151,0.5184,0.4953,0.4602,0.5370,0.5086,0.5432,0.4107,0.3716,0.9346,0.5793,0.4588,0.8121,0.3750,0.5145
slope-off,80,18155900075210219603,294,0,0.5333,14.9667,0.7426,0.5034,0.5146,0.5342,0.4935,0.5199,0.4659,0.4838,0.4995,0.5247,0.5047,0.4874,0.5099,0.4473,0.9016,0.4371,0.8934,0.7340,0.5206,0.5141
slope-off,98,10974309075482722335,467,0,0.5389,4.1448,0.3544,0.5354,0.4909,0.4713,0.4883,0.5061,0.4762,0.4748,0.4987,0.5207,0.4733,0.4948,0.4966,0.5290,0.8301,0.3476,0.2997,0.5709,0.6962,0.4966
slope-off,101,12619305244346513002,491,0,0.1396,1.7342,0.2674,0.5119,0.5431,0.5039,0.5270,0.4737,0.4831,0.4865,0.5035,0.5536,0.4927,0.5017,0.5101,0.3594,0.8270,0.0866,0.7049,0.3300,0.1660,0.4903
