schema=1
code_revision=9631800
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=false
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=true
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,42,10873583642243687907,226,0,0.5646,5.9119,0.6523,0.5028,0.4934,0.5022,0.4919,0.4954,0.5085,0.4822,0.5051,0.5030,0.5365,0.5388,0.4925,0.4483,0.7755,0.4384,0.5567,0.7851,0.4511,0.4753
slope-off,52,3920567163166989361,392,0,0.5870,7.2322,0.4748,0.4821,0.5159,0.4920,0.4928,0.5220,0.4898,0.4927,0.5128,0.5352,0.5032,0.4582,0.4547,0.3890,0.7566,0.4968,0.5568,0.6138,0.5767,0.5315
slope-off,53,16377927982904894060,223,0,0.5485,13.2124,0.3849,0.5240,0.5260,0.5456,0.5335,0.4896,0.5751,0.4592,0.5251,0.5378,0.5052,0.5057,0.4370,0.4490,0.8000,0.4592,0.4273,0.4897,0.3382,0.5296
slope-off,55,7614273365180493180,150,0,0.5234,9.6235,0.5912,0.4997,0.5168,0.5108,0.5078,0.4867,0.5064,0.5030,0.5566,0.5304,0.4651,0.4407,0.4866,0.5311,0.7089,0.7084,0.2034,0.7587,0.7221,0.4973
slope-off,58,17386987555057498008,281,0,0.5934,14.0776,0.5597,0.4614,0.5369,0.5151,0.4533,0.4772,0.5309,0.4632,0.4865,0.5234,0.4387,0.4933,0.4602,0.2658,0.5011,0.7586,0.7870,0.7429,0.6179,0.4931
slope-off,69,17322467908086164992,70,0,0.0614,2.7831,0.3416,0.5559,0.4978,0.5076,0.5121,0.4884,0.5187,0.5118,0.5000,0.5149,0.4951,0.4733,0.4425,0.4817,0.8510,0.1887,0.4758,0.4396,0.6667,0.5070
slope-off,74,4254614766833887095,500,0,0.5080,4.0615,0.3040,0.5122,0.5303,0.4895,0.5175,0.5029,0.5322,0.4634,0.4968,0.5274,0.5147,0.5171,0.4073,0.4283,0.8614,0.6457,0.4117,0.8311,0.4982,0.4834
slope-off,80,6197002176856938786,467,0,0.5718,12.0630,0.7701,0.4810,0.4958,0.5030,0.5006,0.5255,0.4941,0.4941,0.4979,0.4844,0.4885,0.5158,0.5095,0.3970,0.8712,0.3390,0.8665,0.8314,0.4567,0.5206
slope-off,98,4011410646865349906,452,0,0.2456,3.7753,0.2857,0.5086,0.5068,0.4830,0.4735,0.5219,0.4965,0.4813,0.5145,0.5018,0.4946,0.5299,0.4972,0.3664,0.8196,0.3810,0.2529,0.6712,0.7148,0.4870
slope-off,101,10279154552138596624,452,0,0.6011,1.2580,0.1966,0.5323,0.5290,0.5207,0.5440,0.4860,0.4945,0.4801,0.4988,0.5492,0.4706,0.4957,0.4637,0.3918,0.8056,0.1848,0.7490,0.4329,0.5565,0.4787
slope-off,107,1875390162261628714,204,0,0.1461,16.4189,0.7321,0.4969,0.4677,0.5087,0.4947,0.4730,0.5601,0.5211,0.5238,0.4734,0.4777,0.4860,0.4496,0.2306,0.6631,0.5807,0.3005,0.8052,0.3990,0.5139
slope-off,114,5754706738114227556,25,0,0.2876,22.0570,0.3481,0.5103,0.5388,0.4885,0.4904,0.5276,0.4558,0.5060,0.5268,0.4923,0.4552,0.5036,0.4242,0.4512,0.8311,0.7340,0.6748,0.7254,0.5710,0.5448
slope-off,118,17189072084652227460,30,0,0.1694,7.5144,0.3143,0.4779,0.5160,0.4493,0.4894,0.4847,0.5206,0.4982,0.5227,0.5000,0.4639,0.4492,0.4289,0.5042,0.6248,0.5252,0.5634,0.4566,0.5613,0.4929
slope-off,120,5399267310849027360,500,0,0.3885,6.3499,0.6083,0.4950,0.5336,0.5341,0.5251,0.5271,0.5360,0.4832,0.5108,0.5147,0.4808,0.5200,0.4875,0.3461,0.7425,0.4556,0.5729,0.3506,0.3603,0.5203
slope-off,128,8975943621141411946,497,0,0.4499,11.1353,0.8985,0.5040,0.5069,0.5225,0.4467,0.5004,0.4863,0.5013,0.5066,0.5289,0.5052,0.5263,0.4837,0.3771,0.8044,0.1336,0.4772,0.4192,0.4759,0.4886
slope-off,135,12383954333141222244,94,0,0.1458,4.4982,0.2811,0.4824,0.5520,0.5079,0.4798,0.4648,0.5189,0.4907,0.4874,0.5063,0.5327,0.5009,0.4717,0.3178,0.8713,0.4950,0.6733,0.4683,0.4480,0.4887
slope-off,147,14921436588022545359,53,0,0.2652,11.2867,0.3205,0.4830,0.5185,0.5109,0.5366,0.4750,0.4832,0.5017,0.5021,0.5067,0.4688,0.5045,0.4545,0.3562,0.8306,0.6439,0.6774,0.8141,0.4107,0.5283
slope-off,148,16333792940849035000,254,0,0.6233,10.3112,0.3936,0.5175,0.5432,0.5225,0.3916,0.5247,0.5092,0.4775,0.5137,0.4785,0.5106,0.5140,0.4678,0.5020,0.8139,0.1784,0.2375,0.6567,0.8112,0.4994
slope-off,150,4047159915403062765,135,0,0.5634,4.6460,0.3732,0.4712,0.5181,0.5392,0.4905,0.5021,0.5138,0.4909,0.4742,0.5134,0.4914,0.4853,0.4465,0.4302,0.6249,0.6050,0.8915,0.8207,0.8196,0.5166
slope-off,152,16460892224020240939,127,0,0.0834,3.4767,0.4089,0.5343,0.5367,0.5000,0.4986,0.4841,0.5062,0.5090,0.5221,0.4919,0.4737,0.4812,0.4784,0.3185,0.7329,0.5286,0.3122,0.5488,0.6039,0.5080
slope-off,153,6389641226675736998,499,0,0.5042,0.4908,0.1062,0.4623,0.5502,0.4774,0.4904,0.5169,0.4816,0.4534,0.5112,0.5175,0.5065,0.4953,0.4583,0.3455,0.8000,0.6200,0.5420,0.5894,0.3606,0.4785
slope-off,167,9963440010820504816,279,0,0.5842,4.8171,0.4677,0.4947,0.4854,0.5187,0.4958,0.4744,0.4878,0.5120,0.5044,0.5075,0.4993,0.5221,0.4665,0.3325,0.6959,0.5051,0.5659,0.5535,0.5230,0.4887
slope-off,176,7026695170806827614,187,0,0.1163,8.7318,0.3504,0.5200,0.4945,0.5072,0.4849,0.4869,0.4799,0.4611,0.5341,0.4843,0.4489,0.5199,0.4528,0.2875,0.7920,0.4263,0.4381,0.5299,0.3579,0.4962
slope-off,187,987763613689239398,100,0,0.4917,3.2163,0.3114,0.4725,0.4769,0.4783,0.5479,0.5180,0.4842,0.5150,0.5314,0.4694,0.5172,0.5396,0.5135,0.3714,0.2714,0.5767,0.4791,0.8240,0.4880,0.4715
slope-off,193,14022704556962864310,428,0,0.1716,10.1875,0.5316,0.4826,0.5563,0.5332,0.4863,0.5092,0.5054,0.5213,0.4774,0.5200,0.4293,0.5081,0.4825,0.2716,0.5952,0.5474,0.6193,0.6673,0.5550,0.5325
slope-off,221,17345853072257253212,126,0,0.2411,6.1859,0.5203,0.4930,0.5269,0.4524,0.4620,0.5016,0.5169,0.5309,0.4926,0.4962,0.4940,0.4746,0.4450,0.2842,0.7256,0.5326,0.5918,0.8209,0.5280,0.5170
slope-off,228,6481441370892491326,2,0,0.1816,23.3606,0.4179,0.5632,0.5130,0.4450,0.4360,0.5393,0.4953,0.5537,0.5594,0.4806,0.5335,0.4831,0.4138,0.4739,0.9537,0.7427,0.4291,0.9016,0.5930,0.6222
slope-off,229,18357792852648656907,262,0,0.5861,16.7262,0.4165,0.5685,0.4806,0.4535,0.5170,0.4581,0.5075,0.4515,0.5141,0.5154,0.5148,0.5231,0.4317,0.2978,0.6924,0.5928,0.3478,0.8031,0.4515,0.5185
slope-off,238,17077263868828161809,36,0,0.5233,2.9088,0.2672,0.4899,0.4003,0.4851,0.5348,0.4501,0.4879,0.5677,0.5031,0.4130,0.5227,0.4885,0.5609,0.5066,0.9585,0.8159,0.6387,0.0919,0.3740,0.5567
slope-off,243,419784405399400228,442,0,0.6140,18.9223,0.6020,0.4485,0.5190,0.4981,0.5046,0.4797,0.4665,0.4911,0.4870,0.4864,0.5211,0.4593,0.4834,0.3926,0.7921,0.1257,0.4934,0.5268,0.7653,0.5172
slope-on,42,14830847919310479445,357,0,0.4695,6.8786,0.7053,0.5107,0.4955,0.4832,0.4802,0.5003,0.5568,0.4908,0.5078,0.4966,0.5057,0.4863,0.4729,0.4885,0.7104,0.5156,0.3948,0.7156,0.4811,0.4630
slope-on,52,5766203375840964711,411,0,0.5026,6.4794,0.4384,0.4870,0.5388,0.5053,0.4998,0.5299,0.5008,0.4818,0.5063,0.5266,0.5339,0.4766,0.4745,0.4412,0.8286,0.3687,0.6816,0.5182,0.2862,0.4894
slope-on,53,2953043105516746042,168,0,0.5494,12.8153,0.4198,0.5119,0.5567,0.5073,0.4875,0.5469,0.5513,0.4774,0.4743,0.4905,0.4979,0.5167,0.4632,0.5059,0.7296,0.4119,0.3475,0.5474,0.6902,0.5257
slope-on,55,4128511694264811178,324,0,0.5426,9.0830,0.6206,0.4975,0.4999,0.4809,0.5198,0.4920,0.5020,0.4942,0.5205,0.5291,0.4740,0.4996,0.4870,0.3857,0.5746,0.5963,0.3902,0.6210,0.5256,0.5376
slope-on,58,8714032472254280410,175,0,0.6228,14.5967,0.5306,0.5317,0.5335,0.4839,0.4505,0.5107,0.5105,0.4704,0.5280,0.4980,0.4978,0.4385,0.4531,0.2986,0.5099,0.2287,0.0500,0.5337,0.7185,0.4797
slope-on,69,15810795374078340729,2,0,0.2614,3.8753,0.4193,0.6593,0.5232,0.4676,0.4592,0.5195,0.3883,0.5390,0.5645,0.5359,0.5412,0.4369,0.4312,0.8436,0.9044,0.5132,0.5202,0.8437,0.8768,0.4314
