schema=1
code_revision=9a7284d
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,42,8397623377683409278,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,52,1120433085887737838,50,0,0.5872,6.3048,0.4552,0.4219,0.5152,0.4681,0.4542,0.5759,0.5308,0.5001,0.5257,0.5660,0.4719,0.5179,0.5316,0.2778,0.8515,0.9000,0.5075,0.0636,0.0597,0.4917
slope-off,53,4024086737697696786,181,0,0.6103,14.4583,0.4193,0.5279,0.5035,0.4711,0.5553,0.4625,0.4983,0.4539,0.5334,0.5007,0.5264,0.5446,0.4316,0.2162,0.7336,0.5771,0.4077,0.9182,0.1855,0.5293
slope-off,55,6350247090122957292,15,0,0.6262,8.0632,0.5232,0.4326,0.5422,0.4886,0.5343,0.4520,0.5096,0.5532,0.5471,0.4867,0.4479,0.5408,0.4301,0.8126,0.5428,0.8388,0.0953,0.7617,0.6609,0.5157
slope-off,58,5873700699820419411,417,0,0.5174,14.9332,0.5402,0.4935,0.5410,0.5185,0.5125,0.5250,0.5043,0.4910,0.4420,0.4974,0.4884,0.5004,0.4672,0.2638,0.5914,0.1658,0.1251,0.7202,0.7778,0.4768
slope-off,69,11256392831283203269,31,0,0.5697,2.5787,0.3533,0.6219,0.4967,0.5259,0.5200,0.5393,0.4836,0.4664,0.5252,0.5520,0.4475,0.4513,0.4799,0.7674,0.8138,0.4235,0.4741,0.6578,0.8571,0.5224
slope-off,74,11105648862536550038,372,0,0.2943,3.5316,0.2241,0.5292,0.4980,0.4661,0.4653,0.4659,0.5059,0.4461,0.5097,0.5327,0.5297,0.5850,0.4077,0.2251,0.8046,0.5255,0.3370,0.7348,0.7190,0.5137
slope-off,80,17840901034333398828,66,0,0.5273,12.6988,0.7315,0.5399,0.4408,0.5245,0.5342,0.5267,0.4934,0.4913,0.4942,0.5582,0.4481,0.4794,0.5339,0.5002,0.9072,0.4166,0.8281,0.8886,0.8152,0.5229
slope-off,98,8406403882302562733,61,0,0.5781,3.3734,0.3162,0.5408,0.5016,0.5831,0.4283,0.5364,0.4738,0.5034,0.5190,0.5474,0.4968,0.5289,0.5020,0.3392,0.9386,0.8610,0.5459,0.9434,0.2701,0.4973
slope-off,101,858244454410861372,27,0,0.6346,1.7781,0.2621,0.5436,0.4750,0.5071,0.5387,0.4778,0.5008,0.4980,0.5144,0.5416,0.4171,0.4582,0.5158,0.9263,0.8967,0.1915,0.5564,0.2341,0.3415,0.4801
