schema=1
code_revision=d99b854
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,neutral_marker
slope-off,42,8397623377683409278,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,52,4241586628066831388,33,0,0.6502,4.4581,0.4524,0.4364,0.4936,0.4445,0.4248,0.5395,0.5226,0.5153,0.5188,0.6094,0.4507,0.4748,0.4735,0.3046,0.8045,0.9153,0.5074,0.4881
slope-off,53,17631633281814797328,149,0,0.6163,14.5797,0.4107,0.5218,0.4799,0.4868,0.5384,0.4834,0.4925,0.4296,0.4785,0.5260,0.4929,0.4892,0.4281,0.1827,0.7415,0.5862,0.4053,0.5361
slope-off,55,12457596948242292118,30,0,0.5363,9.1891,0.6393,0.4900,0.4996,0.5325,0.4953,0.4375,0.4499,0.5215,0.5958,0.5661,0.5129,0.4400,0.4724,0.7225,0.6797,0.4399,0.3510,0.5263
slope-off,58,11503854261511531259,303,0,0.7483,12.5023,0.6519,0.4905,0.5518,0.4938,0.5216,0.5456,0.5000,0.4579,0.4745,0.5151,0.4775,0.5318,0.4672,0.2383,0.5746,0.1553,0.2783,0.5167
slope-off,69,12727410932620676781,25,0,0.6969,3.8399,0.5007,0.5748,0.5267,0.4803,0.4330,0.5943,0.4537,0.5415,0.4708,0.5368,0.3443,0.3926,0.4790,0.7829,0.7823,0.9004,0.6738,0.4479
slope-off,74,3136404700096011385,273,0,0.5659,1.2088,0.2326,0.5141,0.4696,0.4169,0.5676,0.4826,0.5202,0.5023,0.4944,0.5219,0.5139,0.5247,0.3656,0.2560,0.9265,0.4761,0.3580,0.4996
slope-off,80,3343661495233334135,91,0,0.6391,13.2788,0.8248,0.4925,0.4859,0.5322,0.5023,0.5440,0.4952,0.5005,0.4806,0.5234,0.4985,0.4904,0.4709,0.3314,0.8503,0.4147,0.4649,0.5001
slope-off,98,17729772741011606599,74,0,0.5975,4.0682,0.4004,0.4954,0.5094,0.5909,0.4797,0.5537,0.4927,0.4917,0.5177,0.5008,0.4751,0.4983,0.4953,0.3508,0.9272,0.7270,0.4897,0.4817
slope-off,101,1078565643140226858,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,107,12843429921631580825,419,0,0.4615,15.5278,0.6573,0.4551,0.5103,0.5366,0.5122,0.4933,0.5679,0.5190,0.4926,0.4631,0.4591,0.5225,0.4612,0.1094,0.5203,0.3076,0.1526,0.5300
slope-off,114,11038309574907332615,49,0,0.6453,23.6731,0.3949,0.4930,0.4935,0.4609,0.4802,0.5254,0.4847,0.5101,0.5048,0.5673,0.4408,0.5167,0.4867,0.4698,0.7399,0.3752,0.6124,0.5014
slope-off,118,1836500527963680982,462,0,0.5608,7.2272,0.3062,0.4640,0.5240,0.4722,0.4786,0.4727,0.5088,0.4849,0.5237,0.5303,0.4872,0.4464,0.4844,0.1455,0.5639,0.6757,0.3733,0.4983
slope-off,120,4295994854978688948,429,0,0.6459,4.1570,0.6394,0.5022,0.5286,0.5537,0.5158,0.5007,0.5648,0.5388,0.5185,0.5546,0.4643,0.4828,0.4572,0.1751,0.8343,0.4036,0.4497,0.5186
slope-off,128,18398470686391533300,345,0,0.6856,13.4184,0.7189,0.4819,0.5273,0.5476,0.4419,0.4679,0.5006,0.4990,0.5091,0.5201,0.4980,0.5210,0.4728,0.2572,0.7530,0.3215,0.3930,0.4724
slope-off,135,1180815808466478183,95,0,0.6792,1.2606,0.2169,0.5475,0.4340,0.5145,0.4809,0.4471,0.4502,0.5564,0.4342,0.5595,0.5859,0.4425,0.4026,0.0632,0.7152,0.9718,0.5693,0.5059
slope-off,147,14107469414650016434,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,148,6020457993266553453,43,0,0.6333,12.1478,0.3091,0.5400,0.5383,0.4421,0.4591,0.5524,0.5046,0.4728,0.5116,0.4644,0.4914,0.5089,0.4961,0.3322,0.7336,0.5236,0.3382,0.4550
slope-off,150,16198952143273860294,32,0,0.6176,4.5363,0.3845,0.4240,0.5948,0.5296,0.5266,0.4881,0.5256,0.5173,0.5014,0.5039,0.5421,0.5035,0.5400,0.3541,0.6433,0.6854,0.9716,0.5035
slope-off,152,11659695025511435470,486,0,0.5015,2.6322,0.4588,0.5440,0.5044,0.4838,0.4759,0.5022,0.5234,0.5361,0.5342,0.5149,0.4909,0.5231,0.4832,0.1800,0.7750,0.4436,0.4404,0.5045
slope-off,153,2160274911752393980,39,0,0.6761,0.6537,0.1353,0.5673,0.5721,0.4762,0.4926,0.4866,0.5268,0.5632,0.4609,0.4916,0.4937,0.5031,0.4653,0.6988,0.9167,0.2472,0.4595,0.5176
slope-off,167,11382025886579788250,45,0,0.5216,4.4660,0.3840,0.5188,0.4885,0.4960,0.4811,0.4754,0.4748,0.5103,0.4888,0.5097,0.5166,0.5273,0.4734,0.4549,0.7572,0.5588,0.4920,0.4991
slope-off,176,175938712341293779,120,0,0.0682,7.4213,0.3584,0.5208,0.4794,0.4480,0.5163,0.5068,0.4707,0.5110,0.5052,0.5072,0.4351,0.4874,0.5269,0.1176,0.8119,0.4488,0.3584,0.4985
slope-off,187,12799052964562982967,11,0,0.7460,1.5802,0.3100,0.5377,0.5106,0.4564,0.4708,0.5552,0.4627,0.5031,0.4819,0.4008,0.4954,0.4575,0.5538,0.3549,0.8605,0.4847,0.7549,0.4366
slope-off,193,1390292448814588605,298,0,0.1833,11.6882,0.4973,0.4899,0.5387,0.5275,0.4592,0.5225,0.5067,0.5291,0.4816,0.5173,0.4423,0.4998,0.4791,0.1582,0.7248,0.5793,0.5514,0.5311
slope-off,221,13378673819583958398,326,0,0.1664,3.7690,0.4430,0.5430,0.4919,0.4583,0.4940,0.4982,0.5048,0.5152,0.5178,0.5172,0.5383,0.4817,0.4487,0.2345,0.5768,0.1195,0.5466,0.5314
slope-off,228,15511202397621249095,242,0,0.2093,20.4387,0.4247,0.4938,0.4982,0.5165,0.4886,0.4783,0.5226,0.5617,0.4779,0.4916,0.4599,0.5057,0.5131,0.2266,0.7259,0.2860,0.5083,0.4936
slope-off,229,6495302931208921320,86,0,0.6852,18.0666,0.4422,0.5135,0.4617,0.4684,0.5081,0.4100,0.4788,0.4880,0.4499,0.4967,0.5263,0.5209,0.4209,0.5137,0.9617,0.1845,0.5092,0.5110
slope-off,238,6774615553635095383,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,243,16431183711978069152,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,42,4180544706438738031,224,0,0.6795,5.6596,0.5921,0.4921,0.5025,0.4768,0.4812,0.4908,0.5392,0.5236,0.4988,0.5579,0.5163,0.5519,0.4607,0.2160,0.7066,0.1413,0.4806,0.5163
slope-on,52,11636038378815134669,23,0,0.6234,6.8059,0.5103,0.4499,0.5651,0.4976,0.4663,0.5245,0.5273,0.5450,0.5070,0.6019,0.5467,0.5050,0.4939,0.3522,0.6945,0.8028,0.4614,0.5072
