schema=1
code_revision=3ea7884
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=true
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,neutral_marker
slope-off,42,8397623377683409278,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,52,1882893477435228758,38,0,0.5911,5.3838,0.4482,0.4299,0.4982,0.4532,0.4298,0.5448,0.5244,0.5216,0.5256,0.6120,0.4588,0.4701,0.4666,0.4873
slope-off,53,17707516087851940364,108,0,0.7379,15.5248,0.3611,0.4724,0.5559,0.4263,0.5284,0.4458,0.4662,0.5428,0.4271,0.5263,0.4936,0.5232,0.4772,0.5414
slope-off,55,9101868025747176269,35,0,0.6538,6.8829,0.5479,0.4866,0.4897,0.5401,0.5218,0.4470,0.4617,0.5139,0.5858,0.5887,0.4921,0.4360,0.4649,0.5276
slope-off,58,16196032699838246788,161,0,0.7212,11.3732,0.7508,0.4644,0.5741,0.5054,0.4654,0.5469,0.5016,0.4734,0.4890,0.5697,0.5059,0.5300,0.3991,0.4915
slope-off,69,12019023837585211245,31,0,0.5520,2.2554,0.3721,0.5549,0.4869,0.4616,0.4955,0.5275,0.4450,0.4991,0.4836,0.5532,0.4312,0.4763,0.5153,0.4442
slope-off,74,15635839341045038207,299,0,0.6805,2.2325,0.4712,0.5040,0.5197,0.4883,0.5049,0.5085,0.5355,0.4737,0.4962,0.5134,0.5145,0.5499,0.4307,0.5131
slope-off,80,11558947558064773678,213,0,0.6721,17.6683,0.9040,0.5061,0.4581,0.5321,0.5224,0.5246,0.5132,0.5026,0.4537,0.5271,0.4852,0.4999,0.4423,0.4790
slope-off,98,3838554408117905460,115,0,0.6317,3.9253,0.3691,0.4897,0.4975,0.5407,0.4765,0.5490,0.4862,0.4704,0.5157,0.5294,0.4679,0.4953,0.4799,0.4920
slope-off,101,7218537117787837479,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,107,4485578586196325428,267,0,0.7581,16.0787,0.6969,0.4586,0.4594,0.4973,0.5275,0.4891,0.5497,0.5468,0.5153,0.4806,0.4899,0.4578,0.3925,0.5190
slope-off,114,8543515784965767882,108,0,0.6358,23.7651,0.3280,0.4977,0.4687,0.4640,0.4531,0.4791,0.4685,0.4842,0.5239,0.5620,0.4733,0.5283,0.4541,0.4806
slope-off,118,2100348873691681818,496,0,0.6608,7.3972,0.2935,0.4676,0.5096,0.4908,0.5052,0.4664,0.5049,0.4899,0.5052,0.5391,0.4811,0.4612,0.4848,0.4736
slope-off,120,8526196352896556403,382,0,0.6859,4.5628,0.6361,0.5325,0.5139,0.5454,0.5332,0.5229,0.5546,0.5325,0.4985,0.5420,0.4543,0.4589,0.4860,0.5078
