schema=1
code_revision=9a7284d
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=true
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=3
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,42,8397623377683409278,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,52,7364923901756072965,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,53,5429566925887603511,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,55,8900505404918521799,5,0,0.7207,6.7459,0.6921,0.5309,0.4808,0.4585,0.5253,0.4938,0.4779,0.5158,0.4989,0.5190,0.4657,0.5717,0.5266,0.5842,0.7672,0.6775,0.2917,0.7651,0.7248,0.5293
slope-off,58,2003922212882462832,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,69,8709353759922696976,7,0,0.6892,2.1768,0.3976,0.6067,0.5137,0.5111,0.5904,0.5008,0.4713,0.4274,0.4666,0.5231,0.4549,0.5155,0.3985,0.8144,0.7847,0.0993,0.8697,0.7056,0.8763,0.5871
slope-off,74,13714854644986595494,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,80,5008445348032866971,18,0,0.7399,17.7535,0.7685,0.5325,0.5457,0.5316,0.4640,0.5388,0.4875,0.5594,0.4275,0.5065,0.4927,0.5250,0.4718,0.3134,0.8390,0.3399,0.7292,0.7668,0.8055,0.4714
slope-off,98,615246413090217212,22,0,0.7364,3.0608,0.3270,0.4609,0.4895,0.5551,0.4160,0.5347,0.4786,0.4704,0.5263,0.4688,0.4792,0.5348,0.4802,0.2264,0.8800,0.8675,0.7267,0.9004,0.4861,0.4885
slope-off,101,10151447915135359783,10,0,0.7725,3.5402,0.4341,0.4908,0.4262,0.4956,0.5880,0.4062,0.4983,0.4272,0.5362,0.5215,0.4100,0.4090,0.5940,0.1362,0.4087,0.7554,0.6969,0.5496,0.0903,0.5316
slope-off,107,17559746515885520978,66,0,0.7566,15.1842,0.6840,0.4322,0.5054,0.5385,0.4132,0.5566,0.5640,0.4774,0.5110,0.4964,0.4608,0.4811,0.4770,0.1547,0.5083,0.3479,0.0317,0.2922,0.7609,0.4860
slope-off,114,16153801224732306780,18,0,0.6940,22.3954,0.4252,0.5062,0.4587,0.4604,0.4679,0.4556,0.4565,0.5265,0.4961,0.5760,0.4480,0.5055,0.4599,0.3649,0.4802,0.5101,0.4746,0.5318,0.6140,0.5781
slope-off,118,7697773315991223863,12,0,0.7225,6.5496,0.2557,0.5025,0.6109,0.5134,0.4186,0.4877,0.4344,0.4265,0.6382,0.4662,0.4233,0.3942,0.5840,0.0643,0.4141,0.8994,0.5789,0.9571,0.3449,0.4546
slope-off,120,13821306460484629686,88,0,0.7793,7.8867,0.8297,0.5124,0.5281,0.5122,0.5353,0.5148,0.5228,0.5093,0.5243,0.5503,0.4603,0.4617,0.4440,0.1764,0.7876,0.4388,0.5624,0.4610,0.6706,0.5109
slope-off,128,10859461219417659941,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,135,83160944654089480,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,147,14107469414650016434,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,148,13976146909115144769,14,0,0.7444,11.6565,0.2652,0.5044,0.4999,0.4979,0.3749,0.5108,0.3796,0.4528,0.4691,0.5037,0.5133,0.5693,0.5147,0.1441,0.5116,0.3575,0.1346,0.3294,0.3767,0.4620
slope-off,150,11055274152204303250,5,0,0.6466,4.8219,0.4514,0.4208,0.5280,0.6035,0.6038,0.3595,0.5080,0.4011,0.5147,0.4629,0.6815,0.5934,0.5685,0.0691,0.4265,0.7631,0.9451,0.9554,0.9659,0.4039
slope-off,152,10846177353292811823,43,0,0.7339,0.4798,0.1190,0.5382,0.4141,0.4936,0.3847,0.4871,0.5069,0.5091,0.5028,0.5249,0.4740,0.5269,0.5182,0.1727,0.6588,0.4224,0.4039,0.5364,0.5965,0.5325
slope-off,153,6488703995348733342,44,0,0.6424,1.4330,0.2966,0.5270,0.5540,0.4723,0.4571,0.4978,0.5420,0.4749,0.5482,0.5103,0.4987,0.4963,0.4744,0.3273,0.6634,0.4074,0.6983,0.7251,0.2569,0.4789
slope-off,167,17547198868128349283,19,0,0.7263,4.2009,0.2734,0.4998,0.4595,0.4736,0.5188,0.4530,0.4433,0.4971,0.5180,0.5318,0.5055,0.5841,0.5110,0.5025,0.5829,0.4034,0.5250,0.4739,0.3703,0.4669
slope-off,176,12076579213866357894,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,187,10403328194776378944,8,0,0.7136,0.4800,0.2166,0.5882,0.5315,0.4288,0.5467,0.5185,0.4688,0.5248,0.4548,0.4803,0.4868,0.4343,0.6068,0.2295,0.8651,0.5091,0.8039,0.6869,0.5349,0.4643
slope-off,193,14475946544051467190,88,0,0.7343,9.8693,0.7164,0.4730,0.5369,0.5161,0.4633,0.5631,0.4968,0.5112,0.4539,0.5395,0.4708,0.5366,0.5023,0.1368,0.7019,0.6047,0.3451,0.3332,0.3363,0.5252
slope-off,221,472882055736325497,54,0,0.6985,5.2122,0.5576,0.5618,0.5355,0.5131,0.4492,0.4778,0.5006,0.5612,0.5255,0.4994,0.5630,0.4074,0.4590,0.2279,0.5687,0.3359,0.6245,0.9335,0.3857,0.4942
slope-off,228,2476412498309806856,86,0,0.7178,23.4532,0.4214,0.5131,0.4876,0.5247,0.4954,0.5356,0.5301,0.4886,0.4984,0.4984,0.4879,0.5065,0.4716,0.2480,0.5455,0.2373,0.5046,0.7447,0.5103,0.5481
slope-off,229,13257377040235752717,1,0,0.7222,19.9726,0.2705,0.5181,0.4917,0.5282,0.5047,0.3840,0.4947,0.5241,0.4752,0.5026,0.6428,0.5359,0.4761,0.4990,1.0000,0.5803,0.0978,0.2613,0.5569,0.6200
slope-off,238,6183771839969985270,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,243,16431183711978069152,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,42,5219913616291186687,26,0,0.7278,3.0048,0.6532,0.4738,0.4887,0.4811,0.4497,0.5089,0.5542,0.5973,0.5254,0.4876,0.5671,0.5267,0.4317,0.1836,0.6984,0.4553,0.5602,0.5015,0.5358,0.4849
slope-on,52,4827922436636096137,4,0,0.6844,17.4258,0.3186,0.4516,0.4970,0.3969,0.4885,0.5532,0.5370,0.4324,0.4749,0.5176,0.5521,0.5200,0.4279,0.3485,0.6175,0.8202,0.8404,0.0394,0.1062,0.4882
