schema=1
code_revision=3ea7884
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=false
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=true
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,neutral_marker
slope-off,42,5827170912482540813,95,0,0.7102,13.1189,0.9619,0.4955,0.4836,0.5232,0.4705,0.5394,0.5465,0.5879,0.5054,0.5039,0.6426,0.4423,0.5055,0.4891
slope-off,52,5894933399708626991,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,53,8378274777815558621,85,0,0.6158,16.2604,0.3326,0.5052,0.5662,0.4748,0.5100,0.4775,0.5593,0.4302,0.4379,0.5219,0.5042,0.4168,0.4541,0.5661
slope-off,55,16887761755637705160,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,58,16110100041009722728,98,0,0.7624,16.9603,0.4198,0.5089,0.5851,0.5535,0.5900,0.5221,0.4608,0.4693,0.4540,0.5480,0.4959,0.5204,0.4678,0.4875
slope-off,69,7031518802228807827,170,0,0.4552,0.9569,0.1621,0.5369,0.5053,0.4963,0.5179,0.5284,0.4728,0.4789,0.4822,0.4746,0.4619,0.4516,0.4678,0.4466
slope-off,74,2858163017994947269,195,0,0.6949,2.6649,0.3866,0.5029,0.5091,0.4560,0.4684,0.4922,0.5261,0.4571,0.4741,0.5156,0.4922,0.5235,0.4217,0.4913
slope-off,80,16347162935317858439,266,0,0.6417,8.0603,0.6362,0.5191,0.4881,0.5727,0.4958,0.5417,0.4616,0.4431,0.5001,0.4685,0.4641,0.4910,0.5492,0.5301
slope-off,98,4165220494851353070,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,101,14064192876392585620,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
