schema=1
code_revision=3ea7884
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=false
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,neutral_marker
slope-off,42,2168102211948752719,13,0,0.7789,7.2002,1.5220,0.4412,0.4160,0.4791,0.4697,0.5354,0.5490,0.5950,0.5289,0.4569,0.4965,0.5442,0.4666,0.4566
slope-off,52,4448230512958431217,50,0,0.7127,10.6305,0.5411,0.3976,0.5147,0.5089,0.4186,0.5628,0.4386,0.4780,0.5874,0.5641,0.4639,0.5330,0.4984,0.5026
slope-off,53,2699711892674026352,147,0,0.6976,13.0620,0.4487,0.4490,0.5488,0.5330,0.4906,0.4688,0.5223,0.5108,0.4637,0.4983,0.4549,0.5164,0.4967,0.5433
slope-off,55,4671177418445559437,19,0,0.6753,8.3026,0.6090,0.4791,0.5140,0.5691,0.4913,0.4716,0.4646,0.5070,0.5436,0.5163,0.4974,0.5285,0.4531,0.5740
slope-off,58,8709812115450369411,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,69,11886990390004469519,151,0,0.6820,3.1516,0.4006,0.5313,0.5217,0.5025,0.5095,0.5278,0.4981,0.4636,0.4750,0.5208,0.4577,0.4561,0.4546,0.4918
slope-off,74,9465926623780587798,257,0,0.6647,2.7044,0.2264,0.5001,0.4925,0.5023,0.5043,0.4779,0.5207,0.4817,0.4810,0.5347,0.4475,0.5460,0.4176,0.5471
slope-off,80,12233086813777117116,291,0,0.6144,12.6134,0.8625,0.5098,0.4907,0.5990,0.4724,0.5123,0.4917,0.4646,0.4760,0.4965,0.4772,0.4989,0.5271,0.4945
slope-off,98,9869937842962271183,470,0,0.2736,3.6536,0.3085,0.5044,0.4969,0.4886,0.4787,0.4971,0.4838,0.4716,0.5019,0.4912,0.4822,0.5216,0.4798,0.4806
slope-off,101,3113871899329657456,54,0,0.6260,1.9395,0.2312,0.5065,0.4692,0.5047,0.4955,0.4487,0.4676,0.4590,0.5174,0.5507,0.4952,0.4952,0.4798,0.5344
