schema=1
code_revision=3ea7884
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=false
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=true
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,neutral_marker
slope-off,42,7106206571088728502,471,0,0.5920,7.9914,0.6859,0.4823,0.4944,0.4890,0.4271,0.4856,0.5279,0.5325,0.5016,0.5185,0.4947,0.5046,0.4818,0.4897
slope-off,52,6898884998713017208,38,0,0.7137,7.0851,0.5783,0.4210,0.5261,0.4982,0.4381,0.5435,0.4557,0.5118,0.5176,0.5989,0.4688,0.4965,0.5157,0.5150
slope-off,53,5843832817703882466,51,0,0.6566,12.4936,0.4648,0.4891,0.5353,0.4929,0.5202,0.4871,0.5096,0.4974,0.3919,0.5029,0.4558,0.4915,0.5121,0.4544
slope-off,55,10069304085361326716,26,0,0.7100,6.6667,0.6436,0.5663,0.5147,0.4537,0.4715,0.4903,0.5039,0.5543,0.6080,0.5033,0.4948,0.5073,0.4713,0.5362
slope-off,58,15596639105191514074,74,0,0.7757,17.2868,0.3748,0.5058,0.6067,0.5347,0.5579,0.4511,0.5437,0.4702,0.4258,0.4917,0.4795,0.4826,0.5030,0.4499
slope-off,69,12645429066189808167,227,0,0.7010,3.4297,0.4400,0.5146,0.5052,0.5064,0.5057,0.5437,0.4935,0.4919,0.4962,0.5054,0.4427,0.4802,0.4556,0.5174
slope-off,74,4565334621088665105,222,0,0.6964,4.1817,0.6488,0.4901,0.5071,0.4346,0.4818,0.4903,0.5753,0.4654,0.5019,0.5047,0.5107,0.5346,0.4161,0.4834
slope-off,80,6395548207746612088,360,0,0.3855,5.9722,0.6369,0.5056,0.5061,0.5399,0.5743,0.5175,0.4967,0.4920,0.5042,0.5190,0.4576,0.4870,0.4962,0.5210
slope-off,98,5756643220759640150,500,0,0.4444,3.1155,0.3601,0.5279,0.5125,0.5051,0.4868,0.5285,0.4757,0.4635,0.5186,0.5000,0.4683,0.5075,0.4906,0.4804
slope-off,101,436710650674509718,57,0,0.6592,2.2577,0.2517,0.5047,0.5026,0.5041,0.5205,0.4599,0.4656,0.4903,0.4871,0.5694,0.5428,0.4859,0.5350,0.4733
