schema=1
code_revision=64648d9
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=40
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.7
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,neutral_marker
slope-off,42,3593330742723705493,169,0,0.8039,2.9639,0.7713,0.4704,0.5597,0.3797,0.4175,0.4996,0.5205,0.6107,0.5756,0.8579,0.4735,0.4806,0.4733,0.5084
slope-off,52,11414025911468300435,500,0,0.6795,8.0486,0.5567,0.5488,0.4997,0.4929,0.4684,0.5029,0.6202,0.7855,0.4661,0.8406,0.4844,0.5005,0.4634,0.4917
slope-off,53,3142263505807417754,22,0,0.7461,11.4935,0.5201,0.3986,0.4552,0.4035,0.3600,0.5487,0.5642,0.1791,0.7392,0.6977,0.4546,0.4863,0.4859,0.4454
slope-off,55,2967384152912630902,164,0,0.7731,9.1434,0.5984,0.4801,0.4678,0.5473,0.3783,0.5934,0.5634,0.8804,0.7181,0.9433,0.4663,0.5355,0.4702,0.5048
slope-off,58,6155640132846958084,467,0,0.5039,14.2484,0.6026,0.4843,0.4694,0.4943,0.4743,0.4392,0.6621,0.8012,0.7158,0.6762,0.4272,0.4755,0.4907,0.5175
slope-off,69,179947732132609407,315,0,0.7731,1.7985,0.2913,0.4687,0.4986,0.5081,0.5480,0.5117,0.3921,0.7865,0.6581,0.7562,0.4805,0.4668,0.4737,0.4675
slope-off,74,9988460993890614411,412,0,0.1924,2.6537,0.3610,0.5079,0.5730,0.4840,0.5400,0.4330,0.5672,0.7141,0.7226,0.7997,0.4337,0.5038,0.4777,0.5267
slope-off,80,3912820406500710687,290,0,0.7517,10.6485,0.7724,0.6805,0.6066,0.5968,0.4688,0.5048,0.5109,0.8242,0.5400,0.5904,0.4423,0.4729,0.4533,0.5378
slope-off,98,11529947845802316709,500,0,0.8238,2.7058,0.2783,0.4536,0.5216,0.4981,0.4847,0.5117,0.4970,0.6799,0.5845,0.6508,0.4307,0.5254,0.4824,0.4708
slope-off,101,4946349712081367250,346,0,0.6735,1.6469,0.3137,0.5680,0.5509,0.4826,0.5641,0.4706,0.4686,0.6880,0.6891,0.8337,0.4765,0.4869,0.5097,0.5003
slope-off,107,2273029047109943210,112,0,0.7997,18.6378,0.5887,0.5046,0.4775,0.4027,0.4566,0.5219,0.5339,0.6593,0.8188,0.7444,0.4507,0.4866,0.5052,0.5017
slope-off,114,9427593814510321733,349,0,0.7287,23.0024,0.3681,0.4374,0.5181,0.5228,0.4883,0.5897,0.4968,0.8936,0.7129,0.4835,0.4642,0.5004,0.5027,0.5240
slope-off,118,6181829051981925889,343,0,0.7471,6.7878,0.2632,0.4761,0.5514,0.5278,0.4144,0.4579,0.5452,0.7581,0.7570,0.8454,0.4625,0.4718,0.4896,0.4946
slope-off,120,4374431096082098902,130,0,0.8165,4.6192,1.0294,0.4407,0.5228,0.6148,0.4561,0.4911,0.5864,0.7771,0.3461,0.7585,0.4292,0.5030,0.5323,0.5376
slope-off,128,1963693875000825810,375,0,0.7836,13.8461,0.8790,0.3939,0.5918,0.4377,0.5542,0.4862,0.6220,0.6167,0.6639,0.6721,0.4504,0.5181,0.5162,0.4759
slope-off,135,17784750704028017264,407,0,0.6504,5.2625,0.2734,0.3728,0.5491,0.5201,0.5421,0.4237,0.5037,0.7172,0.7358,0.7311,0.4842,0.4868,0.4990,0.5027
slope-off,147,13744374652680767603,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,148,1979577008858658322,280,0,0.3095,13.0353,0.2367,0.5401,0.5575,0.5059,0.5117,0.4864,0.6295,0.7036,0.6192,0.7120,0.4439,0.5205,0.5116,0.5166
slope-off,150,2874486815405687059,274,0,0.7774,4.0451,0.3984,0.4518,0.7075,0.5527,0.4324,0.5276,0.3623,0.7235,0.9020,0.6508,0.4414,0.5073,0.4969,0.5049
slope-off,152,17881867382297969675,59,0,0.7740,0.5010,0.1095,0.5873,0.4487,0.4981,0.3790,0.6141,0.4563,0.8764,0.5304,0.7030,0.4920,0.4972,0.5608,0.5462
slope-off,153,374638509540773244,10,0,0.0455,0.3861,0.1718,0.5333,0.5413,0.3909,0.4629,0.4429,0.4875,0.7937,0.7100,0.8817,0.4367,0.4867,0.4803,0.5001
slope-off,167,14603020141411695955,341,0,0.7014,4.7191,0.4015,0.4207,0.4761,0.5332,0.4406,0.4696,0.5910,0.7758,0.6234,0.5204,0.4533,0.5264,0.5027,0.4871
slope-off,176,12484813960485137224,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,187,13109388861959938199,232,0,0.8088,2.2650,0.2452,0.4493,0.4668,0.4828,0.5471,0.4165,0.4902,0.6922,0.5639,0.4643,0.4573,0.5297,0.5466,0.5008
slope-off,193,6774576972228905432,24,0,0.0530,13.1756,0.3568,0.5359,0.5008,0.5551,0.5078,0.5462,0.5114,0.7617,0.6967,0.8040,0.3970,0.4923,0.4820,0.5385
